Estado,Ano,População total que mora em domicílios sem acesso ao serviço de coleta de esgoto (pessoas) (SNIS),"Extensão da rede de distribuição de esgoto, em km (km) (SNIS)",Densidade demográfica (pessoas por km²) (Pessoas por km²) (IBGE),AreaKm2,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
MT,2019,872058.0,3442.8200000000006,630.4200000000001,151303,22362.3,100.60000000000001,14331.699999999999,112374.3,2230.9,3.2547891382233094,116.0,0.0
PA,2010,4909716.0,648.56,6289.289999999998,727861,133599.7,1915.1999999999998,485351.5,27010.5,21587.300000000003,20.257955204231834,4184.0,4859.0
PA,2011,4863252.0,419.71,6379.430000000005,727861,134845.30000000005,1245.8000000000002,500379.79999999993,27010.5,21587.300000000003,20.350727088800316,4859.0,3202.0
PA,2012,5051539.0,691.46,6465.099999999999,727861,135876.99999999994,1031.8000000000002,490831.0999999999,27010.5,21587.300000000003,20.42055790285375,3202.0,1860.0
PA,2013,5137121.0,512.46,6619.09,727861,137232.59999999998,1355.4999999999998,438886.5999999999,27010.5,21587.300000000003,20.501286041505097,1860.0,1033.0
PA,2014,5068262.0,893.06,6707.669999999999,727861,138310.09999999998,1077.3999999999999,475914.1,27010.5,21587.300000000003,20.554227991793454,1033.0,1185.0
PA,2015,5124559.0,674.76,6793.620000000003,727861,139499.80000000002,1189.7,507036.4000000002,27010.5,21587.300000000003,20.629171751865602,1185.0,1738.0
PA,2016,5086752.0,1445.2899999999997,6876.599999999999,727861,141249.1,1749.0,461698.7000000001,27010.5,21587.300000000003,20.717872539472456,1738.0,725.0
PA,2017,5280431.0,1014.25,6956.379999999999,727861,142552.7,1303.7,486932.79999999993,27010.5,21587.300000000003,20.79872305406768,725.0,367.0
PA,2018,5566028.0,1097.6299999999999,7073.839999999998,727861,144086.99999999997,1534.5000000000002,425295.80000000005,27010.5,21587.300000000003,20.880924563860077,367.0,385.0
PA,2019,3230490.0,1107.1299999999999,7149.879999999999,727861,146331.59999999995,2244.5,519051.1000000001,27010.5,21587.300000000003,20.978510041227263,385.0,0.0
RO,2010,855963.0,188.0,161.79,66734,22426.4,151.3,41069.1,2348.6,793.9,4.739069912154131,1739.0,517.0
RO,2011,861582.0,210.7,162.82999999999998,66734,22769.500000000004,343.2,40759.899999999994,2348.6,793.9,4.753006347421444,517.0,471.0
RO,2012,874166.0,230.17000000000002,163.83999999999997,66734,22989.100000000002,219.60000000000002,40560.2,2348.6,793.9,4.764106136766594,471.0,1104.0
RO,2013,952874.0,255.17000000000002,176.07999999999998,66734,23330.9,341.80000000000007,40197.5,2348.6,793.9,4.778644308573201,1104.0,605.0
RO,2014,970116.0,255.17000000000002,177.66,66734,23581.600000000002,250.9,39800.2,2348.6,793.9,4.791824366341626,605.0,526.0
RO,2015,972557.0,263.06,179.17999999999998,66734,23902.899999999998,321.3,39019.8,2348.6,793.9,4.8057257309509875,526.0,621.0
RO,2016,987869.0,291.36,180.66,66734,24258.500000000007,355.70000000000005,39319.799999999996,2348.6,793.9,4.824101190426025,621.0,188.0
RO,2017,995098.0,307.23,182.07999999999998,66734,24665.0,406.40000000000003,38926.5,2348.6,793.9,4.8470530463256125,188.0,109.0
RO,2018,978319.0,307.23,176.84,66734,25100.4,435.50000000000006,38441.8,2348.6,793.9,4.86854235014825,109.0,114.0
RO,2019,654343.0,195.48000000000002,178.26,66734,25599.9,499.40000000000003,37991.600000000006,2348.6,793.9,4.918300083362769,114.0,0.0
TO,2010,708313.0,1379.1,6475.379999999999,17956,2788.0,2.0,455.2,14603.6,110.99999999999999,0.9737205196221901,212.0,231.0
TO,2011,713755.0,1424.36,6521.870000000001,17956,2789.6,1.5,453.40000000000003,14603.6,110.99999999999999,0.9746338367331446,231.0,275.0
TO,2012,698339.0,1353.36,6566.78,17956,2791.7999999999997,2.3,451.40000000000003,14603.6,110.99999999999999,0.9769844650340263,275.0,143.0
TO,2013,759782.0,1440.71,6820.52,17956,2802.0,10.2,441.20000000000005,14603.6,110.99999999999999,0.979522409796405,143.0,85.0
TO,2014,720976.0,1444.47,6874.31,17956,2802.6,0.6000000000000001,440.90000000000003,14603.6,110.99999999999999,0.9809597209863319,85.0,91.0
TO,2015,663975.0,1934.73,6916.780000000001,17956,2805.2,2.6,439.2,14603.6,110.99999999999999,0.9828946684041762,91.0,72.0
TO,2016,656048.0,2233.07,6957.17,17956,2807.3,2.1,437.1,14603.6,110.99999999999999,0.9841899986364204,72.0,85.0
TO,2017,597752.0,2368.21,6995.43,17956,2808.2000000000003,0.9,436.2,14603.6,110.99999999999999,0.9844139349389833,85.0,79.0
TO,2018,582076.0,2466.8499999999995,7093.43,17956,2808.4,0.2,436.0,14603.6,110.99999999999999,0.984463698561775,79.0,330.0
TO,2019,572099.0,2825.67,7148.469999999999,17956,2810.6,2.2,433.79999999999995,14603.6,110.99999999999999,0.9852687024767945,330.0,0.0
