Estado,Ano,População total que mora em domicílios sem acesso ao serviço de coleta de esgoto (pessoas) (SNIS),"Extensão da rede de distribuição de esgoto, em km (km) (SNIS)",Densidade demográfica (pessoas por km²) (Pessoas por km²) (IBGE),AreaKm2,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
MT,2019,771381.0,3217.21,594.1500000000001,147368,19752.4,28.400000000000002,13161.3,112238.0,2212.5,2.5915362792652403,110.0,0.0
PA,2010,4032906.0,648.56,4477.570000000001,674688,97226.40000000001,1678.5000000000002,471709.6000000001,25366.499999999996,20798.700000000004,9.397438752846222,3145.0,3437.0
PA,2011,4082273.0,419.71,4528.940000000002,674688,98327.40000000002,1100.8,486891.49999999994,25366.499999999996,20798.700000000004,9.460472578927442,3437.0,2256.0
PA,2012,4091872.0,691.46,4577.09,674688,99236.3,909.0000000000001,480247.39999999985,25366.499999999996,20798.700000000004,9.507245074297291,2256.0,1293.0
PA,2013,4250353.0,499.46,4667.200000000002,674688,100484.39999999998,1247.9999999999998,427239.5999999999,25366.499999999996,20798.700000000004,9.56984237668507,1293.0,725.0
PA,2014,4233359.0,693.06,4715.97,674688,101496.09999999999,1011.7,464115.6,25366.499999999996,20798.700000000004,9.61240413366997,725.0,741.0
PA,2015,4165963.0,462.65999999999997,4763.290000000003,674688,102591.50000000003,1095.6000000000004,494038.7000000001,25366.499999999996,20798.700000000004,9.666017871103467,741.0,709.0
PA,2016,4072732.0,1197.1899999999998,4808.99,674688,104251.09999999999,1659.3999999999996,449615.30000000005,25366.499999999996,20798.700000000004,9.738392936739938,709.0,256.0
PA,2017,4246129.0,752.1499999999999,4852.939999999998,674688,105469.49999999999,1218.8000000000002,473983.5,25366.499999999996,20798.700000000004,9.79993231070289,256.0,143.0
PA,2018,4381125.0,1062.28,4943.12,674688,106927.49999999999,1458.2000000000003,415510.80000000005,25366.499999999996,20798.700000000004,9.866313670756654,143.0,178.0
PA,2019,2974942.0,1069.6,4986.369999999999,674688,109057.0,2129.2,505585.3000000001,25366.499999999996,20798.700000000004,9.943132076896065,178.0,0.0
RO,2010,614828.0,30.0,35.99,53170,12128.400000000001,144.60000000000002,37987.5,2184.0,787.9,0.7485106024987682,854.0,316.0
RO,2011,619206.0,51.7,36.459999999999994,53170,12462.400000000001,334.09999999999997,37682.799999999996,2184.0,787.9,0.7587526281702519,316.0,255.0
RO,2012,630607.0,70.17,36.92,53170,12668.800000000001,206.4,37488.6,2184.0,787.9,0.7654135061054982,255.0,675.0
RO,2013,687536.0,70.17,40.29,53170,12995.0,326.1,37144.9,2184.0,787.9,0.7755911684116363,675.0,392.0
RO,2014,702958.0,70.17,40.91,53170,13227.800000000001,232.8,36760.8,2184.0,787.9,0.7827960528061018,392.0,352.0
RO,2015,706296.0,70.17,41.51,53170,13534.1,306.3,35995.2,2184.0,787.9,0.7926978184533173,352.0,387.0
RO,2016,719208.0,70.17,42.089999999999996,53170,13860.2,326.20000000000005,36324.7,2184.0,787.9,0.8032575110236875,387.0,86.0
RO,2017,723962.0,70.17,42.65,53170,14230.0,369.8,35968.1,2184.0,787.9,0.8149526788772903,86.0,76.0
RO,2018,720150.0,70.17,42.12,53170,14637.9,407.90000000000003,35513.8,2184.0,787.9,0.8278973868312466,76.0,54.0
RO,2019,504838.0,70.17,42.769999999999996,53170,15085.9,447.9,35112.2,2184.0,787.9,0.8427009205258374,54.0,0.0
TO,2010,576989.0,1294.5,6437.76,13937,108.7,0.0,38.0,13706.0,87.10000000000001,0.3070621468926554,184.0,171.0
TO,2011,579564.0,1335.8,6483.540000000001,13937,108.9,0.1,37.8,13706.0,87.10000000000001,0.30762711864406783,171.0,250.0
TO,2012,563792.0,1264.8,6527.749999999999,13937,109.6,0.8,37.1,13706.0,87.10000000000001,0.3096045197740113,250.0,133.0
TO,2013,615515.0,1352.1499999999999,6779.5,13937,109.6,0.0,37.1,13706.0,87.10000000000001,0.3096045197740113,133.0,78.0
TO,2014,573626.0,1355.9099999999999,6832.52,13937,110.1,0.4,36.6,13706.0,87.10000000000001,0.31101694915254235,78.0,79.0
TO,2015,523611.0,1751.6599999999999,6874.24,13937,110.6,0.5,36.300000000000004,13706.0,87.10000000000001,0.31242937853107344,79.0,56.0
TO,2016,513125.0,1997.07,6913.900000000001,13937,110.9,0.3,36.0,13706.0,87.10000000000001,0.3132768361581921,56.0,50.0
TO,2017,466153.0,2060.21,6951.44,13937,110.9,0.0,36.0,13706.0,87.10000000000001,0.3132768361581921,50.0,73.0
TO,2018,457203.0,2136.85,7049.06,13937,110.9,0.0,36.0,13706.0,87.10000000000001,0.3132768361581921,73.0,249.0
TO,2019,447286.0,2472.26,7103.360000000001,13937,111.0,0.1,35.900000000000006,13706.0,87.10000000000001,0.3135593220338983,249.0,0.0
