Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado
PA,1249644,2012,253161.10000000003,1714.3999999999996,783641.1000000004,73469.09999999999,43927.9,0.20258657665703195
RO,240374,2012,86855.4,704.8000000000002,126812.29999999999,24632.300000000003,1816.6,0.3613344205280105
RR,226216,2012,9772.200000000003,108.3,115920.00000000001,61222.0,1723.2,0.04319853591257914
TO,278931,2012,30344.099999999995,48.1,9737.3,236725.60000000006,1541.4000000000008,0.1087871193951192
AC,170884,2013,21582.000000000004,208.2,142143.8,74.4,117.6,0.12629620093162616
AM,1589661,2013,35893.49999999999,494.59999999999997,1129104.5999999999,48867.599999999984,51582.6,0.02257934238809406
AP,142918,2013,2969.1000000000004,23.799999999999997,52083.299999999996,25611.699999999997,3546.999999999999,0.020774849913936664
MA,264626,2013,105014.69999999997,283.4,24499.599999999995,112916.80000000003,4356.099999999999,0.3968419580842395
MT,904794,2013,209752.00000000006,1106.3000000000004,311873.30000000005,377536.99999999994,4315.599999999999,0.23182293428117345
PA,1249644,2013,255250.8,2090.7000000000003,687908.0999999996,73469.09999999999,43927.9,0.20425881290991674
RO,240374,2013,87835.30000000002,979.9999999999999,125332.80000000002,24632.300000000003,1816.6,0.3654109845490778
RR,226216,2013,9921.300000000001,149.1,96082.0,61222.0,1723.2,0.04385764048519999
TO,278931,2013,30421.0,77.3,9668.900000000001,236725.60000000006,1541.4000000000008,0.10906281481800159
AC,170884,2014,21938.999999999993,357.30000000000007,146756.9,74.4,117.6,0.1283853374218768
AM,1589661,2014,36455.49999999999,562.7,1255550.7999999996,48867.599999999984,51582.6,0.02293287688381359
AP,142918,2014,2997.5999999999995,28.8,70968.90000000001,25611.699999999997,3546.999999999999,0.020974264963125704
MA,264626,2014,105293.30000000002,278.6,29424.600000000002,112916.80000000003,4356.099999999999,0.39789476468676555
MT,904794,2014,210856.10000000006,1104.1999999999996,310600.4,377536.99999999994,4315.599999999999,0.23304321204605696
PA,1249644,2014,257034.90000000002,1786.8999999999999,750884.5000000002,73469.09999999999,43927.9,0.2056864995150619
RO,240374,2014,88606.6,771.4999999999999,124151.5,24632.300000000003,1816.6,0.3686197342474644
RR,226216,2014,10111.999999999998,190.9,113286.59999999999,61222.0,1723.2,0.04470064009619124
TO,278931,2014,30466.7,45.9,9719.9,236725.60000000006,1541.4000000000008,0.1092266546206768
AC,170884,2015,22169.2,230.2,145548.2,74.4,117.6,0.1297324500830973
AM,1589661,2015,37153.2,697.5000000000003,1361365.9999999995,48867.599999999984,51582.6,0.023371775491755786
AP,142918,2015,3016.7,19.3,65056.299999999996,25611.699999999997,3546.999999999999,0.021107908031178717
MA,264626,2015,105506.2,213.39999999999992,37137.60000000002,112916.80000000003,4356.099999999999,0.3986992963654365
MT,904794,2015,212348.59999999992,1492.0000000000002,310576.3,377536.99999999994,4315.599999999999,0.2346927587937143
PA,1249644,2015,259343.69999999995,2308.4,794381.5999999999,73469.09999999999,43927.9,0.20753406570191188
RO,240374,2015,89577.90000000001,971.4999999999998,122742.60000000005,24632.300000000003,1816.6,0.3726605206885936
RR,226216,2015,10267.6,155.60000000000002,123072.59999999999,61222.0,1723.2,0.045388478268557485
TO,278931,2015,30522.300000000003,55.80000000000001,10089.300000000003,236725.60000000006,1541.4000000000008,0.1094259870720716
AC,170884,2016,22548.700000000004,379.5000000000001,144377.49999999997,74.4,117.6,0.1319532548395403
AM,1589661,2016,38170.69999999999,1017.9000000000001,1200537.9,48867.599999999984,51582.6,0.02401184906719105
AP,142918,2016,3029.0999999999995,12.600000000000001,43046.49999999999,25611.699999999997,3546.999999999999,0.021194671070124124
MA,264626,2016,105751.30000000002,244.80000000000004,33871.2,112916.80000000003,4356.099999999999,0.39962550920922363
MT,904794,2016,213732.00000000006,1383.8,308773.1000000001,377536.99999999994,4315.599999999999,0.23622172560826007
PA,1249644,2016,262087.8000000001,2744.2999999999997,715652.3,73469.09999999999,43927.9,0.20972997109576816
RO,240374,2016,90778.40000000002,1200.3000000000002,123003.29999999999,24632.300000000003,1816.6,0.3776548212369059
RR,226216,2016,10497.700000000003,230.20000000000002,109435.99999999999,61222.0,1723.2,0.04640564769954381
TO,278931,2016,30575.400000000005,53.400000000000006,9645.2,236725.60000000006,1541.4000000000008,0.1096163567333857
AC,170884,2017,22812.100000000002,263.8,146435.2,74.4,117.6,0.13349465134243113
AM,1589661,2017,39215.99999999999,1045.1000000000001,1334842.1,48867.599999999984,51582.6,0.02466941064793059
AP,142918,2017,3048.2,18.9,51723.9,25611.699999999997,3546.999999999999,0.021328314138177134
MA,264626,2017,106035.69999999992,284.29999999999995,37495.1,112916.80000000003,4356.099999999999,0.4007002335371427
MT,904794,2017,215346.2999999999,1614.1999999999998,307195.2,377536.99999999994,4315.599999999999,0.23800588863321365
PA,1249644,2017,264691.39999999997,2603.4999999999995,762213.6000000002,73469.09999999999,43927.9,0.21181344446898473
RO,240374,2017,92085.79999999997,1308.0000000000002,121839.29999999997,24632.300000000003,1816.6,0.3830938454242138
RR,226216,2017,10624.7,126.99999999999997,78893.4,61222.0,1723.2,0.04696705803303038
TO,278931,2017,30609.4,34.40000000000001,10075.8,236725.60000000006,1541.4000000000008,0.10973825067848321
AC,170884,2018,23294.7,482.6,113395.5,74.4,117.6,0.1363187893541818
AM,1589661,2018,40304.600000000006,1088.7000000000003,1242887.5999999999,48867.599999999984,51582.6,0.02535421074052896
AP,142918,2018,3073.6000000000004,25.400000000000002,65400.29999999999,25611.699999999997,3546.999999999999,0.021506038427629832
MA,264626,2018,106226.59999999999,191.09999999999997,21267.399999999998,112916.80000000003,4356.099999999999,0.4014216290160453
MT,904794,2018,216836.79999999996,1491.2000000000005,299078.8999999999,377536.99999999994,4315.599999999999,0.23965322493296812
PA,1249644,2018,267393.0,2701.7000000000007,684266.3,73469.09999999999,43927.9,0.21397534017688238
RO,240374,2018,93336.19999999998,1249.9999999999998,120195.10000000002,24632.300000000003,1816.6,0.38829573913984033
RR,226216,2018,10756.300000000001,131.79999999999998,41480.5,61222.0,1723.2,0.047548802914029076
TO,278931,2018,30632.699999999997,23.499999999999996,10006.8,236725.60000000006,1541.4000000000008,0.10982178388203533
AC,170884,2019,24033.099999999995,737.9,146563.90000000002,74.4,117.6,0.140639849254465
AM,1589661,2019,41895.6,1591.1000000000001,1375593.9,48867.599999999984,51582.6,0.026355053058482278
AP,142918,2019,3112.7000000000003,39.5,94949.79999999999,25611.699999999997,3546.999999999999,0.021779621881078664
MA,264626,2019,106510.20000000003,283.8,39391.999999999985,112916.80000000003,4356.099999999999,0.40249333020942774
MT,904794,2019,218741.4000000001,1905.0999999999997,304189.0,377536.99999999994,4315.599999999999,0.241758234471051
PA,1249644,2019,271863.29999999993,4469.699999999998,838599.8999999996,73469.09999999999,43927.9,0.2175525989801895
RO,240374,2019,94767.2,1430.9000000000003,119157.90000000002,24632.300000000003,1816.6,0.39424896203416343
RR,226216,2019,11311.099999999999,554.8000000000001,143764.0,61222.0,1723.2,0.050001326166142085
TO,278931,2019,30663.699999999997,31.100000000000016,10021.500000000002,236725.60000000006,1541.4000000000008,0.10993292247903602
