,Municipio,CodIbge,Estado,Ano,Notificações de 1o Sintoma
236,Paço do Lumiar,210750,MA,2008,58.0
237,Pedreiras,210820,MA,2008,90.0
238,Pedro do Rosário,0,MA,2008,
239,Penalva,210830,MA,2008,32.0
240,Peri Mirim,210840,MA,2008,1.0
241,Peritoró,210845,MA,2008,1.0
242,Pindaré-Mirim,210850,MA,2008,36.0
243,Pinheiro,210860,MA,2008,2.0
244,Pio XII,210870,MA,2008,25.0
245,Pirapemas,210880,MA,2008,6.0
246,Porto Franco,210900,MA,2008,65.0
247,Porto Rico do Maranhão,210905,MA,2008,2.0
248,Poção de Pedras,210890,MA,2008,6.0
249,Presidente Dutra,210910,MA,2008,41.0
250,Presidente Juscelino,210920,MA,2008,45.0
251,Presidente Médici,210923,MA,2008,3.0
252,Presidente Sarney,0,MA,2008,
253,Presidente Vargas,210930,MA,2008,2.0
254,Primeira Cruz,210940,MA,2008,2.0
255,Raposa,210945,MA,2008,4.0
256,Riachão,210950,MA,2008,25.0
257,Ribamar Fiquene,210955,MA,2008,10.0
258,Rosário,210960,MA,2008,11.0
259,Sambaíba,210970,MA,2008,2.0
260,Santa Filomena do Maranhão,210975,MA,2008,41.0
261,Santa Helena,210980,MA,2008,2.0
262,Santa Inês,210990,MA,2008,11.0
263,Santa Luzia,211000,MA,2008,4.0
264,Santa Luzia do Paruá,211003,MA,2008,21.0
265,Santa Quitéria do Maranhão,211010,MA,2008,42.0
266,Santa Rita,211020,MA,2008,9.0
267,Santana do Maranhão,0,MA,2008,
268,Santo Amaro do Maranhão,211027,MA,2008,1.0
269,Santo Antônio dos Lopes,211030,MA,2008,2.0
270,Satubinha,0,MA,2008,
271,Senador Alexandre Costa,211174,MA,2008,6.0
272,Senador La Rocque,211176,MA,2008,8.0
273,Serrano do Maranhão,0,MA,2008,
274,Sucupira do Norte,211190,MA,2008,5.0
275,Sucupira do Riachão,211195,MA,2008,2.0
276,São Benedito do Rio Preto,211040,MA,2008,1.0
277,São Bento,211050,MA,2008,1.0
278,São Bernardo,211060,MA,2008,8.0
279,São Domingos do Azeitão,211065,MA,2008,8.0
280,São Domingos do Maranhão,211070,MA,2008,28.0
281,São Francisco do Brejão,211085,MA,2008,23.0
282,São Francisco do Maranhão,211090,MA,2008,10.0
283,São Félix de Balsas,211080,MA,2008,1.0
284,São José de Ribamar,211120,MA,2008,47.0
285,São José dos Basílios,211125,MA,2008,12.0
286,São João Batista,211100,MA,2008,1.0
287,São João do Carú,211102,MA,2008,4.0
288,São João do Paraíso,211105,MA,2008,15.0
289,São João do Soter,211107,MA,2008,3.0
290,São João dos Patos,211110,MA,2008,12.0
291,São Luís,211130,MA,2008,1114.0
292,São Luís Gonzaga do Maranhão,211140,MA,2008,15.0
293,São Mateus do Maranhão,211150,MA,2008,2.0
294,São Pedro da Água Branca,211153,MA,2008,3.0
295,São Pedro dos Crentes,0,MA,2008,
296,São Raimundo das Mangabeiras,0,MA,2008,
297,São Raimundo do Doca Bezerra,0,MA,2008,
298,São Roberto,211167,MA,2008,1.0
299,São Vicente Ferrer,0,MA,2008,
300,Sítio Novo,211180,MA,2008,2.0
301,Tasso Fragoso,211200,MA,2008,12.0
302,Timbiras,211210,MA,2008,2.0
303,Timon,211220,MA,2008,146.0
304,Trizidela do Vale,211223,MA,2008,10.0
305,Tufilândia,211227,MA,2008,3.0
306,Tuntum,211230,MA,2008,45.0
307,Turiaçu,211240,MA,2008,12.0
308,Turilândia,211245,MA,2008,2.0
309,Tutóia,211250,MA,2008,9.0
310,Urbano Santos,211260,MA,2008,36.0
311,Vargem Grande,211270,MA,2008,7.0
312,Viana,211280,MA,2008,10.0
313,Vila Nova dos Martírios,211285,MA,2008,1.0
314,Vitorino Freire,211300,MA,2008,17.0
315,Vitória do Mearim,211290,MA,2008,3.0
316,Zé Doca,211400,MA,2008,24.0
317,Água Doce do Maranhão,210015,MA,2008,11.0
318,Acorizal,510010,MT,2008,3.0
319,Alta Floresta,510025,MT,2008,275.0
320,Alto Araguaia,510030,MT,2008,10.0
321,Alto Boa Vista,510035,MT,2008,348.0
322,Alto Garças,510040,MT,2008,10.0
323,Alto Paraguai,510050,MT,2008,1.0
324,Alto Taquari,0,MT,2008,
325,Apiacás,510080,MT,2008,1.0
326,Araguaiana,510100,MT,2008,51.0
327,Araguainha,0,MT,2008,
328,Araputanga,510125,MT,2008,4.0
329,Arenápolis,510130,MT,2008,13.0
330,Aripuanã,510140,MT,2008,134.0
331,Barra do Bugres,510170,MT,2008,30.0
332,Barra do Garças,510180,MT,2008,841.0
333,Barão de Melgaço,510160,MT,2008,5.0
334,Bom Jesus do Araguaia,510185,MT,2008,3.0
335,Brasnorte,510190,MT,2008,117.0
336,Campinápolis,510260,MT,2008,3.0
337,Campo Novo do Parecis,510263,MT,2008,99.0
338,Campo Verde,510267,MT,2008,14.0
339,Campos de Júlio,510268,MT,2008,15.0
340,Canabrava do Norte,0,MT,2008,
341,Canarana,510270,MT,2008,13.0
342,Carlinda,510279,MT,2008,82.0
343,Castanheira,510285,MT,2008,1.0
344,Chapada dos Guimarães,510300,MT,2008,7.0
345,Cláudia,510305,MT,2008,38.0
346,Cocalinho,0,MT,2008,
347,Colniza,510325,MT,2008,12.0
348,Colíder,510320,MT,2008,323.0
349,Comodoro,510330,MT,2008,62.0
350,Confresa,510335,MT,2008,166.0
351,Conquista D'Oeste,510336,MT,2008,7.0
352,Cotriguaçu,510337,MT,2008,35.0
353,Cuiabá,510340,MT,2008,515.0
354,Curvelândia,510343,MT,2008,1.0
355,Cáceres,510250,MT,2008,21.0
356,Denise,510345,MT,2008,1.0
