,Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,Nuvem,NaoObservado,NaoFloresta,Hidrografia,PercDesmatado
61,-12.34835,-46.59775,Taguatinga,TO,2458,2008,0.0,0.0,0.0,0.0,2457.6,2452.3,0.0,0.0
62,-4.02878,-69.69785999999999,Tabatinga,AM,3343,2008,154.5,1.1,834.5,2264.1,36.6,1.3,52.0,0.04621597367633862
63,-11.067169999999999,-56.77741999999999,Tabaporã,MT,8231,2008,2487.5,66.8,3496.5,0.0,0.7,2240.1,6.2,0.3022111529583283
64,-6.5022199999999994,-44.32649,Sucupira do Norte,MA,1087,2008,0.0,0.0,0.0,0.0,462.2,1087.8,0.0,0.0
65,-12.08831,-48.85414,Sucupira,TO,1030,2008,0.0,0.0,0.0,0.0,1031.4,1030.8,0.0,0.0
66,-0.53599,-48.677209999999995,Soure,PA,3528,2008,33.7,0.0,184.1,75.5,0.9,2502.9,730.9,0.009552154195011339
67,-12.69331,-55.777409999999996,Sorriso,MT,9349,2008,3969.3,2.9,1259.9,0.0,0.7,4119.1,0.0,0.4245694726708739
68,-5.64773,-47.65314,Sítio Novo do Tocantins,TO,325,2008,294.3,0.7,30.7,0.0,0.0,0.0,0.0,0.9055384615384616
69,-6.274369999999999,-46.55403,Sítio Novo,MA,3141,2008,57.8,0.1,0.0,0.0,867.1,3063.1,0.0,0.01840178287169691
70,-11.74201,-55.40265,Sinop,MT,3935,2008,2437.6,47.6,1342.7,0.0,0.0,136.3,18.4,0.6194663278271918
71,-2.8509900000000004,-58.496140000000004,Silves,AM,3758,2008,426.4,2.8,2192.5,410.5,1.2,128.7,598.7,0.11346460883448642
72,-11.11331,-48.22351,Silvanópolis,TO,1268,2008,0.0,0.0,0.0,0.0,1263.2,1268.6,0.0,0.0
73,-1.88674,-45.04397,Serrano do Maranhão,MA,1221,2008,1101.0,0.6,63.3,40.4,0.3,2.3,13.7,0.9017199017199017
74,-12.06992,-51.31397,Serra Nova Dourada,MT,1491,2008,281.8,9.6,246.5,0.0,0.0,962.7,0.0,0.18900067069081156
75,1.63998,-52.27148,Serra do Navio,AP,7762,2008,70.6,0.3,4802.0,2878.7,1.6,0.0,9.1,0.009095593919093016
76,-11.88579,-63.10785,Seringueiras,RO,3821,2008,1224.6,43.3,1901.4,0.0,0.0,695.0,0.0,0.32049201779638836
77,-5.31274,-47.07804,Senador La Rocque,MA,1247,2008,1141.6,13.2,105.4,0.0,0.0,0.0,0.0,0.915477145148356
78,-3.5582,-51.73873,Senador José Porfírio,PA,14389,2008,651.3,14.8,10732.2,2529.4,3.9,84.9,387.3,0.04526374313711863
79,-9.97788,-67.32124,Senador Guiomard,AC,2384,2008,1669.1,5.0,714.9,0.0,0.0,0.0,0.0,0.7001258389261744
80,-9.771469999999999,-69.33204,Sena Madureira,AC,24599,2008,1583.7,36.4,22990.6,0.0,21.7,2.4,0.6,0.06438066588072686
81,-3.9388900000000002,-45.26408,Satubinha,MA,447,2008,356.2,0.0,0.0,0.0,0.0,86.7,4.4,0.7968680089485458
82,-6.83358,-49.56823,Sapucaia,PA,1300,2008,1157.7,0.4,142.3,0.0,0.0,0.0,0.0,0.8905384615384616
83,-12.96091,-58.60201,Sapezal,MT,13636,2008,184.3,6.5,2704.5,145.1,5.7,10595.9,0.5,0.013515693751833383
84,-2.87304,-44.93268,São Vicente Ferrer,MA,393,2008,296.1,0.0,0.0,0.0,0.0,97.8,0.0,0.7534351145038168
85,-11.77169,-48.22797,São Valério da Natividade,TO,2532,2008,0.0,0.0,0.0,0.0,2531.8,2532.2,0.0,0.0
86,-1.89625,-58.81001,São Sebastião do Uatumã,AM,10776,2008,195.6,5.5,7983.6,1903.1,2.2,65.7,625.8,0.018151447661469932
87,-5.2432099999999995,-48.32049,São Sebastião do Tocantins,TO,287,2008,135.6,0.0,0.0,0.0,0.0,132.9,18.6,0.4724738675958188
88,-1.4310200000000002,-49.6042,São Sebastião da Boa Vista,PA,1636,2008,120.9,0.0,1145.9,78.2,0.0,175.1,115.9,0.07389975550122249
89,-12.54073,-48.35452,São Salvador do Tocantins,TO,1429,2008,0.0,0.0,0.0,0.0,1430.9,1429.0,0.0,0.0
90,-5.02229,-45.0238,São Roberto,MA,229,2008,229.7,0.0,0.0,0.0,0.0,0.0,0.0,1.003056768558952
91,-5.10345,-45.06812,São Raimundo do Doca Bezerra,MA,284,2008,279.9,0.0,3.8,0.0,0.3,0.0,0.0,0.9855633802816901
92,-7.052010000000001,-45.66837,São Raimundo das Mangabeiras,MA,3555,2008,0.0,0.0,0.0,0.0,3556.3,3555.6,0.0,0.0
93,-6.850280000000001,-46.80829,São Pedro dos Crentes,MA,987,2008,0.0,0.0,0.0,0.0,452.4,988.0,0.0,0.0
94,-15.96819,-54.74813,São Pedro da Cipa,MT,343,2008,305.7,0.0,6.3,0.0,0.0,31.0,0.0,0.8912536443148688
95,-5.1386400000000005,-48.3445,São Pedro da Água Branca,MA,725,2008,453.1,0.3,40.8,0.0,0.9,208.0,22.2,0.6249655172413794
96,-4.73714,-69.52391999999999,São Paulo de Olivença,AM,20467,2008,174.6,0.3,13082.3,6532.8,3.2,86.3,587.8,0.008530805687203791
97,-5.54593,-47.56455,São Miguel do Tocantins,TO,400,2008,332.0,1.7,51.0,0.0,0.0,4.2,12.8,0.83
98,-11.6207,-62.70568000000001,São Miguel do Guaporé,RO,8102,2008,2124.0,48.7,4179.7,0.0,0.1,1798.2,0.0,0.26215749197728955
99,-1.55275,-47.62771,São Miguel do Guamá,PA,1117,2008,880.9,8.1,185.7,0.0,3.0,15.2,32.2,0.7886302596239928
100,-3.98602,-44.504220000000004,São Mateus do Maranhão,MA,793,2008,456.5,0.0,0.0,0.0,223.1,106.9,9.0,0.5756620428751577
101,0.84851,-60.14343,São Luiz,RR,1537,2008,540.1,12.8,988.0,6.2,0.6,0.0,2.1,0.35139882888744306
102,-4.3794699999999995,-44.64014,São Luís Gonzaga do Maranhão,MA,981,2008,643.5,0.0,0.4,0.0,335.4,1.7,0.0,0.6559633027522935
103,-2.62711,-44.30617,São Luís,MA,839,2008,367.9,15.8,178.7,0.2,1.1,0.0,291.1,0.43849821215733015
104,-15.532160000000001,-58.336969999999994,São José dos Quatro Marcos,MT,1284,2008,1181.4,1.7,66.5,0.0,0.0,36.1,0.0,0.9200934579439253
105,-5.01499,-44.55154,São José dos Basílios,MA,366,2008,269.2,2.9,2.8,0.0,81.3,0.0,12.7,0.7355191256830601
106,-10.68304,-52.63992,São José do Xingu,MT,7465,2008,4280.8,94.2,2816.1,0.0,4.9,306.2,57.0,0.5734494306764903
107,-13.436010000000001,-56.79362,São José do Rio Claro,MT,4563,2008,1731.0,18.3,1726.3,0.0,0.0,1103.6,2.1,0.3793556870479947
108,-16.45731,-54.27559,São José do Povo,MT,443,2008,27.4,0.0,0.0,0.0,0.0,416.1,0.0,0.0618510158013544
109,-2.5952,-44.09279,São José de Ribamar,MA,390,2008,99.4,5.3,83.9,0.1,34.4,0.0,172.2,0.2548717948717949
110,-6.4398800000000005,-46.90735,São João do Paraíso,MA,2070,2008,252.6,0.7,21.9,0.0,0.7,1794.8,0.0,0.12202898550724638
111,-3.5971,-46.537440000000004,São João do Carú,MA,620,2008,394.0,0.2,54.0,171.8,0.2,0.0,0.0,0.635483870967742
112,-5.4417,-48.67711,São João do Araguaia,PA,1288,2008,885.9,34.8,212.3,0.0,0.0,73.7,116.1,0.6878105590062111
113,-0.77509,-47.26758,São João de Pirabas,PA,703,2008,196.0,4.8,279.7,132.0,1.0,12.9,81.4,0.27880512091038406
114,-0.8685,-47.96322,São João da Ponta,PA,197,2008,103.4,3.9,80.2,0.0,0.4,1.7,11.3,0.5248730964467005
115,0.77051,-59.92018,São João da Baliza,RR,4305,2008,495.5,14.9,3788.0,15.0,0.7,0.4,5.4,0.11509872241579559
116,-3.01337,-44.77539,São João Batista,MA,700,2008,148.6,0.0,57.3,0.0,0.1,358.8,135.2,0.21228571428571427
117,-6.16889,-48.75597,São Geraldo do Araguaia,PA,3181,2008,2484.8,7.9,352.9,0.0,0.0,314.1,29.2,0.7811380069160642
118,0.35952,-68.17017,São Gabriel da Cachoeira,AM,112476,2008,1180.6,9.6,81066.1,27862.6,394.7,489.7,1482.3,0.010496461467335252
119,-1.20761,-47.74858,São Francisco do Pará,PA,480,2008,415.5,2.5,61.9,0.0,1.2,1.3,0.1,0.865625
120,-12.3802,-62.946490000000004,São Francisco do Guaporé,RO,11095,2008,2424.3,46.4,5503.0,0.0,0.0,3144.7,23.0,0.21850383055430375
121,-5.1698900000000005,-47.32265,São Francisco do Brejão,MA,751,2008,712.5,2.4,38.5,0.0,0.0,0.0,0.0,0.9487350199733688
122,-7.461139999999999,-52.46225,São Félix do Xingu,PA,84253,2008,16206.2,765.1,63179.6,133.7,6.5,3788.0,939.0,0.19235160765788756
123,-10.043610000000001,-46.75224,São Félix do Tocantins,TO,1923,2008,0.0,0.0,0.0,0.0,1923.1,1923.4,0.0,0.0
124,-11.479560000000001,-52.50108,São Félix do Araguaia,MT,16851,2008,4387.1,210.1,6221.6,0.0,0.7,6180.1,61.5,0.26034656696931935
125,-7.10735,-44.885709999999996,São Félix de Balsas,MA,2057,2008,0.0,0.0,12.5,0.0,0.0,2044.5,0.0,0.0
126,-11.91634,-61.45463,São Felipe D'Oeste,RO,547,2008,485.1,0.4,61.9,0.0,0.0,0.0,0.0,0.886837294332724
127,-5.66656,-44.31635,São Domingos do Maranhão,MA,1168,2008,760.4,33.4,315.3,0.0,0.0,92.3,0.0,0.6510273972602739
128,-1.9272900000000002,-47.75973,São Domingos do Capim,PA,1686,2008,1328.5,12.5,303.7,0.0,2.7,15.2,35.9,0.7879596678529063
129,-6.84762,-44.59859,São Domingos do Azeitão,MA,974,2008,0.0,0.0,0.0,0.0,1071.8,974.2,0.0,0.0
130,-5.68166,-48.73065,São Domingos do Araguaia,PA,1397,2008,1266.6,9.8,130.4,0.0,0.0,0.0,0.0,0.9066571224051538
131,-0.82301,-48.03573,São Caetano de Odivelas,PA,752,2008,230.6,3.6,197.4,0.7,1.0,8.8,313.5,0.30664893617021277
132,-5.94912,-47.79323,São Bento do Tocantins,TO,1112,2008,348.4,0.7,77.5,0.0,1.4,684.7,0.0,0.3133093525179856
133,-2.78496,-44.93574,São Bento,MA,465,2008,362.8,0.0,1.9,0.0,0.0,99.8,0.5,0.7802150537634409
134,-4.8128,-44.4809,Santo Antônio dos Lopes,MA,781,2008,278.6,0.0,1.5,0.0,500.9,0.0,0.0,0.3567221510883483
135,-1.09607,-48.14127,Santo Antônio do Tauá,PA,540,2008,323.6,2.0,111.7,0.0,1.0,6.8,96.9,0.5992592592592593
136,-16.48613,-55.26485,Santo Antônio do Leverger,MT,12262,2008,1033.6,1.3,1106.9,0.0,0.3,10099.5,21.7,0.08429293753058228
137,-14.820129999999999,-53.691959999999995,Santo Antônio do Leste,MT,3597,2008,2.0,0.0,64.8,0.0,0.0,3530.2,0.0,0.0005560189046427579
138,-3.0807900000000004,-69.06723000000001,Santo Antônio do Içá,AM,12737,2008,132.2,1.1,11272.5,704.6,86.0,90.4,451.3,0.010379210175080473
139,-14.44224,-57.21069,Santo Afonso,MT,1172,2008,944.3,7.0,223.3,0.0,0.0,4.4,0.0,0.805716723549488
140,-0.90151,-47.345859999999995,Santarém Novo,PA,230,2008,147.5,3.1,71.3,0.0,0.5,1.9,8.8,0.6413043478260869
141,-2.81346,-55.58935,Santarém,PA,22890,2008,4505.0,56.8,12781.5,1040.0,12.2,663.5,3887.8,0.19681083442551334
142,-9.276660000000001,-50.54546,Santana do Araguaia,PA,11609,2008,6999.9,191.2,3735.5,0.0,0.3,808.4,64.9,0.6029718321991558
143,0.17769000000000001,-51.42352,Santana,AP,1578,2008,74.2,4.5,399.5,119.6,0.4,940.0,44.3,0.04702154626108999
144,-6.4848300000000005,-47.76416,Santa Terezinha do Tocantins,TO,271,2008,73.3,0.0,24.2,0.0,0.5,173.0,0.0,0.27047970479704797
145,-10.2875,-50.98703,Santa Terezinha,MT,6459,2008,2534.8,42.6,2288.8,0.0,344.5,1243.7,47.2,0.39244465087474845
146,-10.29171,-47.74599,Santa Tereza do Tocantins,TO,543,2008,0.0,0.0,0.0,0.0,0.0,543.7,0.0,0.0
147,-11.41267,-48.13864,Santa Rosa do Tocantins,TO,1804,2008,0.0,0.0,0.0,0.0,1804.4,1804.1,0.0,0.0
148,-9.51622,-70.29089,Santa Rosa do Purus,AC,6350,2008,70.2,2.2,6206.8,0.0,38.0,0.1,34.9,0.01105511811023622
149,-13.78307,-55.28771999999999,Santa Rita do Trivelato,MT,4756,2008,666.0,1.4,682.9,0.0,0.0,3407.1,0.0,0.1400336417157275
150,-10.96311,-49.32012,Santa Rita do Tocantins,TO,3285,2008,20.3,0.2,0.0,0.0,1106.5,3247.0,0.2,0.006179604261796043
151,-3.15407,-44.33057,Santa Rita,MA,718,2008,234.2,21.7,286.8,5.6,1.0,168.6,21.8,0.32618384401114203
152,-8.800989999999999,-47.89796,Santa Maria do Tocantins,TO,1419,2008,0.0,0.0,0.0,0.0,0.0,1410.6,9.3,0.0
153,-1.36579,-47.53045,Santa Maria do Pará,PA,460,2008,413.5,1.0,45.0,0.0,1.5,0.0,0.0,0.8989130434782608
154,-8.64175,-50.39224,Santa Maria das Barreiras,PA,10351,2008,5720.6,106.6,2072.5,0.0,0.0,2508.9,49.0,0.5526615785914405
155,-2.52815,-45.77625,Santa Luzia do Paruá,MA,908,2008,863.4,0.3,0.0,141.2,0.0,30.5,0.0,0.9508810572687224
156,-1.72515,-46.89921,Santa Luzia do Pará,PA,1367,2008,1239.2,5.6,115.7,11.9,0.2,0.0,0.0,0.9065106071689832
157,-12.1423,-61.729459999999996,Santa Luzia D'Oeste,RO,1207,2008,973.0,3.7,234.0,0.0,0.0,0.0,0.0,0.8061309030654515
158,-4.29175,-45.936820000000004,Santa Luzia,MA,6245,2008,5677.3,50.3,566.7,0.7,0.3,0.0,0.0,0.9090952762209769
159,-0.25129,-64.98731,Santa Isabel do Rio Negro,AM,64130,2008,207.2,1.3,58882.6,3381.4,79.7,950.8,628.3,0.0032309371588959924
160,-1.36752,-48.12871,Santa Isabel do Pará,PA,720,2008,532.2,1.5,161.2,0.0,1.7,4.1,20.8,0.7391666666666667
161,-3.85236,-45.42994,Santa Inês,MA,778,2008,766.3,0.0,0.0,0.0,0.0,8.6,3.5,0.9849614395886889
162,-2.4694599999999998,-45.536809999999996,Santa Helena,MA,2335,2008,1405.8,9.2,154.1,37.2,0.7,629.3,107.9,0.6020556745182013
163,-5.49785,-44.60715,Santa Filomena do Maranhão,MA,408,2008,54.7,1.5,14.0,0.0,0.0,339.3,0.0,0.1340686274509804
164,-7.0407,-49.04623,Santa Fé do Araguaia,TO,1683,2008,1260.3,1.8,363.4,0.0,0.0,0.0,59.3,0.7488413547237076
165,-10.04129,-52.55143,Santa Cruz do Xingu,MT,5627,2008,1341.5,7.7,2598.5,0.0,0.0,1621.6,65.4,0.23840412297849653
166,-0.55415,-49.32373,Santa Cruz do Arari,PA,1078,2008,0.0,0.0,2.8,2.9,0.0,1044.1,28.2,0.0
167,-11.946639999999999,-54.842240000000004,Santa Carmem,MT,3836,2008,1437.0,24.3,2399.0,0.0,0.0,0.0,0.0,0.3746089676746611
168,-1.19187,-48.2373,Santa Bárbara do Pará,PA,279,2008,159.0,1.2,99.7,0.0,0.7,0.0,19.6,0.5698924731182796
169,-12.38825,-49.85725,Sandolândia,TO,3536,2008,4.1,0.0,74.0,0.0,2.2,3440.9,14.8,0.001159502262443439
