Municipio,CodIbge,Estado,Ano,Internações - Dengue
Anapu,150085,PA,2008,0.0
Augusto Corrêa,150090,PA,2008,137.0
Aurora do Pará,150095,PA,2008,7.0
Aveiro,150100,PA,2008,0.0
Bagre,150110,PA,2008,0.0
Baião,150120,PA,2008,3.0
Bannach,150125,PA,2008,7.0
Barcarena,150130,PA,2008,21.0
Belterra,150145,PA,2008,31.0
Belém,150140,PA,2008,236.0
Benevides,150150,PA,2008,14.0
Bom Jesus do Tocantins,150157,PA,2008,112.0
Bonito,150160,PA,2008,13.0
Bragança,150170,PA,2008,250.0
Brasil Novo,150172,PA,2008,0.0
Brejo Grande do Araguaia,150175,PA,2008,29.0
Breu Branco,150178,PA,2008,43.0
Breves,150180,PA,2008,12.0
Bujaru,150190,PA,2008,14.0
Cachoeira do Arari,150200,PA,2008,0.0
Cachoeira do Piriá,150195,PA,2008,7.0
Cametá,150210,PA,2008,146.0
Canaã dos Carajás,150215,PA,2008,4.0
Capanema,150220,PA,2008,93.0
Capitão Poço,150230,PA,2008,44.0
Castanhal,150240,PA,2008,52.0
Chaves,150250,PA,2008,0.0
Colares,150260,PA,2008,0.0
Conceição do Araguaia,150270,PA,2008,246.0
Concórdia do Pará,150275,PA,2008,1.0
Cumaru do Norte,150276,PA,2008,5.0
Curionópolis,150277,PA,2008,37.0
Curralinho,150280,PA,2008,2.0
Curuá,0,PA,2008,
Curuçá,150290,PA,2008,3.0
Dom Eliseu,150293,PA,2008,173.0
Eldorado do Carajás,150295,PA,2008,17.0
Faro,150300,PA,2008,0.0
Floresta do Araguaia,150304,PA,2008,11.0
Garrafão do Norte,150307,PA,2008,2.0
Goianésia do Pará,150309,PA,2008,81.0
Gurupá,150310,PA,2008,0.0
Igarapé-Açu,150320,PA,2008,12.0
Igarapé-Miri,150330,PA,2008,34.0
Inhangapi,150340,PA,2008,2.0
Ipixuna do Pará,150345,PA,2008,1.0
Irituia,150350,PA,2008,6.0
Itaituba,150360,PA,2008,194.0
Itupiranga,150370,PA,2008,92.0
Jacareacanga,150375,PA,2008,2.0
Jacundá,150380,PA,2008,160.0
Juruti,150390,PA,2008,15.0
Limoeiro do Ajuru,150400,PA,2008,18.0
Magalhães Barata,150410,PA,2008,0.0
Marabá,150420,PA,2008,115.0
Maracanã,150430,PA,2008,96.0
Marapanim,150440,PA,2008,7.0
Marituba,150442,PA,2008,31.0
Medicilândia,150445,PA,2008,0.0
Melgaço,150450,PA,2008,1.0
Mocajuba,150460,PA,2008,6.0
Moju,150470,PA,2008,103.0
Monte Alegre,150480,PA,2008,30.0
Muaná,150490,PA,2008,5.0
Mãe do Rio,150405,PA,2008,38.0
Nova Esperança do Piriá,150495,PA,2008,2.0
Nova Ipixuna,150497,PA,2008,4.0
Nova Timboteua,150500,PA,2008,5.0
Novo Progresso,150503,PA,2008,163.0
Novo Repartimento,150506,PA,2008,33.0
Oeiras do Pará,150520,PA,2008,5.0
Oriximiná,150530,PA,2008,48.0
Ourilândia do Norte,150543,PA,2008,47.0
Ourém,150540,PA,2008,40.0
Pacajá,150548,PA,2008,8.0
Palestina do Pará,150549,PA,2008,97.0
Paragominas,150550,PA,2008,103.0
Parauapebas,150553,PA,2008,356.0
Pau D'Arco,150555,PA,2008,24.0
Peixe-Boi,150560,PA,2008,3.0
Piçarra,150563,PA,2008,89.0
Placas,150565,PA,2008,3.0
Ponta de Pedras,150570,PA,2008,0.0
Portel,150580,PA,2008,6.0
Porto de Moz,150590,PA,2008,0.0
Prainha,150600,PA,2008,0.0
Primavera,150610,PA,2008,7.0
Quatipuru,150611,PA,2008,5.0
Redenção,150613,PA,2008,182.0
Rio Maria,150616,PA,2008,150.0
Rondon do Pará,150618,PA,2008,191.0
Rurópolis,150619,PA,2008,41.0
Salinópolis,150620,PA,2008,20.0
Salvaterra,150630,PA,2008,4.0
Santa Bárbara do Pará,150635,PA,2008,1.0
Santa Cruz do Arari,150640,PA,2008,1.0
Santa Izabel do Pará,150650,PA,2008,511.0
Santa Luzia do Pará,150655,PA,2008,5.0
Santa Maria das Barreiras,150658,PA,2008,25.0
Santa Maria do Pará,150660,PA,2008,41.0
Santana do Araguaia,150670,PA,2008,244.0
Santarém,150680,PA,2008,103.0
Santarém Novo,150690,PA,2008,3.0
Santo Antônio do Tauá,150700,PA,2008,75.0
Sapucaia,150775,PA,2008,3.0
Senador José Porfírio,150780,PA,2008,0.0
Soure,150790,PA,2008,40.0
São Caetano de Odivelas,150710,PA,2008,1.0
São Domingos do Araguaia,150715,PA,2008,105.0
São Domingos do Capim,150720,PA,2008,2.0
São Francisco do Pará,150740,PA,2008,0.0
São Félix do Xingu,150730,PA,2008,80.0
São Geraldo do Araguaia,150745,PA,2008,189.0
São João da Ponta,150746,PA,2008,0.0
São João de Pirabas,150747,PA,2008,119.0
São João do Araguaia,150750,PA,2008,16.0
São Miguel do Guamá,150760,PA,2008,18.0
São Sebastião da Boa Vista,150770,PA,2008,12.0
Tailândia,150795,PA,2008,30.0
Terra Alta,150796,PA,2008,0.0
Terra Santa,150797,PA,2008,2.0
Tomé-Açu,150800,PA,2008,27.0
Tracuateua,150803,PA,2008,32.0
Trairão,150805,PA,2008,19.0
Tucumã,150808,PA,2008,56.0
Tucuruí,150810,PA,2008,26.0
Ulianópolis,150812,PA,2008,63.0
Uruará,150815,PA,2008,1.0
Vigia,150820,PA,2008,29.0
Viseu,150830,PA,2008,195.0
Vitória do Xingu,150835,PA,2008,0.0
Xinguara,150840,PA,2008,262.0
Água Azul do Norte,150034,PA,2008,194.0
Óbidos,150510,PA,2008,6.0
Alta Floresta D'Oeste,110001,RO,2008,65.0
Alto Alegre dos Parecis,110037,RO,2008,1.0
Alto Paraíso,110040,RO,2008,1.0
Alvorada D'Oeste,110034,RO,2008,10.0
Ariquemes,110002,RO,2008,3.0
Buritis,110045,RO,2008,0.0
Cabixi,110003,RO,2008,0.0
Cacaulândia,110060,RO,2008,0.0
Cacoal,110004,RO,2008,53.0
Campo Novo de Rondônia,110070,RO,2008,3.0
Candeias do Jamari,110080,RO,2008,2.0
Castanheiras,110090,RO,2008,0.0
Cerejeiras,110005,RO,2008,67.0
Chupinguaia,110092,RO,2008,0.0
Colorado do Oeste,110006,RO,2008,87.0
Corumbiara,110007,RO,2008,3.0
Costa Marques,110008,RO,2008,0.0
Cujubim,110094,RO,2008,0.0
Espigão D'Oeste,110009,RO,2008,7.0
Governador Jorge Teixeira,110100,RO,2008,1.0
Guajará-Mirim,110010,RO,2008,74.0
Itapuã do Oeste,110110,RO,2008,0.0
Jaru,110011,RO,2008,32.0
Ji-Paraná,110012,RO,2008,147.0
Machadinho D'Oeste,110013,RO,2008,2.0
