Municipio,CodIbge,Estado,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Boa Vista do Gurupi,210197,MA,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,55.0,0.0,0.0,0.0
Bom Jardim,210200,MA,44.0,12.0,34.0,127.0,86.0,31.0,19.0,53.0,83.0,15.0,3.0,8.0
Bom Jesus das Selvas,210203,MA,2.0,4.0,9.0,13.0,46.0,10.0,5.0,2.0,2.0,7.0,3.0,11.0
Bom Lugar,210207,MA,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Brejo,210210,MA,172.0,56.0,167.0,285.0,147.0,14.0,17.0,185.0,124.0,8.0,1.0,1.0
Brejo de Areia,210215,MA,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
Buriti,210220,MA,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,2.0
Buriti Bravo,210230,MA,8.0,58.0,13.0,69.0,24.0,31.0,10.0,62.0,116.0,2.0,3.0,9.0
Buriticupu,210232,MA,2.0,7.0,56.0,87.0,27.0,26.0,28.0,49.0,56.0,0.0,12.0,5.0
Buritirana,210235,MA,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0
Cachoeira Grande,210237,MA,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Cajapió,210240,MA,0.0,2.0,2.0,2.0,6.0,4.0,0.0,1.0,1.0,0.0,1.0,4.0
Cajari,210250,MA,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Campestre do Maranhão,210255,MA,9.0,9.0,12.0,9.0,2.0,4.0,0.0,3.0,2.0,0.0,1.0,7.0
Cândido Mendes,210260,MA,2.0,0.0,4.0,12.0,21.0,0.0,21.0,1.0,1.0,5.0,2.0,3.0
Cantanhede,210270,MA,1.0,0.0,3.0,26.0,47.0,72.0,50.0,21.0,5.0,3.0,0.0,0.0
