Municipio,CodIbge,Estado,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abaetetuba,150010,PA,88.0,52.0,261.0,201.0,238.0,138.0,30.0,55.0,94.0,36.0,9.0,7.0
Abel Figueiredo,150013,PA,12.0,25.0,30.0,18.0,28.0,15.0,7.0,5.0,3.0,4.0,1.0,7.0
Acará,150020,PA,86.0,57.0,23.0,9.0,11.0,4.0,6.0,4.0,1.0,3.0,2.0,2.0
Afuá,150030,PA,4.0,0.0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0
Alenquer,150040,PA,36.0,1.0,0.0,7.0,1.0,0.0,0.0,27.0,1.0,0.0,6.0,3.0
Almeirim,150050,PA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
Altamira,150060,PA,2.0,154.0,414.0,524.0,447.0,369.0,254.0,215.0,91.0,47.0,11.0,3.0
Anajás,150070,PA,1.0,0.0,0.0,10.0,1.0,4.0,1.0,2.0,0.0,3.0,0.0,0.0
Ananindeua,150080,PA,575.0,227.0,709.0,750.0,459.0,180.0,47.0,39.0,25.0,4.0,14.0,13.0
Anapu,150085,PA,0.0,9.0,29.0,13.0,6.0,46.0,53.0,6.0,13.0,46.0,3.0,43.0
Augusto Corrêa,150090,PA,137.0,146.0,163.0,170.0,143.0,81.0,12.0,95.0,69.0,28.0,91.0,28.0
Aurora do Pará,150095,PA,7.0,1.0,1.0,10.0,11.0,5.0,3.0,4.0,10.0,3.0,3.0,0.0
Aveiro,150100,PA,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagre,150110,PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Baião,150120,PA,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
Bannach,150125,PA,7.0,6.0,21.0,27.0,1.0,37.0,8.0,3.0,1.0,7.0,0.0,7.0
Barcarena,150130,PA,21.0,15.0,55.0,51.0,90.0,46.0,12.0,21.0,19.0,4.0,5.0,1.0
Belterra,150145,PA,31.0,17.0,48.0,41.0,32.0,15.0,1.0,1.0,1.0,14.0,5.0,1.0
Belém,150140,PA,236.0,218.0,482.0,264.0,185.0,74.0,43.0,47.0,14.0,7.0,15.0,20.0
Benevides,150150,PA,14.0,22.0,41.0,28.0,11.0,4.0,2.0,3.0,2.0,0.0,4.0,1.0
Bom Jesus do Tocantins,150157,PA,112.0,62.0,82.0,52.0,17.0,5.0,5.0,7.0,22.0,28.0,10.0,11.0
Bonito,150160,PA,13.0,3.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Bragança,150170,PA,250.0,114.0,180.0,277.0,163.0,100.0,43.0,51.0,186.0,189.0,39.0,68.0
Brasil Novo,150172,PA,0.0,1.0,7.0,8.0,5.0,6.0,2.0,6.0,7.0,3.0,0.0,2.0
Brejo Grande do Araguaia,150175,PA,29.0,19.0,11.0,15.0,9.0,3.0,9.0,10.0,12.0,8.0,12.0,2.0
Breu Branco,150178,PA,43.0,12.0,3.0,9.0,4.0,3.0,3.0,17.0,11.0,1.0,0.0,3.0
Breves,150180,PA,12.0,20.0,16.0,31.0,21.0,16.0,6.0,35.0,35.0,0.0,3.0,3.0
Bujaru,150190,PA,14.0,1.0,9.0,1.0,103.0,62.0,46.0,38.0,65.0,35.0,0.0,0.0
Cachoeira do Arari,150200,PA,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cachoeira do Piriá,150195,PA,7.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
Cametá,150210,PA,146.0,81.0,208.0,172.0,84.0,35.0,7.0,11.0,17.0,3.0,0.0,0.0
Canaã dos Carajás,150215,PA,4.0,11.0,17.0,15.0,5.0,1.0,7.0,14.0,6.0,13.0,1.0,18.0
Capanema,150220,PA,93.0,85.0,65.0,58.0,60.0,18.0,14.0,15.0,45.0,2.0,5.0,20.0
Capitão Poço,150230,PA,44.0,12.0,2.0,7.0,17.0,12.0,5.0,15.0,17.0,9.0,13.0,0.0
Castanhal,150240,PA,52.0,74.0,92.0,106.0,39.0,23.0,21.0,25.0,15.0,18.0,17.0,10.0
Chaves,150250,PA,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colares,150260,PA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Conceição do Araguaia,150270,PA,246.0,100.0,68.0,125.0,97.0,84.0,26.0,30.0,44.0,43.0,30.0,63.0
Concórdia do Pará,150275,PA,1.0,2.0,3.0,4.0,8.0,2.0,1.0,1.0,1.0,0.0,4.0,4.0
Cumaru do Norte,150276,PA,5.0,2.0,0.0,5.0,4.0,9.0,20.0,15.0,16.0,6.0,0.0,1.0
Curionópolis,150277,PA,37.0,69.0,16.0,30.0,4.0,3.0,6.0,1.0,0.0,14.0,17.0,77.0
Curralinho,150280,PA,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Curuá,0,PA,,,,,,,,,,,,
Curuçá,150290,PA,3.0,0.0,61.0,8.0,3.0,7.0,3.0,5.0,7.0,1.0,0.0,2.0
Dom Eliseu,150293,PA,173.0,81.0,16.0,23.0,44.0,74.0,75.0,72.0,290.0,64.0,5.0,18.0
Eldorado do Carajás,150295,PA,17.0,29.0,2.0,53.0,11.0,7.0,16.0,4.0,14.0,0.0,0.0,1.0
Faro,150300,PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Floresta do Araguaia,150304,PA,11.0,62.0,27.0,59.0,11.0,5.0,1.0,8.0,13.0,2.0,2.0,1.0
Garrafão do Norte,150307,PA,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0
Goianésia do Pará,150309,PA,81.0,52.0,10.0,35.0,52.0,5.0,2.0,3.0,122.0,130.0,15.0,28.0
Gurupá,150310,PA,0.0,0.0,0.0,3.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Igarapé-Açu,150320,PA,12.0,13.0,5.0,25.0,20.0,4.0,1.0,1.0,0.0,0.0,5.0,0.0
Igarapé-Miri,150330,PA,34.0,11.0,13.0,28.0,11.0,6.0,0.0,1.0,7.0,2.0,2.0,1.0
Inhangapi,150340,PA,2.0,15.0,26.0,28.0,53.0,4.0,4.0,88.0,32.0,1.0,0.0,0.0
Ipixuna do Pará,150345,PA,1.0,1.0,6.0,13.0,3.0,7.0,12.0,9.0,4.0,2.0,0.0,3.0
Irituia,150350,PA,6.0,58.0,2.0,13.0,49.0,43.0,13.0,8.0,5.0,3.0,23.0,3.0
Itaituba,150360,PA,194.0,57.0,195.0,125.0,51.0,35.0,46.0,24.0,8.0,5.0,2.0,1.0
Itupiranga,150370,PA,92.0,74.0,74.0,87.0,29.0,38.0,16.0,10.0,35.0,19.0,8.0,8.0
Jacareacanga,150375,PA,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jacundá,150380,PA,160.0,107.0,103.0,361.0,223.0,111.0,59.0,23.0,9.0,73.0,8.0,6.0
Juruti,150390,PA,15.0,64.0,44.0,20.0,18.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0
Limoeiro do Ajuru,150400,PA,18.0,13.0,4.0,13.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Magalhães Barata,150410,PA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marabá,150420,PA,115.0,46.0,10.0,39.0,13.0,7.0,7.0,19.0,12.0,6.0,0.0,13.0
Maracanã,150430,PA,96.0,23.0,13.0,25.0,20.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0
Marapanim,150440,PA,7.0,7.0,40.0,49.0,8.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0
Marituba,150442,PA,31.0,43.0,133.0,76.0,44.0,12.0,14.0,14.0,9.0,16.0,25.0,4.0
Medicilândia,150445,PA,0.0,0.0,10.0,9.0,10.0,34.0,46.0,36.0,12.0,1.0,0.0,9.0
Melgaço,150450,PA,1.0,2.0,2.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Mocajuba,150460,PA,6.0,7.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Moju,150470,PA,103.0,33.0,44.0,19.0,8.0,5.0,1.0,11.0,1.0,3.0,7.0,9.0
Monte Alegre,150480,PA,30.0,31.0,43.0,260.0,60.0,29.0,8.0,40.0,47.0,2.0,1.0,0.0
Muaná,150490,PA,5.0,0.0,1.0,4.0,7.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0
Mãe do Rio,150405,PA,38.0,59.0,4.0,11.0,41.0,34.0,4.0,7.0,3.0,3.0,24.0,17.0
Nova Esperança do Piriá,150495,PA,2.0,1.0,1.0,0.0,7.0,7.0,0.0,0.0,4.0,49.0,4.0,0.0
Nova Ipixuna,150497,PA,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Nova Timboteua,150500,PA,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Novo Progresso,150503,PA,163.0,12.0,150.0,95.0,14.0,38.0,5.0,4.0,30.0,4.0,1.0,0.0
Novo Repartimento,150506,PA,33.0,21.0,21.0,66.0,5.0,9.0,7.0,7.0,10.0,24.0,19.0,13.0
Oeiras do Pará,150520,PA,5.0,3.0,11.0,11.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0
Oriximiná,150530,PA,48.0,5.0,16.0,34.0,72.0,41.0,59.0,16.0,89.0,18.0,5.0,2.0
Ourilândia do Norte,150543,PA,47.0,7.0,48.0,28.0,62.0,86.0,9.0,82.0,46.0,29.0,4.0,55.0
Ourém,150540,PA,40.0,11.0,1.0,0.0,3.0,7.0,4.0,6.0,11.0,5.0,11.0,4.0
Pacajá,150548,PA,8.0,42.0,68.0,104.0,53.0,60.0,17.0,27.0,46.0,20.0,4.0,5.0
Palestina do Pará,150549,PA,97.0,78.0,51.0,71.0,19.0,15.0,12.0,5.0,4.0,29.0,20.0,13.0
Paragominas,150550,PA,103.0,26.0,14.0,24.0,8.0,4.0,1.0,4.0,6.0,6.0,3.0,0.0
Parauapebas,150553,PA,356.0,89.0,47.0,61.0,23.0,9.0,7.0,15.0,11.0,23.0,10.0,24.0
Pau D'Arco,150555,PA,24.0,22.0,24.0,44.0,19.0,22.0,12.0,5.0,12.0,11.0,8.0,1.0
Peixe-Boi,150560,PA,3.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Piçarra,150563,PA,89.0,22.0,54.0,48.0,37.0,25.0,1.0,0.0,2.0,0.0,2.0,3.0
Placas,150565,PA,3.0,41.0,105.0,80.0,99.0,242.0,49.0,57.0,35.0,14.0,8.0,29.0
Ponta de Pedras,150570,PA,0.0,35.0,1.0,5.0,13.0,21.0,33.0,45.0,11.0,0.0,3.0,1.0
Portel,150580,PA,6.0,4.0,49.0,10.0,6.0,9.0,12.0,13.0,10.0,2.0,0.0,0.0
Porto de Moz,150590,PA,0.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0
Prainha,150600,PA,0.0,0.0,5.0,36.0,2.0,2.0,2.0,5.0,13.0,2.0,2.0,2.0
Primavera,150610,PA,7.0,12.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Quatipuru,150611,PA,5.0,1.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Redenção,150613,PA,182.0,50.0,92.0,79.0,56.0,18.0,14.0,3.0,6.0,35.0,22.0,12.0
Rio Maria,150616,PA,150.0,102.0,182.0,142.0,51.0,87.0,10.0,8.0,16.0,6.0,3.0,5.0
Rondon do Pará,150618,PA,191.0,50.0,46.0,91.0,56.0,28.0,12.0,43.0,140.0,20.0,12.0,14.0
Rurópolis,150619,PA,41.0,36.0,6.0,15.0,14.0,26.0,3.0,29.0,33.0,5.0,3.0,4.0
Salinópolis,150620,PA,20.0,26.0,95.0,62.0,74.0,16.0,37.0,9.0,6.0,5.0,6.0,7.0
Salvaterra,150630,PA,4.0,0.0,0.0,6.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Santa Bárbara do Pará,150635,PA,1.0,3.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Cruz do Arari,150640,PA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Izabel do Pará,150650,PA,511.0,226.0,17.0,10.0,64.0,32.0,10.0,28.0,2.0,0.0,4.0,1.0
Santa Luzia do Pará,150655,PA,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0
Santa Maria das Barreiras,150658,PA,25.0,9.0,0.0,3.0,12.0,17.0,6.0,2.0,2.0,5.0,7.0,13.0
Santa Maria do Pará,150660,PA,41.0,64.0,100.0,222.0,146.0,139.0,41.0,13.0,18.0,24.0,9.0,1.0
Santana do Araguaia,150670,PA,244.0,41.0,28.0,11.0,62.0,44.0,7.0,17.0,62.0,9.0,4.0,21.0
Santarém,150680,PA,103.0,15.0,30.0,75.0,19.0,34.0,9.0,13.0,11.0,3.0,1.0,2.0
Santarém Novo,150690,PA,3.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Santo Antônio do Tauá,150700,PA,75.0,66.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Sapucaia,150775,PA,3.0,13.0,5.0,8.0,13.0,39.0,7.0,12.0,35.0,3.0,1.0,2.0
Senador José Porfírio,150780,PA,0.0,3.0,5.0,9.0,9.0,9.0,16.0,58.0,8.0,3.0,2.0,20.0
Soure,150790,PA,40.0,16.0,123.0,128.0,231.0,23.0,3.0,22.0,15.0,5.0,0.0,8.0
São Caetano de Odivelas,150710,PA,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
São Domingos do Araguaia,150715,PA,105.0,40.0,38.0,34.0,9.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0
São Domingos do Capim,150720,PA,2.0,0.0,6.0,4.0,7.0,3.0,7.0,0.0,0.0,7.0,2.0,1.0
São Francisco do Pará,150740,PA,0.0,0.0,6.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
São Félix do Xingu,150730,PA,80.0,146.0,127.0,89.0,184.0,80.0,78.0,34.0,47.0,19.0,8.0,33.0
São Geraldo do Araguaia,150745,PA,189.0,90.0,24.0,181.0,153.0,111.0,62.0,39.0,75.0,191.0,5.0,7.0
São João da Ponta,150746,PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
São João de Pirabas,150747,PA,119.0,123.0,140.0,25.0,34.0,11.0,4.0,3.0,2.0,6.0,0.0,1.0
São João do Araguaia,150750,PA,16.0,18.0,88.0,68.0,16.0,21.0,0.0,3.0,58.0,50.0,49.0,27.0
São Miguel do Guamá,150760,PA,18.0,27.0,13.0,24.0,15.0,5.0,8.0,7.0,3.0,2.0,1.0,1.0
São Sebastião da Boa Vista,150770,PA,12.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tailândia,150795,PA,30.0,10.0,113.0,82.0,10.0,3.0,8.0,3.0,3.0,2.0,4.0,4.0
Terra Alta,150796,PA,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
Terra Santa,150797,PA,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Tomé-Açu,150800,PA,27.0,34.0,51.0,88.0,86.0,35.0,33.0,19.0,36.0,2.0,3.0,9.0
Tracuateua,150803,PA,32.0,6.0,54.0,43.0,14.0,7.0,5.0,14.0,52.0,13.0,15.0,12.0
Trairão,150805,PA,19.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Tucumã,150808,PA,56.0,33.0,193.0,296.0,146.0,79.0,53.0,77.0,173.0,204.0,19.0,77.0
Tucuruí,150810,PA,26.0,5.0,8.0,22.0,20.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0
Ulianópolis,150812,PA,63.0,53.0,28.0,144.0,51.0,15.0,6.0,9.0,58.0,1.0,14.0,4.0
Uruará,150815,PA,1.0,69.0,494.0,246.0,222.0,291.0,113.0,114.0,23.0,25.0,4.0,5.0
Vigia,150820,PA,29.0,24.0,29.0,20.0,29.0,12.0,6.0,7.0,6.0,7.0,3.0,0.0
Viseu,150830,PA,195.0,135.0,197.0,128.0,101.0,100.0,25.0,130.0,176.0,30.0,55.0,25.0
Vitória do Xingu,150835,PA,0.0,0.0,96.0,73.0,9.0,33.0,7.0,13.0,5.0,3.0,0.0,3.0
Xinguara,150840,PA,262.0,162.0,201.0,173.0,49.0,46.0,21.0,59.0,77.0,126.0,5.0,17.0
Água Azul do Norte,150034,PA,194.0,87.0,111.0,58.0,51.0,54.0,5.0,11.0,25.0,193.0,1.0,35.0
Óbidos,150510,PA,6.0,0.0,0.0,0.0,1.0,16.0,0.0,1.0,18.0,5.0,1.0,1.0
Alta Floresta D'Oeste,110001,RO,65.0,212.0,64.0,15.0,31.0,130.0,40.0,88.0,58.0,22.0,5.0,76.0
Alto Alegre dos Parecis,110037,RO,1.0,11.0,89.0,39.0,35.0,53.0,14.0,22.0,15.0,11.0,7.0,13.0
Alto Paraíso,110040,RO,1.0,24.0,45.0,63.0,50.0,108.0,39.0,17.0,37.0,15.0,20.0,10.0
Alvorada D'Oeste,110034,RO,10.0,173.0,147.0,59.0,10.0,29.0,8.0,16.0,17.0,3.0,11.0,0.0
Ariquemes,110002,RO,3.0,93.0,107.0,25.0,20.0,47.0,77.0,53.0,79.0,42.0,5.0,12.0
Buritis,110045,RO,0.0,6.0,5.0,2.0,6.0,60.0,22.0,10.0,8.0,7.0,4.0,6.0
Cabixi,110003,RO,0.0,1.0,24.0,11.0,11.0,8.0,14.0,59.0,32.0,3.0,18.0,80.0
Cacaulândia,110060,RO,0.0,5.0,6.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0
Cacoal,110004,RO,53.0,116.0,164.0,20.0,14.0,53.0,26.0,18.0,27.0,10.0,8.0,13.0
Campo Novo de Rondônia,110070,RO,3.0,33.0,89.0,63.0,9.0,65.0,86.0,15.0,27.0,28.0,5.0,6.0
Candeias do Jamari,110080,RO,2.0,4.0,9.0,2.0,0.0,5.0,2.0,3.0,6.0,1.0,2.0,0.0
Castanheiras,110090,RO,0.0,2.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Cerejeiras,110005,RO,67.0,134.0,111.0,183.0,114.0,181.0,42.0,70.0,65.0,17.0,8.0,7.0
Chupinguaia,110092,RO,0.0,3.0,5.0,2.0,5.0,4.0,7.0,3.0,1.0,1.0,0.0,0.0
Colorado do Oeste,110006,RO,87.0,157.0,278.0,187.0,244.0,80.0,22.0,37.0,105.0,42.0,20.0,30.0
Corumbiara,110007,RO,3.0,6.0,34.0,11.0,10.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0
Costa Marques,110008,RO,0.0,1.0,0.0,1.0,0.0,17.0,8.0,15.0,5.0,2.0,2.0,2.0
Cujubim,110094,RO,0.0,1.0,27.0,63.0,15.0,3.0,1.0,1.0,6.0,23.0,3.0,0.0
Espigão D'Oeste,110009,RO,7.0,20.0,15.0,16.0,16.0,64.0,25.0,24.0,30.0,5.0,9.0,8.0
Governador Jorge Teixeira,110100,RO,1.0,98.0,24.0,2.0,2.0,8.0,2.0,5.0,3.0,2.0,0.0,0.0
Guajará-Mirim,110010,RO,74.0,47.0,44.0,12.0,24.0,25.0,13.0,9.0,13.0,1.0,6.0,6.0
Itapuã do Oeste,110110,RO,0.0,2.0,14.0,20.0,9.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0
Jaru,110011,RO,32.0,249.0,108.0,43.0,18.0,91.0,29.0,29.0,27.0,20.0,3.0,6.0
Ji-Paraná,110012,RO,147.0,544.0,514.0,192.0,141.0,547.0,302.0,248.0,306.0,57.0,51.0,24.0
Machadinho D'Oeste,110013,RO,2.0,30.0,46.0,11.0,3.0,7.0,8.0,3.0,3.0,2.0,4.0,2.0
Ministro Andreazza,110120,RO,8.0,19.0,36.0,6.0,9.0,18.0,5.0,12.0,4.0,4.0,3.0,0.0
Mirante da Serra,110130,RO,25.0,118.0,82.0,57.0,43.0,225.0,42.0,8.0,15.0,38.0,6.0,2.0
Monte Negro,110140,RO,12.0,67.0,261.0,145.0,10.0,13.0,4.0,1.0,0.0,3.0,6.0,3.0
Nova Brasilândia D'Oeste,110014,RO,44.0,90.0,143.0,120.0,32.0,91.0,51.0,9.0,101.0,32.0,2.0,3.0
Nova Mamoré,110033,RO,6.0,16.0,13.0,8.0,4.0,8.0,8.0,4.0,1.0,2.0,3.0,4.0
Nova União,110143,RO,3.0,102.0,93.0,56.0,22.0,49.0,11.0,8.0,4.0,9.0,10.0,7.0
Novo Horizonte do Oeste,110050,RO,7.0,51.0,75.0,76.0,41.0,81.0,12.0,29.0,13.0,4.0,3.0,2.0
Ouro Preto do Oeste,110015,RO,100.0,225.0,231.0,36.0,34.0,121.0,74.0,47.0,33.0,8.0,10.0,7.0
Parecis,110145,RO,2.0,0.0,4.0,7.0,19.0,38.0,16.0,85.0,39.0,8.0,4.0,2.0
Pimenta Bueno,110018,RO,35.0,183.0,132.0,21.0,10.0,42.0,13.0,28.0,49.0,16.0,15.0,19.0
Pimenteiras do Oeste,110146,RO,3.0,3.0,3.0,3.0,2.0,29.0,2.0,2.0,16.0,3.0,3.0,0.0
Porto Velho,110020,RO,23.0,140.0,228.0,78.0,45.0,82.0,63.0,50.0,55.0,19.0,18.0,18.0
Primavera de Rondônia,110147,RO,0.0,1.0,5.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0
Rio Crespo,110026,RO,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0
Rolim de Moura,110028,RO,152.0,481.0,413.0,57.0,142.0,189.0,70.0,66.0,97.0,21.0,7.0,22.0
Santa Luzia D'Oeste,110029,RO,3.0,92.0,51.0,13.0,16.0,63.0,46.0,33.0,38.0,36.0,14.0,14.0
São Felipe D'Oeste,110148,RO,1.0,4.0,3.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
São Francisco do Guaporé,110149,RO,0.0,22.0,113.0,28.0,8.0,5.0,9.0,4.0,18.0,10.0,1.0,1.0
São Miguel do Guaporé,110032,RO,33.0,267.0,239.0,175.0,134.0,61.0,25.0,25.0,34.0,15.0,12.0,1.0
Seringueiras,110150,RO,0.0,98.0,85.0,90.0,49.0,23.0,57.0,7.0,16.0,16.0,7.0,2.0
Teixeirópolis,110155,RO,2.0,6.0,11.0,1.0,4.0,9.0,4.0,6.0,7.0,2.0,8.0,3.0
Theobroma,110160,RO,2.0,16.0,44.0,3.0,4.0,6.0,11.0,8.0,3.0,2.0,4.0,0.0
Urupá,110170,RO,4.0,5.0,5.0,3.0,11.0,12.0,6.0,5.0,2.0,2.0,1.0,0.0
Vale do Anari,110175,RO,0.0,43.0,9.0,1.0,0.0,21.0,1.0,3.0,4.0,3.0,0.0,2.0
Vale do Paraíso,110180,RO,5.0,19.0,56.0,2.0,3.0,5.0,4.0,7.0,13.0,7.0,3.0,1.0
Vilhena,110030,RO,48.0,89.0,112.0,46.0,69.0,46.0,27.0,54.0,26.0,10.0,7.0,12.0
Alto Alegre,140005,RR,73.0,17.0,67.0,61.0,72.0,4.0,,4.0,1.0,,,4.0
Amajari,140002,RR,2.0,2.0,5.0,1.0,2.0,1.0,,0.0,0.0,,,0.0
Boa Vista,140010,RR,702.0,428.0,467.0,86.0,86.0,27.0,,57.0,24.0,,,86.0
Bonfim,140015,RR,27.0,27.0,12.0,1.0,4.0,3.0,,0.0,0.0,,,3.0
Cantá,140017,RR,13.0,11.0,16.0,2.0,2.0,0.0,,1.0,2.0,,,3.0
Caracaraí,140020,RR,12.0,14.0,162.0,20.0,7.0,8.0,,17.0,1.0,,,3.0
Caroebe,140023,RR,3.0,56.0,79.0,4.0,2.0,0.0,,1.0,1.0,,,8.0
Iracema,140028,RR,3.0,3.0,4.0,0.0,2.0,0.0,,3.0,1.0,,,0.0
Mucajaí,140030,RR,21.0,44.0,76.0,9.0,18.0,4.0,,26.0,2.0,,,9.0
Normandia,140040,RR,3.0,1.0,3.0,3.0,1.0,3.0,,5.0,0.0,,,2.0
Pacaraima,140045,RR,14.0,12.0,49.0,4.0,4.0,1.0,,4.0,4.0,,,1.0
Rorainópolis,140047,RR,46.0,36.0,41.0,7.0,4.0,3.0,,1.0,1.0,,,1.0
São João da Baliza,140050,RR,30.0,97.0,163.0,30.0,65.0,13.0,,3.0,4.0,,,3.0
São Luiz,140060,RR,1.0,4.0,44.0,6.0,23.0,1.0,,0.0,0.0,,,0.0
Uiramutã,140070,RR,1.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,0.0
Abreulândia,170025,TO,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Aguiarnópolis,170030,TO,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Aliança do Tocantins,170035,TO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almas,170040,TO,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
Alvorada,170070,TO,0.0,0.0,0.0,1.0,6.0,39.0,4.0,8.0,5.0,3.0,8.0,8.0
Ananás,170100,TO,28.0,58.0,35.0,36.0,5.0,4.0,4.0,2.0,5.0,0.0,2.0,1.0
Angico,170105,TO,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aparecida do Rio Negro,170110,TO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Aragominas,170130,TO,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Araguacema,170190,TO,27.0,9.0,2.0,5.0,1.0,13.0,0.0,7.0,9.0,9.0,1.0,1.0
Araguatins,170220,TO,32.0,11.0,5.0,16.0,6.0,10.0,16.0,6.0,7.0,17.0,0.0,3.0
Araguaçu,170200,TO,46.0,81.0,149.0,147.0,150.0,170.0,172.0,38.0,36.0,26.0,14.0,26.0
Araguaína,170210,TO,126.0,24.0,28.0,60.0,25.0,10.0,7.0,12.0,16.0,35.0,6.0,81.0
Arapoema,170230,TO,23.0,99.0,85.0,27.0,78.0,44.0,7.0,9.0,10.0,26.0,7.0,13.0
Arraias,170240,TO,0.0,8.0,131.0,23.0,14.0,13.0,3.0,16.0,0.0,1.0,1.0,15.0
Augustinópolis,170255,TO,95.0,71.0,21.0,41.0,47.0,35.0,5.0,7.0,9.0,2.0,0.0,0.0
Aurora do Tocantins,170270,TO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axixá do Tocantins,170290,TO,19.0,18.0,5.0,13.0,8.0,3.0,5.0,4.0,1.0,0.0,1.0,0.0
