Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Santarém (Município) (150680)	251	0	12	3	1	0	9,07	267
São Félix do Xingu (Município) (150730)	324	0	49	0	8	0	31,60	381
São Miguel do Guamá (Município) (150760)	121	0	3	0	0	0	21,88	124
Tailândia (Município) (150795)	54	0	3	0	1	0	5,78	58
Tomé-Açu (Município) (150800)	389	0	36	0	0	0	69,56	425
Tucuruí (Município) (150810)	27	0	2	1	0	0	2,76	30
Ulianópolis (Município) (150812)	385	0	58	0	0	0	79,48	443
Vigia (Município) (150820)	437	0	6	1	0	0	85,87	444
Viseu (Município) (150830)	883	0	176	0	0	0	178,28	1.059
Macapá (Município) (160030)	133	0	18	22	58	0	4,96	231
Santana (Município) (160060)	60	0	14	10	14	0	8,61	98
Araguaína (Município) (170210)	361	0	16	0	3	0	21,95	380
Gurupi (Município) (170950)	57	0	1	0	0	0	6,85	58
Paraíso do Tocantins (Município) (171610)	19	0	4	0	0	0	4,63	23
Porto Nacional (Município) (171820)	62	0	5	0	0	0	12,76	67
Palmas (Município) (172100)	196	0	20	0	1	0	7,75	217
Açailândia (Município) (210005)	338	0	8	0	0	0	31,30	346
Alcântara (Município) (210020)	19	0	0	0	2	0	9,69	21
Bacabal (Município) (210120)	541	0	52	0	1	0	57,66	594
Balsas (Município) (210140)	569	0	16	0	0	0	62,56	585
Barra do Corda (Município) (210160)	245	0	30	0	0	0	31,73	275
Barreirinhas (Município) (210170)	32	0	1	0	0	0	5,36	33
Buriticupu (Município) (210232)	485	0	57	0	0	0	76,09	542
Caxias (Município) (210300)	284	2	28	0	0	0	19,39	314
Chapadinha (Município) (210320)	271	0	30	0	0	0	38,42	301
Codó (Município) (210330)	190	0	1	0	0	0	15,84	191
Coroatá (Município) (210360)	18	0	3	0	0	0	3,27	21
Grajaú (Município) (210480)	854	0	175	0	0	0	150,31	1.029
Imperatriz (Município) (210530)	416	0	38	0	1	0	17,92	455
Itapecuru Mirim (Município) (210540)	172	0	101	0	0	0	40,68	273
Paço do Lumiar (Município) (210750)	69	0	5	1	1	0	6,34	76
Pinheiro (Município) (210860)	150	0	14	0	0	0	20,02	164
Raposa (Município) (210945)	56	0	1	0	0	0	18,81	57
Santa Inês (Município) (210990)	246	0	9	0	0	0	30,44	255
Santa Luzia (Município) (211000)	162	0	12	0	0	0	24,39	174
São José de Ribamar (Município) (211120)	115	0	9	0	0	0	7,05	124
São Luís (Município) (211130)	398	0	78	2	2	0	4,43	480
Timon (Município) (211220)	277	0	143	0	0	0	25,26	420
Tutóia (Município) (211250)	534	0	52	0	0	0	101,11	586
Vargem Grande (Município) (211270)	266	0	37	0	0	0	54,39	303
Viana (Município) (211280)	138	0	1	0	0	0	26,99	139
Zé Doca (Município) (211400)	147	0	37	1	1	0	36,61	186
Altos (Município) (220040)	281	0	12	0	0	0	73,63	293
Beneditinos (Município) (220160)	20	0	1	0	0	0	20,93	21
Coivaras (Município) (220273)	22	0	0	0	0	0	55,81	22
Curralinhos (Município) (220325)	3	0	0	0	0	0	6,89	3
Demerval Lobão (Município) (220330)	27	0	4	0	0	0	22,84	31
Floriano (Município) (220390)	300	0	17	0	0	0	53,83	317
José de Freitas (Município) (220550)	150	0	10	0	0	0	41,62	160
Lagoa Alegre (Município) (220555)	7	0	1	0	0	0	9,56	8
Lagoa do Piauí (Município) (220558)	3	0	0	0	0	0	7,52	3
Miguel Leão (Município) (220630)	1	0	0	0	0	0	8,12	1
Monsenhor Gil (Município) (220640)	4	0	0	0	0	0	3,84	4
Nazária (Município) (220672)	8	0	0	0	0	0	9,53	8
Parnaíba (Município) (220770)	593	0	26	0	1	0	41,28	620
Pau D'Arco do Piauí (Município) (220779)	6	0	0	0	0	0	15,16	6
Picos (Município) (220800)	426	0	2	0	0	0	55,77	428
Piripiri (Município) (220840)	39	0	2	0	0	0	6,54	41
Teresina (Município) (221100)	1.009	0	153	0	4	2	13,78	1.168
União (Município) (221110)	315	0	11	0	0	0	74,62	326
Acaraú (Município) (230020)	194	0	3	0	0	0	31,92	197
Acopiara (Município) (230030)	101	0	10	0	0	0	20,80	111
Aquiraz (Município) (230100)	24	0	4	0	0	0	3,57	28
Aracati (Município) (230110)	75	0	22	0	0	0	13,25	97
Barbalha (Município) (230190)	135	0	10	0	0	0	24,43	145
Beberibe (Município) (230220)	38	0	7	0	0	0	8,54	45
Boa Viagem (Município) (230240)	106	0	20	2	0	0	23,73	128
Camocim (Município) (230260)	230	0	1	1	0	0	36,98	232
Canindé (Município) (230280)	165	0	18	2	0	0	23,94	185
Cascavel (Município) (230350)	56	0	11	0	0	0	9,49	67
Caucaia (Município) (230370)	570	0	87	3	0	0	18,43	660
Chorozinho (Município) (230395)	4	0	0	0	0	0	2,08	4
Crateús (Município) (230410)	132	0	25	0	0	0	21,12	157
Crato (Município) (230420)	107	0	27	0	0	0	10,33	134
Eusébio (Município) (230428)	11	0	4	0	0	0	2,89	15
Fortaleza (Município) (230440)	3.696	0	836	16	3	0	17,44	4.551
Granja (Município) (230470)	77	0	13	0	0	0	16,62	90
Guaiúba (Município) (230495)	10	0	2	0	0	0	4,60	12
Horizonte (Município) (230523)	31	0	2	0	0	0	5,10	33
Icó (Município) (230540)	111	0	78	0	0	0	28,06	189
Iguatu (Município) (230550)	337	0	29	0	0	0	35,88	366
Itaitinga (Município) (230625)	14	0	3	2	0	0	4,88	19
Itapajé (Município) (230630)	51	0	12	0	0	0	12,22	63
Itapipoca (Município) (230640)	123	0	25	0	0	0	11,72	148
Juazeiro do Norte (Município) (230730)	253	0	84	0	0	0	12,56	337
Limoeiro do Norte (Município) (230760)	319	0	20	0	0	0	57,90	339
Maracanaú (Município) (230765)	68	0	18	2	0	0	3,94	88
Maranguape (Município) (230770)	39	0	12	0	0	0	4,08	51
Morada Nova (Município) (230870)	75	0	5	0	0	0	12,96	80
Pacajus (Município) (230960)	19	0	0	0	0	0	2,72	19
Pacatuba (Município) (230970)	20	0	14	0	0	0	4,17	34
Pindoretama (Município) (231085)	7	0	0	0	0	0	3,43	7
Quixadá (Município) (231130)	150	0	78	0	0	0	26,51	228
Quixeramobim (Município) (231140)	418	0	20	0	0	0	56,20	438
Russas (Município) (231180)	550	0	203	1	0	0	99,52	754
São Gonçalo do Amarante (Município) (231240)	21	0	11	0	1	0	6,91	33
Sobral (Município) (231290)	266	0	5	0	0	0	13,31	271
Tauá (Município) (231330)	281	0	96	0	2	0	65,44	379
Tianguá (Município) (231340)	151	0	5	0	0	0	21,05	156
Trairi (Município) (231350)	18	0	2	0	0	0	3,65	20
Viçosa do Ceará (Município) (231410)	144	0	4	0	0	0	24,88	148
Açu (Município) (240020)	17	0	5	0	0	0	3,81	22
Caicó (Município) (240200)	372	0	29	0	0	0	59,19	401
Ceará-Mirim (Município) (240260)	10	0	4	0	0	0	1,91	14
Parnamirim (Município) (240325)	23	0	8	0	1	0	1,29	32
Extremoz (Município) (240360)	5	0	2	0	0	0	2,51	7
Macaíba (Município) (240710)	7	0	2	0	0	0	1,14	9
Monte Alegre (Município) (240780)	2	0	0	0	0	0	0,90	2
Mossoró (Município) (240800)	33	0	9	0	0	0	1,44	42
Natal (Município) (240810)	163	0	122	0	1	0	3,26	286
Nísia Floresta (Município) (240820)	2	0	0	0	0	0	0,74	2
São Gonçalo do Amarante (Município) (241200)	301	0	51	0	0	0	35,30	352
São José de Mipibu (Município) (241220)	7	0	1	0	0	0	1,83	8
Vera Cruz (Município) (241480)	3	0	1	0	0	0	3,28	4
Alhandra (Município) (250060)	10	0	4	0	0	0	7,21	14
Bayeux (Município) (250180)	109	0	17	1	0	0	13,15	127
Caaporã (Município) (250300)	215	0	6	0	0	0	101,76	221
Cabedelo (Município) (250320)	49	0	7	1	0	0	8,53	57
Cajazeiras (Município) (250370)	84	0	15	0	0	0	16,02	99
Campina Grande (Município) (250400)	678	0	91	0	0	0	18,86	769
Conde (Município) (250460)	49	0	5	0	0	0	22,15	54
Cruz do Espírito Santo (Município) (250490)	9	0	1	0	0	0	5,75	10
Guarabira (Município) (250630)	29	0	4	0	0	0	5,64	33
João Pessoa (Município) (250750)	891	0	252	2	1	0	14,29	1.146
Lucena (Município) (250860)	7	0	0	0	0	0	5,40	7
Mamanguape (Município) (250890)	4	0	0	0	0	0	0,89	4
Patos (Município) (251080)	222	0	7	0	0	0	21,39	229
Pedras de Fogo (Município) (251120)	45	0	4	0	0	1	17,61	50
Pitimbu (Município) (251190)	14	0	2	0	0	0	8,45	16
Rio Tinto (Município) (251290)	1	0	0	0	0	0	0,42	1
Santa Rita (Município) (251370)	198	0	23	1	0	0	16,33	222
Sapé (Município) (251530)	40	0	2	0	0	0	8,01	42
Sousa (Município) (251620)	96	0	5	1	0	0	14,74	102
Abreu e Lima (Município) (260005)	47	0	15	4	0	0	6,67	66
Araçoiaba (Município) (260105)	6	0	1	1	0	0	3,99	8
Araripina (Município) (260110)	622	0	92	0	0	0	85,73	714
Arcoverde (Município) (260120)	114	0	3	0	0	0	15,99	117
Belo Jardim (Município) (260170)	52	0	5	0	0	0	7,53	57
Bezerros (Município) (260190)	14	0	12	1	0	0	4,47	27
Brejo da Madre de Deus (Município) (260260)	10	0	4	0	0	0	2,82	14
Buíque (Município) (260280)	358	0	194	0	1	0	96,81	553
Cabo de Santo Agostinho (Município) (260290)	105	0	13	10	2	2	6,51	132
Camaragibe (Município) (260345)	77	0	15	5	1	1	6,38	99
Carpina (Município) (260400)	19	0	3	0	0	1	2,81	23
Caruaru (Município) (260410)	107	0	51	1	0	2	4,58	161
Escada (Município) (260520)	31	0	7	2	0	2	6,19	42
Garanhuns (Município) (260600)	111	0	14	1	0	2	9,29	128
Goiana (Município) (260620)	98	0	17	0	0	0	14,57	115
Gravatá (Município) (260640)	33	0	5	0	0	0	4,60	38
Igarassu (Município) (260680)	25	0	9	2	0	0	3,16	36
Ipojuca (Município) (260720)	29	0	3	1	0	0	3,55	33
Ilha de Itamaracá (Município) (260760)	6	0	2	0	0	0	3,16	8
Itapissuma (Município) (260775)	9	0	2	0	0	1	4,60	12
Jaboatão dos Guararapes (Município) (260790)	367	1	74	22	0	2	6,74	466
Limoeiro (Município) (260890)	36	0	33	0	1	0	12,45	70
Moreno (Município) (260940)	26	0	7	2	1	0	5,85	36
Olinda (Município) (260960)	251	0	43	20	0	1	8,07	315
Ouricuri (Município) (260990)	48	0	8	0	0	0	8,21	56
Palmares (Município) (261000)	42	0	4	2	0	0	7,67	48
Paudalho (Município) (261060)	11	0	7	0	0	1	3,42	19
Paulista (Município) (261070)	133	0	23	14	0	4	5,34	174
Pesqueira (Município) (261090)	362	0	267	0	0	0	94,55	629
Petrolina (Município) (261110)	110	0	6	2	0	0	3,49	118
Recife (Município) (261160)	1.000	2	181	23	4	0	7,44	1.210
Salgueiro (Município) (261220)	234	0	8	0	0	0	40,25	242
Santa Cruz do Capibaribe (Município) (261250)	55	0	5	0	0	0	5,79	60
São Bento do Una (Município) (261300)	29	0	7	0	0	0	6,18	36
São Lourenço da Mata (Município) (261370)	44	0	13	2	0	0	5,31	59
Serra Talhada (Município) (261390)	523	0	260	0	0	0	92,15	783
Surubim (Município) (261450)	69	0	21	0	1	1	14,42	92
Timbaúba (Município) (261530)	24	0	8	0	0	0	6,00	32
Vitória de Santo Antão (Município) (261640)	457	0	318	2	0	0	56,84	777
Arapiraca (Município) (270030)	577	0	151	0	0	0	31,29	728
Barra de Santo Antônio (Município) (270050)	27	0	0	0	0	0	16,97	27
Barra de São Miguel (Município) (270060)	4	0	0	0	0	0	4,80	4
Campo Alegre (Município) (270140)	37	0	11	0	0	0	8,42	48
Coqueiro Seco (Município) (270220)	14	0	1	0	0	0	25,45	15
Coruripe (Município) (270230)	245	0	89	0	0	1	58,69	335
Delmiro Gouveia (Município) (270240)	87	0	8	0	0	0	18,16	95
Maceió (Município) (270430)	669	0	25	6	1	1	6,87	702
Marechal Deodoro (Município) (270470)	47	0	0	0	0	0	9,09	47
Messias (Município) (270520)	35	0	0	0	0	0	19,68	35
Palmeira dos Índios (Município) (270630)	138	0	47	0	0	0	24,98	185
Paripueira (Município) (270644)	14	0	0	0	0	0	10,71	14
Penedo (Município) (270670)	137	0	8	0	0	0	22,55	145
Pilar (Município) (270690)	28	0	1	1	0	0	8,47	30
Rio Largo (Município) (270770)	135	0	6	0	0	2	18,89	143
Santa Luzia do Norte (Município) (270790)	8	0	0	0	0	0	10,87	8
São Miguel dos Campos (Município) (270860)	176	0	1	0	0	0	28,92	177
Satuba (Município) (270890)	12	0	0	0	0	0	8,68	12
União dos Palmares (Município) (270930)	128	0	39	0	0	1	25,36	168
Aracaju (Município) (280030)	222	0	27	9	0	1	4,04	259
Barra dos Coqueiros (Município) (280060)	12	0	0	0	0	1	4,44	13
Estância (Município) (280210)	33	0	3	0	0	0	5,23	36
Itabaiana (Município) (280290)	7	0	6	0	0	0	1,38	13
Lagarto (Município) (280350)	70	0	4	0	0	2	7,37	76
Nossa Senhora do Socorro (Município) (280480)	53	0	9	7	0	2	3,95	71
São Cristóvão (Município) (280670)	63	0	10	2	0	0	8,51	75
Tobias Barreto (Município) (280740)	26	0	1	1	0	0	5,41	28
Alagoinhas (Município) (290070)	131	0	2	0	0	0	8,56	133
Araci (Município) (290210)	19	0	5	0	0	0	4,31	24
Barra (Município) (290270)	424	0	39	0	0	0	84,86	463
Barreiras (Município) (290320)	38	0	5	0	0	0	2,76	43
Bom Jesus da Lapa (Município) (290390)	57	0	4	0	0	0	8,70	61
Brumado (Município) (290460)	69	0	14	0	0	0	11,95	83
Caetité (Município) (290520)	53	0	4	0	0	1	11,01	58
Camaçari (Município) (290570)	58	0	2	1	1	0	2,12	62
Campo Formoso (Município) (290600)	262	0	11	0	0	0	37,34	273
Candeias (Município) (290650)	11	0	2	0	0	0	1,46	13
Casa Nova (Município) (290720)	144	0	33	0	0	0	24,31	177
Catu (Município) (290750)	12	0	0	0	0	0	2,14	12
Conceição do Coité (Município) (290840)	426	0	3	0	0	0	63,20	429
Cruz das Almas (Município) (290980)	7	0	0	0	0	0	1,08	7
Dias d'Ávila (Município) (291005)	8	0	8	0	1	0	2,14	17
Euclides da Cunha (Município) (291070)	179	0	18	0	0	0	31,97	197
Eunápolis (Município) (291072)	121	0	34	0	0	0	13,56	155
Feira de Santana (Município) (291080)	72	0	12	2	0	0	1,38	86
Guanambi (Município) (291170)	40	0	1	0	0	0	4,75	41
Ilhéus (Município) (291360)	228	0	127	7	0	0	20,31	362
Ipirá (Município) (291400)	11	0	1	0	0	0	1,91	12
Irecê (Município) (291460)	30	0	1	0	0	0	4,19	31
Itaberaba (Município) (291470)	86	0	7	0	0	0	13,97	93
Itabuna (Município) (291480)	370	1	84	4	0	0	20,83	459
Itamaraju (Município) (291560)	41	0	23	0	0	0	9,51	64
Itaparica (Município) (291610)	48	0	24	0	0	0	31,66	72
Itapetinga (Município) (291640)	186	0	96	0	0	0	36,68	282
Jacobina (Município) (291750)	212	0	17	0	0	1	27,57	230
Jaguaquara (Município) (291760)	174	0	18	0	0	0	34,44	192
Jequié (Município) (291800)	137	0	9	0	0	1	9,08	147
Juazeiro (Município) (291840)	154	0	17	0	0	1	7,81	172
Lauro de Freitas (Município) (291920)	38	0	3	0	0	0	2,11	41
Luís Eduardo Magalhães (Município) (291955)	19	0	1	0	0	0	2,45	20
Madre de Deus (Município) (291992)	7	0	3	0	0	0	4,83	10
Mata de São João (Município) (292100)	4	0	0	1	0	0	1,08	5
Paulo Afonso (Município) (292400)	104	0	9	0	1	3	9,76	117
Pojuca (Município) (292520)	10	0	0	0	0	0	2,63	10
Porto Seguro (Município) (292530)	26	0	16	0	0	0	2,85	42
Ribeira do Pombal (Município) (292660)	25	0	2	0	0	0	4,93	27
Salvador (Município) (292740)	588	0	33	16	1	6	2,19	644
Santo Amaro (Município) (292860)	18	0	17	2	1	0	6,15	38
Santo Antônio de Jesus (Município) (292870)	63	0	2	0	0	0	6,34	65
Santo Estêvão (Município) (292880)	15	0	2	0	0	0	3,18	17
São Francisco do Conde (Município) (292920)	2	0	0	1	0	0	0,75	3
São Sebastião do Passé (Município) (292950)	6	0	0	0	0	0	1,31	6
Senhor do Bonfim (Município) (293010)	102	0	78	0	0	0	22,29	180
Serrinha (Município) (293050)	130	0	87	0	0	0	26,26	217
Simões Filho (Município) (293070)	56	0	8	1	0	0	4,83	65
Teixeira de Freitas (Município) (293135)	53	0	57	0	0	0	6,88	110
Tucano (Município) (293190)	30	0	3	0	0	0	6,30	33
Valença (Município) (293290)	179	0	41	1	0	0	22,54	221
Vera Cruz (Município) (293320)	29	0	14	0	0	0	9,96	43
Vitória da Conquista (Município) (293330)	444	0	189	0	0	1	18,32	634
Alfenas (Município) (310160)	5	0	31	0	0	0	4,54	36
Araguari (Município) (310350)	27	0	25	0	0	0	4,45	52
Araxá (Município) (310400)	11	0	33	0	0	0	4,26	44
Baldim (Município) (310500)	1	0	0	0	0	0	1,24	1
Barão de Cocais (Município) (310540)	9	0	36	0	0	0	14,23	45
Barbacena (Município) (310560)	72	0	87	0	0	0	11,71	159
Belo Horizonte (Município) (310620)	741	0	2.356	7	4	9	12,40	3.117
Belo Vale (Município) (310640)	6	0	10	0	0	0	20,44	16
Betim (Município) (310670)	34	0	39	1	0	0	1,75	74
Bom Despacho (Município) (310740)	16	0	20	1	0	0	7,45	37
Bonfim (Município) (310810)	0	0	0	0	0	0	0,00	0
Brumadinho (Município) (310900)	12	0	16	0	0	0	7,30	28
Caeté (Município) (311000)	19	0	68	0	0	0	19,74	87
Campo Belo (Município) (311120)	1	0	7	2	0	0	1,84	10
Capim Branco (Município) (311250)	6	0	1	0	0	0	7,28	7
Caratinga (Município) (311340)	14	0	32	0	0	0	5,04	46
Cataguases (Município) (311530)	98	0	66	2	0	0	22,25	166
Confins (Município) (311787)	2	0	0	0	0	0	3,06	2
Congonhas (Município) (311800)	21	0	64	0	0	0	15,93	85
Conselheiro Lafaiete (Município) (311830)	292	0	46	0	0	1	26,82	339
Contagem (Município) (311860)	111	0	283	0	0	3	6,07	397
Coronel Fabriciano (Município) (311940)	54	0	11	1	0	0	6,01	66
Curvelo (Município) (312090)	21	0	43	0	0	0	8,06	64
Divinópolis (Município) (312230)	23	0	49	0	0	1	3,13	73
Esmeraldas (Município) (312410)	14	0	114	0	0	0	18,79	128
Florestal (Município) (312600)	0	0	0	0	0	0	0,00	0
Formiga (Município) (312610)	45	0	6	0	0	0	7,47	51
Fortuna de Minas (Município) (312640)	0	0	0	0	0	0	0,00	0
Frutal (Município) (312710)	27	0	27	0	0	0	9,26	54
Funilândia (Município) (312720)	1	0	0	0	0	0	2,36	1
Governador Valadares (Município) (312770)	135	0	16	2	0	2	5,54	155
Guaxupé (Município) (312870)	51	0	12	2	0	0	12,47	65
Ibirité (Município) (312980)	52	0	156	2	0	0	11,95	210
Igarapé (Município) (313010)	4	0	19	0	0	0	5,68	23
Inhaúma (Município) (313100)	4	0	0	0	0	0	6,45	4
Ipatinga (Município) (313130)	91	0	30	0	0	0	4,67	121
Itabira (Município) (313170)	60	0	45	0	0	0	8,86	105
Itabirito (Município) (313190)	12	0	3	1	0	0	3,18	16
Itaguara (Município) (313220)	15	0	49	0	0	0	48,29	64
Itajubá (Município) (313240)	21	0	0	2	0	0	2,38	23
Itatiaiuçu (Município) (313370)	2	0	2	0	0	0	3,68	4
Itaúna (Município) (313380)	66	0	41	0	0	0	11,62	107
Ituiutaba (Município) (313420)	128	0	7	1	0	0	13,08	136
Jaboticatubas (Município) (313460)	1	0	16	0	0	0	8,81	17
Janaúba (Município) (313510)	22	0	1	0	0	0	3,23	23
Januária (Município) (313520)	1	0	2	0	0	0	0,44	3
João Monlevade (Município) (313620)	16	0	22	0	0	0	4,80	38
Nova União (Município) (313660)	1	0	2	0	0	0	5,18	3
Juatuba (Município) (313665)	1	0	8	0	0	0	3,53	9
Juiz de Fora (Município) (313670)	266	0	514	1	0	0	13,96	781
Lagoa da Prata (Município) (313720)	11	0	25	0	0	0	7,10	36
Lagoa Santa (Município) (313760)	7	0	27	0	0	0	5,59	34
Lavras (Município) (313820)	22	1	2	0	0	0	2,47	25
Leopoldina (Município) (313840)	48	0	35	0	0	0	15,59	83
Manhuaçu (Município) (313940)	55	0	14	1	0	0	7,98	70
Mariana (Município) (314000)	47	0	11	0	0	0	9,77	58
Mário Campos (Município) (314015)	1	0	3	0	0	0	2,70	4
Mateus Leme (Município) (314070)	8	0	13	0	0	0	6,90	21
Matozinhos (Município) (314110)	38	0	13	0	0	0	13,77	51
Moeda (Município) (314230)	0	0	5	0	0	0	10,12	5
Montes Claros (Município) (314330)	106	2	40	0	2	0	3,77	150
Muriaé (Município) (314390)	121	0	88	1	0	0	19,46	210
Nova Lima (Município) (314480)	19	0	58	0	0	0	8,46	77
Nova Serrana (Município) (314520)	7	0	6	0	0	0	1,41	13
Ouro Preto (Município) (314610)	11	0	5	1	0	0	2,29	17
Paracatu (Município) (314700)	20	0	11	0	0	0	3,38	31
Pará de Minas (Município) (314710)	11	0	90	0	0	0	10,98	101
Passos (Município) (314790)	30	0	4	1	0	0	3,08	35
Patos de Minas (Município) (314800)	22	0	38	1	0	0	4,07	61
Patrocínio (Município) (314810)	36	0	4	1	0	0	4,59	41
Pedro Leopoldo (Município) (314930)	6	0	3	0	0	0	1,42	9
Pirapora (Município) (315120)	47	0	8	0	0	0	9,74	55
Poços de Caldas (Município) (315180)	10	0	0	0	0	0	0,61	10
Ponte Nova (Município) (315210)	23	0	8	0	0	0	5,15	31
Pouso Alegre (Município) (315250)	31	0	1	0	0	0	2,20	32
Prudente de Morais (Município) (315360)	3	0	1	0	0	0	3,81	4
Raposos (Município) (315390)	7	0	27	0	0	0	20,84	34
Ribeirão das Neves (Município) (315460)	66	0	157	0	0	0	6,84	223
Rio Acima (Município) (315480)	3	0	4	0	0	0	6,98	7
Rio Manso (Município) (315530)	1	0	0	0	0	0	1,75	1
Sabará (Município) (315670)	33	0	139	2	0	1	12,94	175
Santa Bárbara (Município) (315720)	9	0	9	1	0	0	6,24	19
Santa Luzia (Município) (315780)	71	0	84	0	0	2	7,21	157
São Francisco (Município) (316110)	23	0	7	0	0	0	5,30	30
São João del Rei (Município) (316250)	70	0	25	0	0	0	10,58	95
São Joaquim de Bicas (Município) (316292)	1	0	4	0	0	0	1,68	5
São José da Lapa (Município) (316295)	1	0	6	0	0	0	3,10	7
São José da Varginha (Município) (316310)	1	0	2	0	0	0	6,29	3
São Sebastião do Paraíso (Município) (316470)	7	0	5	0	0	0	1,71	12
Sarzedo (Município) (316553)	6	0	17	0	0	0	7,55	23
Sete Lagoas (Município) (316720)	36	0	53	0	0	0	3,80	89
