"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510624 Nova Ubiratã";-;-;-;-;3;-;-;1;3;1;-;-;8
"510625 Nova Xavantina";13;14;14;29;57;24;6;3;1;-;1;-;162
"510627 Novo Horizonte do Norte";-;-;-;1;-;-;-;-;-;-;1;1;3
"510626 Novo Mundo";-;-;1;1;-;-;-;-;5;-;-;-;7
"510631 Novo Santo Antônio";-;1;-;-;-;-;-;-;-;-;-;-;1
"510628 Novo São Joaquim";1;-;1;1;2;6;2;3;-;-;-;3;19
"510629 Paranaíta";2;3;6;8;-;2;4;3;-;5;7;5;45
"510630 Paranatinga";1;6;-;5;1;5;3;-;1;1;1;-;24
"510637 Pedra Preta";-;1;-;-;3;-;-;-;2;-;2;5;13
"510642 Peixoto de Azevedo";-;1;-;5;4;2;2;2;1;3;2;4;26
"510645 Planalto da Serra";-;-;10;4;16;2;-;-;1;-;1;2;36
"510650 Poconé";2;-;1;-;2;-;-;-;-;-;-;-;5
"510665 Pontal do Araguaia";8;3;1;9;14;3;2;-;4;-;4;3;51
"510670 Ponte Branca";-;-;-;-;2;-;-;-;-;-;-;1;3
"510675 Pontes e Lacerda";1;3;4;22;19;8;19;4;-;-;3;1;84
"510677 Porto Alegre do Norte";13;39;56;24;14;-;2;-;-;-;-;-;148
"510680 Porto dos Gaúchos";-;6;6;2;-;-;-;-;-;-;-;-;14
"510682 Porto Esperidião";-;1;-;-;-;-;-;-;1;-;-;-;2
"510685 Porto Estrela";-;1;-;1;-;-;-;-;-;-;-;1;3
"510700 Poxoréo";9;4;2;7;2;1;-;-;-;-;-;4;29
"510704 Primavera do Leste";9;6;23;80;285;167;68;33;11;6;13;23;724
"510706 Querência";55;71;60;46;43;15;1;1;1;-;2;11;306
"510715 Reserva do Cabaçal";-;-;-;-;2;-;1;-;-;-;1;-;4
"510718 Ribeirão Cascalheira";5;16;12;11;27;1;1;-;-;-;-;1;74
"510719 Ribeirãozinho";5;7;2;3;17;1;-;-;-;-;1;1;37
"510720 Rio Branco";-;6;-;-;-;2;-;-;1;5;33;10;57
"510760 Rondonópolis";1;6;12;31;65;73;22;12;13;10;13;32;290
"510770 Rosário Oeste";1;4;1;15;5;-;-;-;-;-;-;-;26
"510775 Salto do Céu";-;-;1;-;-;-;-;-;8;2;7;-;18
"510724 Santa Carmem";-;-;-;1;-;3;2;1;-;1;-;-;8
"510774 Santa Cruz do Xingu";16;1;-;-;-;-;-;-;-;-;-;-;17
"510776 Santa Rita do Trivelato";-;-;-;-;-;-;-;-;1;-;-;1;2
"510726 Santo Afonso";2;-;-;6;2;-;-;3;-;-;-;1;14
"510779 Santo Antônio do Leste";1;-;-;-;4;3;-;-;-;-;-;-;8
"510780 Santo Antônio do Leverger";-;2;4;-;1;-;-;-;-;-;-;-;7
"510785 São Félix do Araguaia";8;2;2;-;-;-;-;-;-;-;-;-;12
"510729 São José do Povo";5;1;-;-;3;-;-;2;6;9;7;5;38
"510735 São José do Xingu";4;1;11;53;59;1;-;-;1;-;-;4;134
"510710 São José dos Quatro Marcos";-;-;3;1;1;-;1;1;-;-;-;-;7
"510787 Sapezal";-;-;7;20;16;22;6;-;-;-;1;-;72
"510790 Sinop";44;49;58;78;152;127;62;54;35;37;125;454;1275
"510792 Sorriso";3;4;29;39;34;25;12;8;5;5;5;11;180
"510794 Tabaporã";1;-;-;-;8;-;2;-;3;3;8;8;33
"510795 Tangará da Serra";8;4;7;21;92;67;37;11;10;11;17;21;306
"510800 Tapurah";-;-;-;2;1;-;1;6;2;3;16;21;52
"510805 Terra Nova do Norte";-;-;2;9;3;2;2;8;2;2;-;-;30
"510810 Tesouro";-;2;-;-;-;-;-;-;-;-;-;-;2
"510820 Torixoréu";2;8;4;3;25;20;4;21;8;11;20;19;145
"510830 União do Sul";-;-;-;2;8;8;5;2;1;-;2;-;28
"510835 Vale de São Domingos";-;-;-;1;3;1;-;-;-;1;-;-;6
"510840 Várzea Grande";19;9;15;7;17;9;8;4;3;5;3;10;109
"510850 Vera";2;7;4;20;24;15;2;4;1;-;-;-;79
"510550 Vila Bela da Santíssima Trindade";1;1;2;3;6;2;1;-;-;-;-;-;16
"510860 Vila Rica";3;24;9;-;5;1;-;-;-;-;-;-;42
"Total";850;871;1157;1558;1991;1136;487;305;233;294;723;1323;10928
