"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510330 Comodoro";11;6;9;17;11;29;18;10;9;38;86;96;340
"510335 Confresa";6;6;8;9;126;51;34;18;3;2;10;39;312
"510336 Conquista D'Oeste";-;1;6;7;11;27;9;8;3;3;9;1;85
"510337 Cotriguaçu";1;-;2;2;-;1;2;-;1;-;-;-;9
"510340 Cuiabá";153;968;2167;2480;1785;457;155;88;38;29;79;158;8557
"510343 Curvelândia";-;-;2;8;2;-;1;-;-;1;18;2;34
"510345 Denise";-;1;-;1;6;2;-;-;-;-;1;-;11
"510350 Diamantino";1;12;30;30;62;51;18;5;7;7;7;33;263
"510360 Dom Aquino";-;2;4;-;6;1;-;1;2;1;3;1;21
"510370 Feliz Natal";4;2;4;5;25;52;24;4;4;8;4;3;139
"510380 Figueirópolis D'Oeste";-;1;2;7;77;16;2;3;1;-;-;-;109
"510385 Gaúcha do Norte";-;2;1;1;2;1;-;-;4;5;3;7;26
"510390 General Carneiro";-;-;-;-;-;-;-;-;-;-;-;1;1
"510395 Glória D'Oeste";1;1;1;4;8;2;7;7;9;6;2;1;49
"510410 Guarantã do Norte";53;36;21;14;6;5;3;1;7;3;32;84;265
"510420 Guiratinga";-;-;-;1;-;-;-;-;-;-;-;1;2
"510450 Indiavaí";1;6;17;43;27;6;2;-;-;1;3;1;107
"510452 Ipiranga do Norte";-;2;13;30;39;48;16;5;-;-;-;-;153
"510454 Itanhangá";-;7;4;5;34;5;1;-;-;-;-;-;56
"510455 Itaúba";-;6;6;8;10;-;1;7;1;2;6;-;47
"510460 Itiquira";-;1;-;-;3;1;1;-;-;-;-;1;7
"510480 Jaciara";4;22;39;97;62;28;10;6;-;1;7;11;287
"510490 Jangada";15;1;1;2;1;-;-;3;-;1;3;-;27
"510500 Jauru";-;4;23;21;9;4;4;12;2;5;3;1;88
"510510 Juara";217;110;49;23;10;2;1;1;1;1;3;11;429
"510515 Juína";4;19;34;39;12;5;4;-;1;7;14;21;160
"510517 Juruena";3;10;8;4;1;-;-;-;-;-;2;8;36
"510520 Juscimeira";2;9;16;16;14;9;2;1;-;-;2;1;72
"510523 Lambari D'Oeste";-;2;17;28;7;4;1;-;-;1;-;-;60
"510525 Lucas do Rio Verde";16;26;33;46;67;59;52;14;14;29;81;132;569
