"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510380 Figueirópolis D'Oeste";-;1;1;-;-;-;-;-;-;-;-;-;2
"510385 Gaúcha do Norte";-;-;-;1;1;-;1;1;-;-;2;5;11
"510390 General Carneiro";-;1;4;-;1;-;-;-;-;3;3;1;13
"510410 Guarantã do Norte";11;4;8;3;-;4;1;1;-;1;1;5;39
"510420 Guiratinga";-;2;2;2;1;-;-;-;-;-;-;-;7
"510450 Indiavaí";-;-;-;1;-;-;-;-;-;-;-;-;1
"510452 Ipiranga do Norte";-;-;2;-;-;1;-;-;-;-;-;1;4
"510454 Itanhangá";-;4;4;3;-;1;2;3;-;-;-;-;17
"510455 Itaúba";2;-;-;4;-;-;-;-;-;-;-;1;7
"510460 Itiquira";-;2;-;-;-;-;-;-;-;-;-;-;2
"510480 Jaciara";-;-;1;15;12;1;-;-;-;1;1;-;31
"510490 Jangada";3;7;12;9;1;-;-;-;-;-;-;-;32
"510500 Jauru";-;-;1;2;-;-;-;-;-;-;-;-;3
"510510 Juara";11;20;3;3;5;-;1;-;2;2;3;9;59
"510515 Juína";14;5;6;13;2;6;3;8;3;6;6;20;92
"510517 Juruena";-;-;-;1;-;-;-;-;-;-;-;-;1
"510520 Juscimeira";5;5;15;9;8;14;11;6;3;-;-;-;76
"510523 Lambari D'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;1
"510525 Lucas do Rio Verde";10;5;2;3;-;-;-;-;-;3;1;2;26
"510558 Marcelândia";2;1;-;-;1;4;-;1;-;1;2;3;15
"510560 Matupá";25;16;7;3;8;2;7;1;-;7;11;9;96
"510562 Mirassol d'Oeste";-;-;3;2;-;-;1;-;-;2;-;-;8
"510590 Nobres";-;-;-;-;-;-;-;-;-;1;2;-;3
"510600 Nortelândia";-;1;-;-;1;2;-;-;-;-;-;1;5
"510610 Nossa Senhora do Livramento";3;1;2;2;3;-;-;-;-;-;-;1;12
"510615 Nova Bandeirantes";6;-;1;1;-;-;-;-;-;-;-;-;8
"510620 Nova Brasilândia";3;3;-;1;-;-;-;-;-;-;-;-;7
"510621 Nova Canaã do Norte";1;1;-;1;-;-;1;-;-;-;-;-;4
"510880 Nova Guarita";1;-;1;1;-;-;-;-;-;-;-;-;3
"510618 Nova Lacerda";-;2;8;2;-;-;-;-;-;-;-;-;12
"510885 Nova Marilândia";2;-;-;-;-;-;-;-;-;-;-;-;2
"510890 Nova Maringá";-;-;-;-;-;1;-;-;1;-;-;-;2
"510895 Nova Monte Verde";21;18;11;1;-;1;-;1;-;-;1;8;62
"510622 Nova Mutum";4;2;5;2;3;2;-;2;-;1;2;1;24
"510617 Nova Nazaré";2;5;40;21;2;-;-;-;-;-;-;-;70
"510623 Nova Olímpia";-;-;2;1;-;-;-;-;-;-;-;-;3
"510619 Nova Santa Helena";-;-;1;-;-;-;-;-;-;-;1;-;2
"510624 Nova Ubiratã";5;1;2;1;-;-;-;-;-;-;1;3;13
"510625 Nova Xavantina";2;-;1;-;1;4;-;1;-;-;-;3;12
"510627 Novo Horizonte do Norte";-;-;-;1;1;-;-;-;-;-;-;-;2
"510626 Novo Mundo";1;1;-;-;-;-;-;-;-;-;-;-;2
"510628 Novo São Joaquim";-;-;5;-;-;-;-;-;-;-;-;-;5
"510629 Paranaíta";10;4;2;3;-;1;4;16;-;4;18;38;100
"510630 Paranatinga";2;5;13;2;1;-;-;1;-;-;-;2;26
"510637 Pedra Preta";-;4;4;-;-;-;-;-;-;-;-;-;8
"510642 Peixoto de Azevedo";16;3;6;8;5;2;4;-;1;1;1;6;53
"510650 Poconé";20;10;-;4;3;-;-;-;-;-;4;2;43
"510665 Pontal do Araguaia";1;1;1;-;-;-;-;-;-;-;-;-;3
"510670 Ponte Branca";-;-;-;-;-;-;-;-;-;-;-;1;1
"510675 Pontes e Lacerda";8;11;32;6;4;2;6;5;1;1;5;3;84
"510677 Porto Alegre do Norte";-;6;9;-;1;-;-;-;-;-;-;-;16
"510680 Porto dos Gaúchos";5;2;1;-;-;-;-;-;-;1;1;1;11
"510700 Poxoréo";-;1;-;-;-;1;-;-;-;-;-;-;2
"510704 Primavera do Leste";6;13;17;5;6;3;-;-;1;1;4;12;68
"510706 Querência";3;2;5;-;-;-;-;-;-;-;-;-;10
"510715 Reserva do Cabaçal";-;4;5;-;-;-;-;-;-;-;1;1;11
"510718 Ribeirão Cascalheira";-;-;-;-;-;-;-;-;-;-;-;1;1
"510719 Ribeirãozinho";-;-;-;1;-;-;2;1;-;-;2;-;6
"510757 Rondolândia";2;-;-;-;1;-;-;1;-;-;-;-;4
"510760 Rondonópolis";7;6;3;16;5;7;9;-;2;-;5;1;61
"510770 Rosário Oeste";12;12;11;4;-;1;-;-;-;-;-;-;40
"510775 Salto do Céu";-;-;-;-;-;-;-;-;-;-;1;-;1
"510724 Santa Carmem";-;-;-;2;1;3;-;-;-;1;2;1;10
"510774 Santa Cruz do Xingu";-;-;-;-;-;-;1;-;-;1;-;-;2
"510776 Santa Rita do Trivelato";2;-;-;-;1;1;-;-;-;-;-;-;4
"510726 Santo Afonso";-;-;-;-;-;-;-;-;-;1;-;-;1
"510779 Santo Antônio do Leste";-;11;1;-;-;-;-;-;-;1;2;-;15
"510780 Santo Antônio do Leverger";-;7;1;-;-;-;-;-;-;-;-;-;8
"510785 São Félix do Araguaia";-;-;-;-;-;-;-;-;-;-;-;1;1
"510729 São José do Povo";4;2;-;-;-;-;-;-;-;-;-;-;6
"510730 São José do Rio Claro";2;1;-;2;2;3;1;-;-;-;-;-;11
"510735 São José do Xingu";1;-;-;-;-;-;-;-;1;-;3;1;6
"510710 São José dos Quatro Marcos";1;-;1;2;1;-;-;-;1;-;-;-;6
"510787 Sapezal";-;-;1;3;-;-;-;-;-;-;1;-;5
"510790 Sinop";46;63;66;56;56;36;13;21;18;14;10;20;419
"510792 Sorriso";5;1;7;6;4;2;-;1;-;1;2;6;35
"510794 Tabaporã";8;8;1;1;1;-;-;-;-;-;-;-;19
"510795 Tangará da Serra";13;33;22;13;23;8;2;1;4;3;5;4;131
"510805 Terra Nova do Norte";1;3;-;1;-;-;-;1;2;-;-;-;8
"510810 Tesouro";-;-;2;-;-;-;-;-;-;-;-;1;3
"510820 Torixoréu";2;3;1;4;6;-;1;-;2;6;9;4;38
"510830 União do Sul";-;-;-;-;1;-;-;-;-;-;-;-;1
"510835 Vale de São Domingos";-;1;1;-;-;-;-;-;-;1;-;-;3
"510840 Várzea Grande";298;293;527;286;164;101;72;67;24;39;55;222;2148
"510850 Vera";5;1;-;-;1;-;-;-;1;2;-;-;10
"510550 Vila Bela da Santíssima Trindade";2;3;2;2;1;-;1;4;1;-;-;1;17
"510860 Vila Rica";-;1;1;1;14;18;4;2;-;-;-;1;42
"Total";1216;1480;1945;1268;885;537;314;288;198;258;350;627;9366
