 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2000/Mai";"2000/Set";"2000/Out";"2005/Fev";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Mai";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"210596 Lagoa Grande do Maranhão";-;-;-;-;-;-;-;-;-;-;-;902,27;4927,63;16429,73;17525,98;17194,92;12461,09;13544,45;13286,90;18369,80;14570,77;15947,76;10495,09;20073,39;13298,02;8880,78;17431,41;21623,83;46812,04;5169,86;15687,45;8342,92;7533,19;12314,27;6771,64;6208,54;14952,09;10076,90;3656,64;10069,00;15769,09;19133,22;8628,74;22310,24;7124,96;11241,01;10483,49;27935,44;7776,79;17418,20;3864,65;11599,44;12542,89;8188,60;10858,53;9067,54;7372,89;25002,42;19480,00;14764,16;16036,55;24796,40;31629,92;20040,14;15479,49;10794,36;22592,20;6791,13;10657,37;12985,79;27625,98;14028,14;8997,37;4602,58;21844,52;16377,37;18793,12;15007,12;29988,07;29246,39;27160,10;8710,42;21282,89;25260,08;22242,19;13258,03;6204,18;4035,56;15839,46;19233,53;49695,97;18871,17;18069,60;30287,13;17387,36;40460,76;22314,22;16339,36;14218,90;30903,79;20988,20;32457,80;26663,04;51134,74;41745,32;30411,80;35629,04;17088,29;21144,86;18015,86;8081,78;5456,03;15723,30;12661,94;29319,28;27688,53;28277,56;34514,93;17026,67;35027,92;22178,44;36227,04;42007,18;26754,05;46894,59;35528,04;39613,21;44432,59;8674,09;27637,59;43106,68;37417,31;31407,97;40244,49;44172,74;55866,86;72817,35;39648,01;94010,62;47432,84;38328,21;49397,25;43194,84;46003,75;59100,50;13497,13;51721,87;27516,24;47259,03;43475,95;79106,66;18009,28;50623,04;132460,50;51646,93;56363,13;33145,64;27440,66;42635,69;26588,62;34772,63;17104,11;14285,12;47556,18;43522,19;22440,91;30907,91;28120,57;43512,29;22215,21;18359,29;12789,50;4053438,78
"210598 Lajeado Novo";-;-;-;-;-;-;-;-;-;-;-;1430,24;3884,08;3020,97;7069,12;9881,89;11725,21;11501,34;13005,17;11709,85;10209,90;16496,77;12310,50;20251,18;8439,05;9895,11;14615,71;15510,68;20142,97;16852,50;14764,47;13894,23;11658,71;7702,46;18084,00;12083,80;15703,31;15737,73;16542,31;29992,76;16810,54;11263,48;21321,86;12583,36;13041,03;13924,16;11749,46;12136,54;12335,56;12819,88;21958,66;16098,96;13818,45;17032,95;17815,71;20105,65;14576,95;8202,14;14189,20;16228,83;19093,54;13277,05;13715,96;14309,63;14801,59;11070,28;36133,84;13622,79;20075,71;29937,50;23399,83;26208,02;9310,96;11005,32;25174,83;24782,98;53884,69;25969,80;55097,97;22757,79;24260,24;13625,76;20596,92;21595,69;25409,33;14758,83;31776,43;23611,37;17080,04;18311,77;17689,22;24494,56;34077,83;24971,63;29458,95;22928,13;14269,73;23025,73;21216,09;11554,13;15110,67;60935,15;15835,18;14259,09;17002,10;23567,92;21347,62;25392,12;13527,23;22715,80;26937,81;17892,76;13105,93;9536,34;20114,66;15378,77;15261,21;35610,08;19695,95;20780,62;28072,98;27583,69;22083,77;13110,29;24239,11;6709,78;12523,76;5603,88;9000,20;24186,08;17187,94;15523,18;13079,43;12695,76;21530,22;18473,70;15296,52;35073,78;15403,34;17079,01;32322,13;33798,03;35265,93;30776,18;13919,91;15231,12;17592,21;18999,94;32549,50;20662,60;19831,89;23036,55;19646,99;21444,16;18352,18;36295,14;17874,28;13582,53;17544,50;34464,08;15146,97;5810,86;9759,18;15629,49;14033,11;31819,15;25878,99;16322,36;20924,92;21167,81;3744,18;917,09;3003279,24
"210600 Lima Campos";-;-;-;-;-;-;-;-;-;-;-;6509,60;2630,75;11131,85;10683,15;26108,70;27663,74;27372,12;28723,06;25796,76;40700,47;34270,68;54862,23;25477,33;28634,38;34967,41;43092,66;50873,41;42725,17;35595,90;21842,52;32319,58;36160,85;50189,86;43095,35;36597,41;67525,93;22094,50;20333,84;51755,79;47335,58;57532,87;32200,11;38386,54;19790,78;41029,39;49811,79;39646,80;33643,29;34564,81;57501,64;36931,67;53207,48;38825,76;45500,27;33163,25;67807,54;57182,64;60233,26;29543,09;47598,99;43184,60;45092,17;37029,81;51164,62;68093,10;59736,27;41056,89;27512,48;34416,46;65602,20;26937,17;31491,75;29804,83;38664,60;36578,30;38770,34;41394,96;42216,29;29617,03;37843,54;56292,72;60565,01;45408,03;61806,14;45940,77;49968,19;73085,87;62529,99;64137,75;55434,56;51400,66;61126,51;54477,35;59877,81;43125,27;73536,92;44432,92;22956,74;72290,53;74798,61;58803,80;59351,80;48751,50;46514,96;52847,30;66142,78;60971,97;65329,61;134099,15;44727,46;68996,23;91898,19;61159,93;50698,83;41267,42;39087,60;55443,85;61207,88;58139,27;49911,14;41564,82;64197,71;46602,62;58858,83;39464,21;63485,43;96373,12;54909,78;50178,92;83951,87;61990,55;46224,62;52643,81;80182,68;48209,06;44505,45;68689,82;62196,65;49763,43;50689,74;45193,26;61958,28;60346,24;48999,36;70171,75;65925,43;47801,69;51603,15;54476,80;119869,87;45274,23;61659,18;42668,41;85444,78;46359,99;63881,47;59933,32;70429,40;70452,69;55382,31;51520,22;124593,01;130290,74;116559,25;34442,10;32544,56;94288,69;83306,32;25757,87;12075,69;3258,85;8137075,01
"210610 Loreto";-;-;-;-;-;-;-;-;-;554,69;1431,04;1215,85;1493,94;13881,94;9322,99;5175,60;18633,68;24422,10;12903,13;18662,85;19463,37;17760,41;24803,63;10882,93;7942,43;582,59;26029,33;24477,07;28182,74;20815,70;24633,91;30803,48;17070,32;21050,71;8922,66;30098,72;19011,77;26992,07;33474,70;30224,48;23633,56;40051,48;29195,30;42437,88;34491,21;27469,65;36455,14;37074,79;37082,96;17383,28;26291,59;38879,55;32574,03;46277,55;37456,09;24293,72;28836,24;30359,37;22444,90;22589,57;31370,82;36429,01;52222,98;24327,35;31693,42;31320,16;33781,28;26727,55;30598,05;10218,68;45669,88;29390,64;37602,97;42224,63;36313,94;29837,79;20344,34;29977,49;51388,38;28298,70;43913,48;34521,79;36453,70;58065,89;34839,08;26825,14;31965,87;42394,08;25131,38;47572,90;34748,76;37146,80;34233,75;31875,50;34360,35;40597,31;22925,55;19422,10;43505,25;30932,80;50929,98;37999,47;45897,53;45291,05;33428,69;32528,09;26189,21;46475,34;41129,88;30980,15;46493,60;48350,59;51615,19;65513,43;38932,90;35614,38;35193,83;49685,68;32728,73;16714,54;29465,91;31954,86;38658,17;57507,04;40179,29;36318,02;28498,09;32574,01;43858,29;32938,39;70615,20;36062,81;52092,54;38272,20;43734,76;24147,79;39192,40;23499,17;52630,56;29917,36;31317,27;31490,08;44711,87;29342,43;49874,63;49641,48;55020,31;33009,67;44649,81;62570,15;59760,92;34975,77;31141,38;45161,57;26697,16;48758,41;39986,24;36455,23;36309,42;53374,11;36962,88;40693,91;22850,47;27360,84;37762,11;48665,57;28820,49;46930,91;56954,76;48803,44;16050,99;13825,68;5401107,31
"210620 Luís Domingues";-;-;-;-;-;-;-;-;-;-;-;-;-;1956,26;565,59;1031,70;3598,72;566,02;411,09;461,73;-;2488,36;2682,67;356,81;641,48;2430,17;961,53;451,40;4721,48;2915,42;7455,69;4152,31;1156,66;-;1402,23;-;3094,56;928,07;880,66;5344,90;3432,93;1891,31;8907,78;4313,83;1330,20;2162,00;-;396,08;-;669,19;8157,01;3661,49;2286,40;6499,33;5091,26;4345,79;-;4354,55;20574,59;9080,32;6654,76;7727,81;7063,26;5544,67;5514,70;6683,30;9450,55;10684,74;4349,69;14393,51;24206,68;7845,67;6236,38;6409,02;9752,11;8327,62;9844,21;16942,44;12589,61;15028,42;11963,31;15740,19;8522,95;9404,09;14109,48;6447,88;11017,23;19365,71;14314,55;9949,33;6445,80;26014,24;24002,77;10452,97;13083,36;6744,90;13101,04;16238,71;5577,46;16011,52;11083,59;20879,45;9263,05;12570,06;9982,59;7351,34;9015,04;10874,77;12571,50;11887,46;6325,69;9292,27;9722,18;11164,60;10097,12;8643,39;14011,84;12298,64;9928,12;5983,77;20797,30;4362,61;10996,12;8639,59;22871,00;24939,17;11998,66;8692,99;21641,96;30340,21;19442,51;17305,92;22945,81;9200,03;16001,23;9007,21;12158,75;13560,72;11207,79;13443,00;15500,80;28216,20;61939,67;32242,24;11390,02;12664,89;14089,74;18462,27;10294,56;10519,63;15735,75;41091,50;11210,89;17499,63;9904,89;10196,05;16104,74;29811,77;9914,13;22147,48;8229,70;20105,88;28984,76;15795,29;15117,46;28155,92;7259,56;18017,03;34955,82;18470,75;10793,74;3793,37;1722681,39
"210630 Magalhães de Almeida";-;-;-;-;-;-;-;-;-;1829,91;-;356,85;632,22;12509,63;38361,31;29685,74;39814,90;38392,14;24207,93;35681,39;27675,39;29594,73;37689,88;43451,39;66023,63;26173,51;38225,24;28117,65;50141,02;38833,01;33039,88;50023,17;34189,04;40943,28;41114,28;52125,15;28054,35;26948,43;45337,18;44792,02;48649,51;53041,34;38219,35;34061,39;28998,14;34930,33;39690,19;38049,09;29579,21;28744,00;26507,30;40021,09;39057,17;32430,95;63210,46;40867,99;39067,31;31834,42;28795,73;35079,24;53966,99;29247,28;41650,71;23603,80;42807,23;38428,64;43547,80;30673,86;41652,75;36100,05;29116,32;30426,22;18502,42;31508,79;30550,49;44858,82;43193,89;29308,60;31529,42;41178,65;31243,91;39705,83;30453,41;38819,17;31669,37;35585,39;35131,16;43812,74;43909,46;30124,82;38839,34;23962,96;46693,77;43960,59;52154,82;45330,68;49881,44;43146,01;35722,01;34047,30;40703,24;103132,11;39372,31;44005,17;44403,22;59853,40;46934,47;71765,38;43066,02;40322,61;46637,95;65025,09;21673,67;68340,99;19206,48;54200,34;22966,78;31864,20;26869,53;44489,09;49295,94;23008,24;51110,09;24667,63;43847,58;33319,46;25346,62;60619,58;25966,84;28834,72;26042,82;20713,36;41103,38;29736,21;40404,95;40133,78;24009,40;27056,24;41193,08;36761,92;33458,82;63712,57;21926,81;31062,62;18808,21;15910,99;32113,93;15835,08;24844,53;31203,67;18300,15;28242,38;19659,91;40116,01;13285,94;48226,67;53380,54;32619,64;38712,63;49506,67;18247,96;9898,52;99034,26;97528,19;22493,29;43903,42;31606,75;27558,83;47167,23;28413,84;6171,60;2304,04;5934104,96
"210632 Maracaçumé";-;-;-;-;-;-;-;-;-;-;-;3018,52;6090,03;29290,19;38404,52;24582,59;53045,86;37706,01;28820,64;34137,83;40474,29;33189,05;47163,72;40311,66;36474,41;27598,68;48045,34;43187,95;54410,66;53481,16;51686,11;41498,08;55344,48;51077,49;48502,16;48800,24;44987,55;55806,80;59972,83;52048,91;78321,05;58126,87;79078,28;51125,44;63298,96;49966,64;48458,19;58844,81;51975,40;62696,84;65437,05;69393,72;64028,39;41728,03;69852,04;65681,35;78862,07;58302,48;54124,91;52503,70;41819,15;42978,44;56412,73;73119,70;64971,19;69094,44;66416,49;60803,11;65553,19;44298,91;62051,23;51631,12;65756,37;61038,17;57243,10;53014,14;53518,71;63510,09;58425,46;49425,47;48369,62;57046,18;70894,42;103195,40;78730,37;62041,26;60510,51;61788,37;44519,38;31244,54;45910,63;49860,89;55727,26;70639,57;61239,92;58180,39;55986,66;60178,31;43830,47;69208,92;60703,95;63803,18;91382,55;115030,26;76300,19;66278,32;53414,32;61874,93;67679,88;64144,72;57802,39;73567,96;85155,90;50565,05;80837,67;59199,63;71795,66;64578,96;93152,60;71749,62;49289,03;35996,33;53284,49;50898,79;53517,36;66255,21;81376,50;48610,12;100993,56;90854,37;98460,35;98230,71;65689,33;58061,22;41919,84;90746,91;87419,21;77939,57;70092,12;55928,53;99775,04;61293,35;102866,87;82841,72;67566,02;55965,94;49547,04;69804,72;109027,70;56987,87;76769,34;79988,05;77331,70;77133,92;65792,56;113441,61;96930,02;90524,72;80473,16;115608,45;90097,87;89001,13;75682,57;80781,10;106428,64;77693,14;98819,60;82646,23;112429,81;108353,24;68619,49;20321,74;10206273,91
"210635 Marajá do Sena";-;-;-;-;-;-;-;-;-;-;-;-;1027,51;2604,72;7900,56;5474,43;8143,37;2429,12;1746,23;3257,16;4356,64;3566,10;6006,88;1793,29;2074,46;6595,78;4589,16;1858,10;6473,29;6332,15;8480,15;8270,98;5469,89;6332,47;8606,76;4180,99;5746,18;6574,44;8975,10;5945,76;4771,00;5406,78;6185,71;7421,89;2885,66;10238,68;6556,55;6783,40;8205,99;9214,97;6635,78;4016,34;6541,71;23099,49;7665,87;2611,86;4920,31;6482,09;11629,92;4004,65;2708,93;4883,18;3935,54;2732,99;4414,76;4369,32;11683,15;2669,96;3293,42;2460,43;8284,74;4732,93;5540,27;6000,08;2472,62;413,41;5801,44;4521,70;8259,88;6957,49;7761,46;8843,25;4957,39;1793,21;4107,91;603,98;3152,42;-;719,77;4674,91;6810,66;4456,20;9867,37;2394,19;5448,88;1747,62;4646,51;7020,92;3050,40;14786,79;8831,78;20223,56;3845,71;4596,43;6208,91;12167,47;5466,11;10498,04;13132,46;14260,18;12289,30;18774,84;21883,42;13423,81;22872,85;16695,84;2585,00;6350,40;13556,59;9680,83;3153,29;3684,54;2062,46;3606,05;5032,67;7271,45;9137,46;13613,10;7563,05;2623,26;7927,94;7838,89;17180,91;13810,28;14454,89;8480,56;8603,74;13083,94;11371,85;13369,66;13506,62;14313,19;5768,96;9770,73;13918,63;9662,43;8549,59;7883,98;10671,79;6180,10;10429,52;4759,33;14399,94;17723,08;10986,73;14636,70;14513,32;19216,45;10520,43;11509,51;9799,86;10157,60;14185,22;19449,92;18137,29;14426,67;16482,44;33880,84;7667,06;10670,03;3698,44;887,71;1282648,03
"210637 Maranhãozinho";-;-;-;-;-;-;-;-;-;-;-;839,75;1313,38;11874,87;20987,74;16696,38;10587,61;15975,95;9140,13;7409,28;9971,58;7605,47;66294,54;16185,73;37290,52;9150,90;14668,29;10675,01;39759,87;17772,03;18048,69;42971,25;19578,97;29522,60;22723,33;21685,02;30118,70;20020,88;12366,48;19393,52;26028,44;19533,68;20946,26;23428,24;27990,25;20603,55;51955,66;31726,89;45111,03;29792,87;30284,62;29121,47;19999,83;24443,14;26683,90;44650,75;58389,82;24401,63;22718,49;22635,87;29965,70;42221,18;21675,50;22778,27;20106,31;27863,22;45853,05;22054,91;21755,67;27116,21;21401,96;25505,03;25581,74;18702,21;26303,31;22421,94;22561,27;32936,91;20578,75;24424,15;31030,14;39446,70;20151,99;18949,02;21417,43;26329,22;36145,34;27588,30;18890,89;20857,34;27887,78;33021,80;17496,84;23620,22;22802,32;20953,25;31918,44;19302,00;31667,36;16923,68;33924,09;36916,47;69179,81;26343,57;47065,27;40902,79;48023,26;44310,22;43548,22;31953,88;72773,72;29594,76;29928,06;46704,36;49710,57;45327,30;34712,68;41744,06;44075,80;39661,13;69846,68;39421,94;52737,06;33816,88;40236,40;21497,87;23301,72;31374,08;47245,28;53202,59;33773,30;32937,96;37296,60;43259,30;41688,77;43840,21;23954,07;52861,08;40424,26;62675,45;49950,64;45826,04;43925,58;72732,89;64265,46;37833,16;59437,83;62685,85;53323,28;44184,40;54273,77;36307,25;43265,45;39963,62;67732,42;43121,10;41965,09;57880,74;59734,03;67789,63;57719,52;57214,00;95661,00;64409,10;56197,42;54494,74;46760,37;43350,09;57350,76;37138,89;39887,94;26839,55;5554295,34
"210640 Mata Roma";-;-;-;-;-;-;-;-;-;532,04;1135,19;14872,30;23096,46;21871,17;29104,57;37554,50;29547,65;44065,46;43920,75;20541,85;40108,32;35908,44;30433,77;34519,64;26243,64;43111,83;42724,75;42251,11;43998,51;40896,41;52825,21;40828,77;51018,26;37675,74;39680,86;52979,05;43433,44;42954,63;42629,96;44324,97;51988,61;53551,23;54733,40;50023,29;57378,25;54724,09;43427,12;51246,55;57098,47;53147,27;47849,09;88005,50;44488,54;56958,29;44697,80;48402,55;50534,05;52290,76;46462,78;36867,30;54885,82;37337,19;28480,25;33972,14;51509,97;112609,44;43972,16;40271,48;83278,73;49870,06;48195,26;62965,74;43620,79;40261,87;69212,87;46815,80;41058,71;52428,06;57858,40;70191,31;52074,30;57295,78;41745,84;54234,35;45643,79;43164,37;61164,94;38248,03;52753,05;59022,86;60780,17;42828,87;37880,64;39235,42;36695,61;51696,24;40522,93;42272,46;80517,93;50324,65;67339,36;55848,02;40545,36;54261,42;62743,08;72023,81;69867,86;84256,85;83840,03;46943,45;53798,64;35665,68;57948,97;65171,48;72306,59;53379,64;49761,02;57540,48;43924,43;65119,41;49214,93;35530,59;40223,93;43951,66;34411,93;33544,34;62987,82;56061,13;38004,35;58920,63;55772,50;42824,49;35390,61;66816,88;48985,10;36076,82;55016,49;40347,06;53837,06;56181,37;45424,60;41091,78;79694,77;68502,14;56507,42;65062,07;53519,27;52364,41;50860,29;73833,95;54140,17;54979,36;44979,06;57291,72;63959,14;55784,60;45437,59;32179,58;53451,14;162333,22;42701,22;27499,52;66570,46;55898,61;45507,36;43247,58;45607,39;37743,20;37720,40;64164,55;21542,76;18862,64;8050409,71
"210650 Matinha";-;-;-;-;-;372,44;-;-;-;-;6118,94;10226,23;18621,41;50347,30;45027,72;39028,98;30353,68;29233,81;34080,29;30844,42;33086,92;51892,40;41293,91;72815,34;29616,26;28647,15;67809,63;46403,13;60088,55;37455,07;33778,30;46437,16;50838,83;53996,20;58377,52;61299,49;72869,74;37688,22;56930,92;54554,18;53132,51;66526,40;68105,07;67071,44;52136,44;32527,10;48815,66;39406,32;45479,13;39743,35;65231,74;48945,25;51477,71;36038,21;50028,15;47035,50;56552,97;59566,71;63813,57;51903,15;67185,88;47635,94;62748,20;50841,54;59963,81;84959,40;99649,49;64314,76;78373,64;35267,07;58975,74;51315,98;15024,25;56594,75;78499,32;80603,09;27470,51;51736,79;47767,94;22502,57;43867,27;34118,85;52068,33;41180,06;61851,77;67610,76;62981,25;38492,45;59439,58;49822,32;84386,30;47794,89;57518,57;50794,38;63843,95;43813,70;90764,73;48864,49;74137,63;87368,18;57679,90;72950,52;76233,37;55885,01;84399,87;78160,93;61377,54;83635,80;65588,88;62387,33;75590,53;74812,83;71305,37;87542,79;84876,67;67375,29;76554,04;84160,48;111404,92;64507,90;94933,35;54575,77;39342,64;48776,06;41444,36;69817,05;71401,53;141289,09;65208,86;100288,57;70014,01;54385,06;60592,99;57210,20;94896,22;100322,89;94662,47;84864,49;77315,63;52652,52;99192,86;137966,54;79852,61;100736,37;52458,22;53079,56;58287,84;78828,48;74087,21;75621,26;73930,41;60835,74;105254,71;102950,66;105248,50;67746,06;91881,69;60522,18;77531,34;83271,06;61986,99;60575,95;89970,76;101110,18;86463,04;84708,60;78820,57;57411,91;61564,68;77181,73;47334,02;31266,27;10083922,38
"210660 Matões";-;-;-;-;-;-;-;-;-;-;224,17;8259,72;7651,97;31630,40;59165,11;54841,50;76379,49;65580,28;54924,97;70759,10;83332,50;72784,49;74213,69;58589,90;58668,85;77335,95;80991,67;71071,06;70269,33;75516,13;69193,67;71841,93;58505,97;52560,02;63570,91;83243,74;94772,23;81956,34;81088,62;83627,48;71691,56;87333,92;83295,60;78769,08;100778,57;86774,29;88711,03;93199,56;79430,14;95066,96;127892,19;79859,45;100801,75;83386,40;101270,68;95085,67;66687,10;76172,55;64184,45;62137,17;82750,52;102470,09;104692,81;48399,05;84371,28;85483,30;74390,35;111599,60;98366,57;78776,57;42712,72;45383,46;27505,28;27940,31;36568,15;49594,83;105605,51;97888,32;119406,06;97157,87;91300,50;122964,57;89313,08;120661,28;89112,17;61396,88;71112,45;86697,24;72054,76;84236,22;54038,34;86073,45;61697,52;44998,74;54350,86;49188,70;39009,88;43085,47;39991,19;155648,99;114477,41;105891,15;103199,98;85200,98;114809,80;95665,96;104782,95;69468,34;81842,56;68932,38;75482,74;58369,94;119161,09;106886,26;115594,78;81878,61;132610,20;140860,45;118547,38;122053,21;86859,24;91131,42;104582,93;90335,20;103961,30;110621,00;115368,90;126531,06;142685,75;105743,36;170448,52;140813,02;147717,23;138762,85;132670,25;110771,34;126022,94;107718,06;147727,02;122902,62;130975,75;172409,40;108908,24;144907,32;173146,64;173091,21;199452,74;144019,60;104777,22;117727,32;164328,22;167666,69;200705,47;138586,23;155766,73;147222,38;132430,47;156081,27;156178,50;130059,95;131366,44;86308,69;91176,43;114087,96;105332,27;133504,83;111300,90;195797,76;137178,91;167190,61;83498,97;47509,87;15514859,42
"210663 Matões do Norte";-;-;-;-;-;-;-;-;-;-;-;-;5808,64;8649,41;7551,36;18356,75;6764,57;4726,27;7442,01;15009,93;8663,92;10561,44;7364,14;7867,31;10427,74;19839,25;32537,21;3319,87;4513,09;20441,59;8400,07;6536,76;5012,13;12012,74;12048,08;9685,61;14753,37;7322,13;18863,77;2256,62;12746,27;6633,08;7197,58;4428,85;15275,31;6770,92;7392,63;13658,73;3068,54;25771,46;14256,26;14683,30;1855,64;4471,57;6156,50;2756,39;3119,38;4937,35;8434,75;21551,48;1535,84;21378,58;5453,67;10279,43;6399,35;9895,86;20566,80;6827,66;9365,54;15238,32;6037,81;2647,07;10170,89;12949,07;1496,56;3624,41;26238,60;11405,66;11299,33;4936,91;19555,60;8374,63;3896,24;3002,16;9098,55;5410,62;1827,13;24974,02;9570,53;6626,93;37872,44;11436,48;4182,87;6341,47;18680,82;24615,83;6422,09;4622,77;4104,39;10764,21;20856,77;17342,20;22645,27;39094,07;46486,18;26112,32;18682,15;20745,19;20499,28;11345,16;28299,55;18550,83;35622,71;25975,39;48533,45;31268,29;19514,70;46594,53;28227,60;20990,39;29175,91;19477,46;48544,85;14591,39;31195,51;21368,38;23490,33;23414,44;17790,83;22131,60;37471,87;18965,75;16369,20;18016,92;23878,79;26343,49;24707,85;23105,32;40486,42;30656,29;25551,03;24199,82;22356,82;15018,01;22903,33;30546,34;27950,74;23157,41;21255,47;15618,06;32249,25;17787,12;34698,18;25400,10;37867,73;21246,97;11617,55;18518,36;60347,50;11668,49;48225,41;10327,76;39470,29;19300,63;34639,06;41711,76;33633,15;54557,67;21647,28;17575,10;9266,93;2599,16;2792510,02
"210667 Milagres do Maranhão";-;-;-;-;-;-;-;-;-;-;-;481,70;4316,44;783,97;5423,26;1209,27;1646,16;2757,30;4906,65;3019,87;2947,82;3937,88;4268,19;7071,95;6280,55;4187,60;5589,07;1676,38;2606,47;5062,83;3849,34;2495,10;1780,19;2313,54;1790,91;4374,20;7256,81;9307,53;10059,28;9630,88;14692,45;22715,65;8060,33;11454,63;13088,30;13083,92;14983,15;14880,33;14086,95;15257,50;19013,67;27022,40;18519,67;9194,67;25091,29;11285,15;14229,33;17775,94;14340,35;19697,47;16308,50;12764,56;14830,77;15341,53;14402,45;16079,82;14321,60;12494,89;20825,92;12224,07;11353,28;9809,40;33039,08;13709,98;16861,34;20289,56;9263,55;19893,32;11024,02;18635,82;19929,14;12923,73;15874,10;15638,52;12101,80;12015,55;19045,25;18973,17;15495,54;18940,45;23165,34;20532,70;30616,67;29749,31;17436,18;24886,06;29655,54;17491,43;18255,42;15539,86;29247,42;52080,70;30650,34;25216,48;21705,84;17493,60;16513,64;17412,03;19225,57;15503,57;15998,84;26839,79;16171,31;22351,02;23140,79;32634,03;19608,80;22109,09;14989,17;15883,83;10234,12;14692,40;123990,56;13350,20;19733,09;19908,49;14396,72;12203,73;13964,80;16467,63;29858,38;20967,36;2028,56;6668,50;39380,40;6852,33;9428,21;17753,41;10288,53;6627,51;3121,34;7525,37;6405,83;7219,75;7865,48;2418,14;7491,54;40383,29;9044,80;8528,89;17015,07;7734,13;3357,88;14265,01;4640,51;9026,84;13448,36;8950,64;14442,21;9088,26;21780,06;9186,56;1364,87;4437,19;7485,90;17262,27;7076,80;5763,90;14208,36;6284,14;7826,81;453,51;2309918,01
