 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"210197 Boa Vista do Gurupi";-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;1;1;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;1;1;2;2;1;1;1;1;-;2;-;-;-;1;-;-;1;1;2;-;-;-;1;-;-;-;2;-;1;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;1;-;-;1;1;1;1;4;2;1;-;-;1;-;3;-;-;-;-;1;-;-;1;-;1;1;1;-;-;1;-;-;-;1;1;-;1;-;1;1;2;-;1;-;-;1;-;2;-;-;-;-;2;3;-;1;-;3;1;1;2;-;2;-;-;1;-;88
"210200 Bom Jardim";-;-;-;-;-;-;-;3;-;-;2;-;1;1;-;2;-;1;1;1;1;3;-;1;2;-;2;2;1;2;-;-;-;-;3;2;1;3;1;2;3;2;1;-;2;4;-;1;3;2;1;2;2;3;3;2;-;3;2;2;1;-;2;1;-;2;-;2;1;1;2;3;1;1;3;3;3;2;5;3;3;4;3;2;-;3;3;4;1;3;6;5;5;1;6;6;2;5;3;3;3;2;8;3;5;2;1;5;3;3;3;-;1;9;8;5;4;4;1;4;-;2;3;4;8;6;9;2;4;7;9;2;8;4;5;4;-;5;4;2;5;3;9;7;8;5;4;7;6;6;10;5;7;7;12;19;7;6;3;4;6;4;2;1;495
"210203 Bom Jesus das Selvas";-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;1;1;2;2;-;1;3;1;-;3;-;-;1;-;1;-;2;-;2;1;1;1;1;-;5;1;-;1;-;-;1;3;-;2;2;1;-;1;-;1;1;5;-;2;1;3;1;1;-;3;7;1;4;1;-;5;2;5;1;2;3;2;6;4;-;3;5;1;2;3;4;3;3;3;2;2;2;-;-;2;4;2;5;5;3;5;1;2;3;5;2;1;2;2;3;3;6;-;2;3;3;1;3;2;-;3;5;7;5;3;3;1;-;3;2;2;1;4;1;5;-;4;3;3;2;5;4;4;3;5;1;5;12;6;2;6;3;4;2;6;1;338
"210207 Bom Lugar";-;-;-;1;-;-;2;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;3;-;-;-;1;-;1;1;-;-;-;-;-;1;1;1;-;1;-;-;1;-;-;1;-;2;-;-;-;-;-;1;-;1;-;1;-;-;1;1;-;2;1;1;-;-;-;1;-;-;-;1;3;1;1;-;-;2;-;2;3;2;2;-;1;1;1;-;2;2;1;1;1;2;2;1;-;-;-;-;-;3;2;2;2;-;1;-;-;1;-;1;-;3;-;5;1;1;1;2;4;1;1;2;1;-;1;107
"210210 Brejo";-;-;-;-;-;1;-;2;1;-;1;1;1;1;-;1;1;1;1;2;1;3;-;1;1;-;1;1;1;1;1;4;1;-;2;1;-;1;2;-;1;2;1;1;1;1;1;2;1;1;-;1;2;1;-;1;2;2;2;-;1;2;1;1;1;2;2;2;2;1;4;2;-;4;2;-;2;2;2;5;3;8;2;1;2;1;1;3;5;1;2;3;-;2;1;1;2;-;-;1;2;1;5;1;-;4;3;1;4;1;2;-;1;2;2;6;2;3;1;3;3;-;5;2;3;1;1;5;1;1;5;1;1;3;3;3;1;2;1;3;2;-;2;4;3;1;4;1;6;5;2;4;2;3;8;10;2;5;1;-;1;1;1;-;293
"210215 Brejo de Areia";-;-;-;-;-;-;-;-;2;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;2;1;1;-;1;-;-;-;-;1;1;-;-;-;1;-;1;-;1;-;-;1;2;-;1;-;2;-;-;1;-;-;1;-;-;1;1;-;-;1;-;1;1;1;2;-;1;2;4;-;-;3;4;-;-;2;1;64
"210220 Buriti";-;-;-;-;-;-;-;1;4;-;1;1;2;-;1;1;-;3;-;1;-;1;-;3;-;1;1;1;1;1;2;1;3;1;3;2;1;2;1;3;1;2;2;1;1;1;3;-;-;4;4;3;2;3;5;2;3;-;2;-;2;2;2;2;2;4;3;2;-;2;1;2;1;4;3;1;1;2;2;4;-;1;2;2;1;2;2;2;2;1;2;-;2;1;1;-;3;3;1;-;1;5;3;2;2;3;2;1;3;1;1;3;3;1;-;1;2;2;1;-;2;2;2;-;1;-;-;2;1;1;-;-;6;1;-;-;-;-;1;3;2;-;-;-;-;3;2;-;-;1;1;-;2;1;3;2;1;3;4;3;1;1;4;-;245
"210230 Buriti Bravo";-;-;-;-;-;-;1;-;-;-;-;1;2;1;1;1;3;-;4;1;1;1;2;2;-;-;-;-;1;-;1;-;-;1;1;1;2;1;-;-;-;-;-;-;2;-;-;1;-;1;-;2;2;1;3;2;1;-;-;2;1;1;-;3;2;-;-;-;2;-;1;-;2;-;1;2;3;2;-;-;3;-;1;-;1;2;-;1;-;-;1;2;-;-;1;-;1;3;1;2;4;-;1;-;2;2;-;2;-;1;1;-;2;1;-;1;2;1;2;1;1;2;3;2;1;1;3;2;1;4;1;-;1;4;1;2;2;2;2;3;-;1;2;2;2;2;6;3;-;1;-;6;3;1;2;3;1;3;8;4;-;1;-;-;197
"210232 Buriticupu";-;1;1;3;-;-;3;1;3;2;2;2;4;5;4;2;-;1;2;3;4;3;2;2;4;7;2;3;4;5;2;2;2;1;5;4;5;3;3;7;7;2;3;5;2;-;2;3;2;3;4;1;2;-;2;2;4;5;3;5;9;7;2;4;4;3;4;5;5;2;5;2;4;6;3;4;5;4;7;9;6;3;3;5;2;5;6;8;3;8;4;7;11;8;2;3;3;4;1;7;5;3;6;5;8;9;6;11;9;3;6;8;4;5;9;6;7;7;8;8;4;5;5;7;6;7;5;8;8;8;6;6;5;6;5;3;6;3;6;4;5;6;5;10;9;4;6;3;2;8;2;4;9;6;5;11;9;4;3;8;6;2;5;3;740
"210235 Buritirana";-;-;-;2;-;1;2;1;1;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;1;1;-;1;1;-;-;-;1;-;1;-;1;-;-;-;1;1;3;-;3;-;-;-;-;1;-;1;2;1;2;1;2;-;-;1;1;-;-;3;2;-;-;-;3;1;2;4;1;2;3;2;3;-;2;-;4;-;3;1;-;2;1;1;-;2;2;-;5;1;-;1;2;2;-;3;2;-;5;-;3;1;2;2;3;-;-;1;1;1;3;2;3;1;-;3;2;-;2;2;1;2;2;2;-;1;1;2;2;2;2;2;-;3;2;3;6;2;3;6;1;1;2;1;2;2;1;3;3;1;3;4;2;3;3;4;2;1;1;1;220
"210237 Cachoeira Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;2;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;2;1;-;2;-;-;-;-;-;-;2;1;-;-;-;2;1;1;-;-;-;4;-;-;1;-;1;-;-;-;-;4;1;-;-;3;-;2;-;-;-;1;1;-;1;1;-;1;2;1;-;-;-;1;-;2;-;1;-;3;2;1;-;-;-;2;1;1;1;1;71
"210240 Cajapió";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;2;1;-;1;-;1;-;-;-;-;1;-;-;-;2;-;-;2;-;1;2;-;-;2;-;1;-;2;-;-;-;1;-;1;-;-;1;1;1;1;1;1;1;-;2;1;1;-;-;1;1;1;2;2;-;1;-;-;-;2;1;3;1;-;1;1;-;1;2;3;-;1;1;-;1;1;1;2;1;2;1;1;-;2;1;-;-;-;82
"210250 Cajari";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;1;-;-;2;1;-;-;-;-;1;-;2;-;1;-;1;1;-;2;1;2;1;3;1;-;1;-;-;2;-;-;3;-;1;-;1;2;1;1;-;-;2;-;1;-;1;2;-;-;-;-;1;-;1;2;-;-;2;-;-;1;3;-;1;-;-;-;-;-;1;2;1;-;2;2;1;1;1;-;1;2;1;2;-;2;-;-;1;1;-;1;-;1;-;-;1;-;1;1;2;1;3;1;2;-;1;-;1;4;-;-;1;1;-;1;3;1;2;1;1;5;1;1;-;-;1;-;-;1;1;-;3;-;-;1;3;1;3;-;1;128
"210255 Campestre do Maranhão";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;1;-;1;-;1;2;-;-;-;1;-;1;-;1;-;-;-;-;1;-;1;3;1;3;2;-;-;2;1;1;4;1;-;2;2;-;1;3;3;1;-;2;1;-;2;1;2;1;1;1;2;-;3;2;2;1;2;1;1;1;1;-;2;1;1;2;-;-;2;1;2;2;3;-;1;4;2;1;1;1;-;2;2;-;-;-;2;-;1;1;2;3;1;1;-;3;1;5;5;1;2;2;2;1;2;3;2;1;-;3;4;-;2;-;3;2;-;2;-;1;1;1;1;1;4;1;1;1;-;-;-;1;4;4;2;2;1;2;1;-;188
"210260 Cândido Mendes";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;1;1;-;1;1;1;1;-;-;1;-;3;1;1;-;1;-;-;-;1;1;1;1;-;-;2;-;2;1;-;-;1;-;-;1;-;2;2;-;1;-;-;-;1;-;1;3;-;-;3;-;1;-;-;1;1;2;-;1;-;1;1;1;1;-;2;-;-;1;1;1;-;-;-;2;1;-;-;-;1;-;1;-;1;-;-;-;-;1;-;2;1;-;1;2;-;1;1;-;-;-;-;4;3;1;3;1;2;1;-;1;2;2;1;1;-;2;2;2;-;1;4;2;4;1;1;1;-;-;-;116
"210270 Cantanhede";-;-;-;-;-;2;-;-;1;2;1;-;-;-;-;1;-;-;-;-;-;1;1;1;-;1;-;-;-;3;-;-;1;1;3;-;1;2;2;-;1;1;1;2;-;-;1;1;2;3;-;-;2;-;1;-;-;1;1;-;1;-;1;-;-;3;-;2;1;1;5;-;3;2;3;1;-;1;1;2;1;1;-;-;-;3;3;1;1;1;1;1;5;1;3;-;1;1;2;4;2;1;-;2;1;1;-;1;3;1;5;1;2;1;3;-;-;2;-;4;2;-;1;-;2;2;-;1;-;1;1;-;2;3;1;1;-;2;1;-;-;2;-;-;-;1;1;2;2;4;2;4;3;2;2;7;-;2;2;1;1;2;-;-;188
"210275 Capinzal do Norte";-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;1;1;-;2;-;-;2;-;2;-;2;-;-;-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;2;2;-;1;1;2;2;1;-;-;-;1;1;4;2;1;2;1;-;-;-;2;-;2;-;1;1;2;-;2;1;1;-;-;-;2;1;1;2;1;3;2;-;3;1;1;2;-;-;-;3;-;1;1;1;-;2;1;-;1;-;1;2;1;1;4;2;1;3;3;1;3;2;1;-;1;3;1;2;4;1;4;2;3;1;2;2;2;1;1;-;-;1;2;-;1;1;1;1;1;3;1;2;1;1;1;4;4;2;2;2;1;172
"210280 Carolina";-;-;-;-;-;1;1;3;-;1;1;1;5;2;1;1;1;2;1;1;2;1;1;-;3;-;2;2;1;-;2;1;3;3;2;3;2;-;3;1;-;1;3;2;2;-;2;2;3;-;-;5;-;3;3;1;1;3;-;2;2;4;1;1;-;1;2;2;1;3;4;4;3;2;1;3;2;3;4;1;1;3;-;1;2;1;2;-;1;3;6;2;-;2;3;3;2;3;3;1;7;2;1;2;5;4;1;2;4;4;-;4;1;1;-;5;3;3;4;-;6;3;1;1;2;1;2;1;4;2;3;2;3;4;2;2;3;2;1;-;3;1;2;2;-;3;2;-;3;2;-;1;1;1;1;1;6;2;3;1;-;1;1;-;305
"210290 Carutapera";-;-;-;-;-;-;2;-;-;1;1;2;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;1;1;1;-;-;-;-;1;2;-;1;-;2;-;-;-;2;-;1;2;1;1;-;-;-;-;1;1;-;2;1;1;-;-;-;3;1;2;1;1;1;1;1;2;1;1;3;1;2;1;1;4;1;2;1;-;1;1;1;2;-;1;1;2;1;1;2;2;1;1;3;1;-;4;2;-;1;3;-;5;-;-;1;3;1;2;4;2;2;3;1;1;-;-;-;1;2;-;1;2;2;1;-;-;3;1;2;2;1;1;1;-;-;-;-;6;1;2;-;2;2;2;2;1;-;159
"210300 Caxias";-;-;-;-;7;10;25;25;27;21;24;28;24;25;21;14;11;16;24;16;25;21;25;25;27;22;35;30;30;40;31;41;40;28;37;29;28;32;29;23;32;24;41;31;33;31;40;27;27;33;27;34;16;21;31;32;25;35;38;39;26;27;33;28;31;25;37;26;32;38;42;31;38;30;27;23;26;34;27;34;32;35;31;29;32;26;24;44;30;35;24;37;38;35;33;30;35;38;36;28;35;31;31;33;39;57;52;38;32;45;31;28;19;18;23;23;35;30;24;27;28;19;30;32;17;24;26;16;17;34;32;23;23;21;22;34;20;23;28;22;26;32;35;21;26;19;34;24;27;21;26;34;36;25;36;75;58;52;38;41;35;33;39;23;4758
"210310 Cedral";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;-;2;1;-;-;-;1;-;1;2;-;-;-;1;1;1;1;1;-;1;2;1;-;-;2;-;1;-;1;1;1;-;2;1;2;1;-;-;-;-;1;1;1;1;-;-;-;-;-;-;1;-;3;1;1;-;-;1;-;2;1;1;-;-;-;1;-;1;1;3;-;1;-;1;-;1;1;-;-;3;2;1;1;-;1;1;4;-;-;3;1;1;2;3;1;1;1;-;1;3;1;1;-;1;1;-;1;-;-;1;-;-;1;1;3;-;2;3;1;4;1;4;2;2;1;-;2;1;1;3;-;2;5;-;-;1;1;1;-;2;-;137
"210312 Central do Maranhão";-;-;-;1;-;-;1;-;-;-;1;1;1;-;-;1;-;-;1;-;-;1;2;-;1;1;-;-;-;-;1;-;-;1;-;-;-;2;-;-;1;1;-;1;1;2;1;1;1;-;2;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;2;-;-;2;1;2;-;-;-;-;1;1;-;1;-;-;-;-;-;1;1;-;2;2;-;1;1;-;-;2;-;1;1;-;-;1;1;-;-;-;1;1;-;1;2;1;1;2;2;-;-;1;2;-;-;-;-;-;-;1;-;1;-;2;-;-;-;2;1;1;2;-;1;2;3;1;2;-;1;1;2;-;-;4;1;2;1;2;-;1;-;-;-;-;-;104
"210315 Centro do Guilherme";-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;1;-;-;1;-;1;1;1;-;1;-;3;2;-;1;1;1;-;-;-;1;-;2;1;1;-;1;-;-;-;-;2;-;1;-;-;-;-;3;-;1;1;2;-;-;2;1;2;-;2;-;2;1;2;2;-;1;1;-;1;-;1;1;1;1;-;-;-;-;-;1;-;1;2;-;1;2;-;1;-;2;-;-;1;1;2;2;-;-;2;-;-;1;1;-;-;-;-;1;2;2;1;1;1;1;1;-;-;-;1;-;-;-;3;1;4;2;-;-;1;1;2;1;106
"210317 Centro Novo do Maranhão";-;-;-;-;-;1;1;1;-;1;1;1;1;2;2;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;1;1;2;-;-;-;-;2;-;1;1;-;2;-;-;2;1;3;-;-;-;-;2;1;1;1;1;2;-;-;1;1;2;1;2;1;2;-;2;1;1;3;3;3;2;-;2;1;1;-;1;5;2;-;1;2;1;1;1;1;2;1;2;2;1;3;1;1;1;1;-;3;4;1;3;3;2;1;1;5;2;4;1;2;1;1;2;2;2;2;3;2;2;2;1;-;2;2;2;1;-;3;3;2;2;1;2;-;2;-;1;3;1;2;-;-;2;-;-;5;2;3;5;1;-;2;-;2;-;-;200
"210320 Chapadinha";-;-;-;2;1;7;7;8;5;1;6;5;4;4;4;6;10;6;7;5;9;5;8;8;7;8;2;7;6;12;9;11;6;9;6;11;8;5;9;7;9;6;6;4;7;3;9;3;7;6;4;6;1;3;6;4;8;7;5;8;9;6;7;6;7;3;6;5;9;8;17;5;14;10;10;7;11;12;10;9;11;13;8;12;6;9;5;11;9;9;12;7;7;18;12;6;7;10;17;6;10;8;8;15;14;9;5;13;9;13;6;6;9;6;10;9;7;11;16;13;11;7;14;9;7;5;11;13;14;8;9;4;8;11;3;7;14;15;11;6;15;12;16;19;9;5;9;6;8;12;15;15;13;6;23;26;13;22;9;4;3;13;5;-;1381
"210325 Cidelândia";-;-;-;-;-;2;1;2;3;3;-;-;1;-;-;-;1;1;-;3;1;-;-;-;1;-;1;-;1;-;-;1;1;-;-;-;-;1;-;1;2;-;2;3;1;2;1;-;-;-;-;-;-;2;-;2;-;-;1;1;1;1;1;-;-;1;1;-;1;-;-;-;1;1;2;-;1;3;1;2;3;-;3;1;1;1;2;2;3;1;1;2;2;1;2;1;3;3;2;2;4;-;1;1;-;-;1;-;2;3;1;3;2;-;1;2;1;-;4;3;-;3;-;1;2;5;2;1;-;6;1;1;1;1;1;2;-;1;2;3;2;-;1;-;1;1;1;4;-;1;1;1;2;1;2;2;-;1;3;4;-;2;2;-;189
"210330 Codó";-;-;-;-;3;3;11;13;24;21;24;15;13;21;12;17;11;8;14;15;20;21;20;15;15;19;18;18;20;16;16;14;15;18;17;18;18;34;22;18;26;19;27;22;28;21;25;17;15;17;23;21;23;15;18;20;18;15;24;17;17;12;22;25;17;18;15;14;13;19;18;16;14;29;25;23;20;22;19;16;24;26;17;13;10;28;18;16;15;21;16;12;17;27;18;13;21;24;18;20;22;23;8;17;16;25;21;25;15;16;18;28;12;12;13;18;27;14;20;21;18;11;11;24;14;17;25;21;24;26;26;19;19;12;16;17;14;16;24;20;25;28;19;33;29;17;30;24;13;24;28;22;35;32;68;62;37;21;33;11;26;28;34;22;3202
"210340 Coelho Neto";-;-;-;1;2;3;3;1;2;2;3;3;2;5;-;3;2;1;4;1;2;4;2;6;1;3;-;1;5;4;3;2;5;3;4;4;6;-;4;3;2;2;2;1;6;6;4;2;2;1;3;2;2;7;3;5;9;6;4;10;6;6;4;5;4;4;1;3;2;6;3;6;2;6;3;6;3;7;5;4;5;2;6;1;6;3;5;3;6;8;7;3;1;6;5;5;10;3;10;8;7;2;5;3;5;6;9;8;9;9;6;4;6;3;4;3;3;3;6;7;4;5;2;3;3;5;2;1;5;1;6;4;2;4;1;5;5;3;1;2;6;4;2;3;3;1;-;3;2;3;9;2;6;7;7;31;5;8;2;4;10;3;5;7;673
"210350 Colinas";-;-;-;-;1;-;1;-;3;-;1;-;1;3;2;1;2;1;4;3;2;-;-;1;1;-;-;3;1;3;1;-;4;2;2;3;2;-;3;1;1;1;4;-;3;2;-;1;-;3;1;-;4;2;3;1;2;3;3;4;2;2;2;4;6;3;2;1;1;3;2;3;3;3;6;2;4;1;2;3;4;5;4;3;2;3;1;2;3;3;2;2;4;1;3;3;5;3;6;9;2;11;6;6;7;5;10;3;5;3;3;2;5;4;7;8;7;7;5;2;3;9;4;11;6;11;9;4;8;10;14;5;10;6;5;6;9;8;8;5;7;7;9;7;1;3;7;5;8;11;5;9;9;1;14;18;15;10;9;9;7;9;4;8;664
"210355 Conceição do Lago-Açu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;4;1;1;1;-;2;-;1;-;-;-;-;-;-;-;-;2;-;-;2;1;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;1;1;-;2;-;-;-;-;-;-;-;1;-;-;1;-;1;2;1;1;-;2;1;1;1;-;-;-;1;1;1;1;-;-;-;-;-;-;2;-;1;1;1;-;-;-;1;1;1;-;-;1;-;1;-;-;-;-;5;1;2;-;-;-;1;1;-;1;1;1;1;1;2;2;1;-;1;3;2;-;1;-;1;1;1;-;3;-;3;3;5;1;1;4;-;2;-;-;1;2;-;-;110
"210360 Coroatá";-;-;-;-;1;3;2;7;8;3;10;5;6;9;3;5;3;7;8;4;11;7;6;5;7;7;5;2;13;6;10;7;9;7;7;3;6;5;12;4;13;6;6;8;8;8;6;3;8;6;6;4;11;6;11;11;9;7;16;11;8;6;12;14;2;9;11;7;5;7;9;13;8;16;12;8;6;7;11;6;7;6;10;3;10;6;15;7;13;14;5;6;15;13;10;15;11;12;9;9;12;3;4;13;13;7;4;14;11;4;12;10;11;7;12;15;7;19;6;6;7;4;9;7;5;5;5;5;6;9;9;9;3;9;10;7;8;3;8;7;10;8;7;8;7;10;3;9;9;8;10;5;9;9;12;12;10;7;5;13;7;9;8;4;1284
"210370 Cururupu";-;-;-;1;2;1;5;5;8;4;3;8;4;4;2;5;7;1;4;4;8;2;9;1;8;5;3;6;3;4;12;5;11;12;11;6;6;7;5;5;5;8;8;6;6;-;5;5;4;5;5;4;6;4;3;5;4;4;3;3;5;2;6;2;4;3;7;7;7;7;3;4;5;3;3;6;8;7;6;5;5;1;3;7;4;2;6;5;4;1;2;11;3;4;2;5;6;4;6;7;10;11;7;8;8;4;2;5;7;5;4;6;6;2;8;14;6;5;1;6;4;7;3;4;6;5;2;2;5;8;8;9;6;3;2;7;8;7;8;11;2;4;9;4;7;4;6;3;6;6;9;6;4;5;10;8;6;6;8;6;3;3;5;4;852
"210375 Davinópolis";-;-;1;1;-;3;1;-;4;4;1;-;1;3;2;-;1;1;-;1;1;-;2;2;-;-;1;-;3;2;-;1;2;3;-;3;-;-;2;1;2;1;5;4;2;1;1;-;1;-;-;2;-;-;4;2;1;1;1;2;4;3;1;1;1;1;2;1;2;3;2;-;4;5;1;2;4;1;4;4;3;2;2;2;1;3;1;7;3;3;4;3;3;-;4;4;3;3;1;5;2;-;1;3;2;1;1;2;1;1;1;-;2;-;1;-;1;1;1;-;4;4;-;2;2;3;-;4;3;2;2;5;2;2;1;-;1;2;4;-;-;-;1;5;1;2;2;4;1;2;2;1;2;2;-;4;4;1;-;3;1;2;5;1;290
"210380 Dom Pedro";-;-;1;-;-;-;1;-;3;1;-;1;1;1;1;1;-;-;2;1;-;1;-;-;1;-;-;1;-;-;3;1;-;-;-;1;1;1;1;1;2;2;1;2;-;1;2;-;3;-;3;1;1;1;1;3;5;2;2;2;1;4;2;2;2;3;2;1;4;5;1;4;3;4;2;2;5;3;3;2;4;5;1;4;1;1;3;2;3;2;2;2;2;3;2;1;4;2;2;3;1;4;4;2;2;1;3;-;5;1;3;2;1;-;4;4;4;9;7;5;1;1;1;5;4;3;5;6;4;2;3;5;-;3;4;1;4;4;1;2;6;2;6;3;5;4;1;3;-;1;4;3;5;-;7;6;4;3;2;4;4;2;6;-;366
"210390 Duque Bacelar";-;-;-;-;1;1;-;-;1;1;-;-;-;1;-;-;1;2;1;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;3;1;-;-;-;1;-;1;1;-;1;-;-;1;-;1;-;-;3;1;2;-;3;1;-;2;1;1;-;-;-;1;1;-;1;2;1;-;1;-;1;-;2;-;-;-;-;1;2;2;1;1;2;2;4;1;-;1;1;3;2;1;2;-;1;-;1;1;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;2;-;2;1;1;-;4;1;4;2;2;2;-;-;1;111
"210400 Esperantinópolis";-;-;-;1;1;2;1;1;1;-;1;1;1;-;2;1;1;-;3;2;-;1;2;1;-;1;1;1;2;-;-;-;2;1;-;2;-;-;-;-;1;1;-;-;1;1;-;1;-;-;2;1;-;2;2;-;1;2;1;4;1;2;1;-;1;2;3;1;1;3;1;-;-;-;2;3;-;-;2;-;1;1;5;-;1;-;4;3;3;3;1;3;1;-;1;-;-;-;3;5;1;2;-;1;-;-;1;-;-;1;1;1;3;-;1;2;4;7;5;2;1;2;2;1;3;-;3;2;-;1;1;2;1;1;1;3;2;2;4;2;5;2;3;2;1;2;2;3;2;3;2;1;2;3;5;5;4;-;2;3;6;2;1;1;239
