 Morbidade Hospitalar do SUS - por local de residência - Pará
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2000/Fev";"2006/Fev";"2007/Jan";"2007/Fev";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"150475 Mojuí dos Campos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1505,24;1006,16;-;-;3927,27;2102,00;7516,74;4583,92;694,18;3570,77;10486,17;10121,13;26020,15;17518,29;6621,61;5086,37;9436,81;13419,92;8786,03;7723,02;12893,21;13229,19;11738,98;15942,10;10990,55;16466,45;12596,55;22077,95;9927,29;13196,61;14571,74;16790,60;18359,16;19425,27;22874,38;32596,22;32960,52;18368,06;46051,13;17309,33;29603,85;35838,03;14282,36;39885,25;14666,72;56678,51;43574,41;40859,10;55228,83;49224,54;33229,29;32048,22;21384,98;24989,56;22304,63;31460,23;22268,14;31020,47;38703,35;37222,34;26948,40;45198,91;33394,92;49485,67;37571,28;50999,17;39223,90;23262,97;46629,70;34704,31;19334,24;17603,17;50728,57;34784,62;16531,45;31896,46;34563,71;31183,92;19214,04;29702,94;110984,75;47811,12;101013,22;52915,34;37508,74;18590,90;36271,50;60081,85;11593,46;2342697,11
"150480 Monte Alegre";-;-;-;-;210,20;-;-;331,75;4925,08;15618,14;30041,57;109666,29;162955,85;137376,65;148479,62;172773,24;183545,79;203984,01;145296,14;166634,93;149900,62;160142,11;169710,51;149784,45;169873,59;156960,51;264311,71;220141,06;264635,52;213777,86;181788,62;157101,65;178347,45;182918,45;182620,54;144324,32;175629,53;134761,99;196554,28;159650,56;167811,71;173688,81;149326,02;194898,63;170202,45;158375,46;202375,11;206394,88;165354,81;192569,84;204012,41;193329,20;209226,94;187364,38;196022,45;218549,30;212148,22;190089,18;191174,00;147417,24;169696,27;219236,26;228185,63;194172,98;203410,46;148454,51;159555,13;176008,89;157499,98;181239,34;147507,76;179776,02;176718,00;129980,60;181104,23;240045,83;177299,93;132438,20;202074,56;203226,27;140112,98;137859,66;101361,28;169096,15;167083,74;192810,96;150412,11;133157,78;157688,61;142015,67;149351,08;183635,07;187815,34;172481,42;146478,51;185913,68;188702,63;157884,06;237293,26;240048,29;215702,60;165979,60;189448,63;166366,08;156109,79;182316,56;178264,41;157573,77;166062,89;171219,43;171770,73;165866,15;139754,64;150125,94;147269,24;151032,50;179496,23;196642,53;189005,17;108249,17;161226,89;127912,19;146263,25;177744,79;188834,88;208169,50;224319,27;216993,07;190238,19;166312,61;234232,72;158069,54;170952,55;106305,37;147351,11;161402,34;186725,08;126898,09;140461,08;185966,83;162065,41;171538,19;210905,26;168900,87;195100,59;155622,98;180734,67;214683,41;148875,43;156131,69;185044,66;186867,58;153542,60;196666,07;201952,06;188904,02;178114,17;163854,57;184572,07;137156,63;147396,82;288056,69;259714,16;217009,76;192287,87;196430,48;130179,14;172407,73;194996,70;69807,44;27958093,89
"150490 Muaná";-;-;-;-;-;-;-;-;451,39;1626,82;16260,90;26650,22;86973,67;76998,38;84180,42;55163,37;66519,96;47127,17;55408,23;77602,40;86955,28;85714,59;68846,63;50484,08;70710,88;57609,57;75758,33;107889,29;93175,29;89024,56;61456,70;80860,43;78906,00;86496,20;99440,63;70189,11;77405,56;53911,07;62216,34;104099,46;108566,84;86277,96;75373,42;101560,80;67153,30;62632,26;58151,34;82033,39;73925,25;84507,65;66033,91;79421,06;26056,44;80305,48;63534,76;53975,90;74152,53;47630,26;75632,12;72568,46;88120,25;91372,54;69321,89;90504,16;73048,62;55527,50;73168,11;88585,62;104261,84;114631,36;121658,73;72093,68;76895,03;99241,11;82833,04;145177,22;132088,25;114032,99;85856,92;128396,15;95704,98;78422,64;91567,62;75862,16;75792,65;76162,51;84203,12;80100,50;81603,54;88894,21;84653,93;74181,67;88074,60;62682,59;68985,12;83394,31;71655,17;71033,21;87515,27;99940,35;69805,56;86260,96;89208,07;106937,53;96902,17;136324,32;170613,49;92424,13;155276,51;101201,49;121264,20;144172,34;158015,64;158121,85;138184,17;197358,27;158274,13;133791,59;119053,97;131716,20;119847,43;128980,82;114511,56;105419,09;165898,44;130822,37;135338,36;134212,63;163213,16;163679,58;114548,96;93289,93;140162,77;123190,37;120641,02;156230,45;105240,78;98857,56;95824,24;100441,16;164964,37;143651,13;117642,13;112712,61;115687,42;82149,56;142042,38;118071,87;125718,27;72038,72;152989,03;118171,03;108660,71;154246,46;112626,84;95025,92;116475,66;89436,01;116071,92;81373,91;79612,49;159852,77;143938,92;196794,12;113815,16;137665,55;68565,39;78380,82;35565,17;8295,11;15560349,94
"150495 Nova Esperança do Piriá";-;-;-;-;-;-;-;-;1072,43;1141,76;4057,27;18141,12;22034,03;26408,67;19567,47;96783,10;74912,52;25423,03;78907,63;75688,81;98606,25;105533,77;101788,31;92632,98;85048,95;70145,79;92959,26;87083,25;86493,51;72347,29;73933,97;107727,49;60068,00;76963,20;67457,75;74647,53;75475,41;65064,15;84022,17;65949,19;51482,51;68686,65;54924,91;66981,77;111074,88;76554,02;69816,35;91021,51;86777,11;78951,30;89566,74;54360,23;24430,58;54254,85;24204,07;49657,18;34198,56;37588,52;33398,10;38301,50;54748,68;42905,74;20876,87;20332,30;20709,30;15136,70;28547,42;23260,93;29350,39;46500,67;33203,40;24596,66;63506,65;60776,68;74892,93;86259,43;62905,11;68044,37;53145,57;66318,14;53469,49;66679,55;58010,08;56124,17;41977,85;44085,30;54171,00;98654,77;32562,63;60053,63;70271,29;85929,57;54227,94;53538,17;82747,71;68542,91;26874,82;85138,20;52074,20;65168,02;49553,41;24525,92;33666,28;17539,36;39478,23;49981,65;74243,58;75911,86;93186,19;63595,42;106153,21;108246,68;80471,15;91829,64;84966,08;73636,34;82348,05;99540,32;89979,40;127430,97;107227,50;49485,04;111938,37;119432,28;80771,11;83920,54;70922,68;93184,36;56781,11;87096,99;77370,21;167880,97;86943,90;49134,16;91380,43;59824,24;50281,04;108496,68;99474,48;174405,24;78255,62;77720,49;56818,25;78577,07;91305,07;58881,33;67055,54;40194,00;65504,99;93903,74;71143,14;90700,51;66526,99;78030,96;72006,39;57242,45;118924,75;90894,48;156541,26;86662,78;90486,20;101271,33;107611,68;66984,66;70111,05;86476,47;76183,27;78727,23;72188,95;18906,80;11048709,16
"150497 Nova Ipixuna";-;-;-;-;-;-;-;-;-;1967,86;21065,10;43943,61;21531,17;19481,11;18511,17;20066,46;14436,86;20193,66;21396,63;15831,99;28454,40;28149,77;21384,30;20192,75;15313,41;28208,70;35511,25;55524,68;26385,84;18405,75;13651,67;18962,32;59137,86;52217,69;14275,07;17668,64;26989,62;13771,02;58137,92;16317,76;31141,29;24706,71;18593,34;21837,48;18875,11;23297,07;14481,49;29314,35;31009,53;18478,26;12273,60;28220,51;13917,40;10568,71;15438,23;40415,66;33553,18;23063,87;25138,61;44983,48;17260,26;18307,75;29236,33;24573,40;26067,68;19749,82;30987,14;10647,80;11285,13;27853,09;16956,70;11787,80;10889,63;11268,48;13653,18;21406,72;13948,37;23496,55;14008,53;23194,44;11640,12;19022,52;29074,95;30189,81;22693,92;22610,51;25399,21;31874,81;21284,06;18035,60;13824,75;32848,65;19491,68;31892,48;8416,05;18755,47;28598,92;19392,85;50232,72;18052,84;27664,85;19197,60;26632,79;27831,06;16635,55;21373,59;30085,70;13339,51;21783,60;23639,48;31097,36;38225,13;21160,77;34136,12;26921,75;21631,75;23059,41;10947,90;22724,42;11731,32;67285,00;25977,17;45461,85;75852,51;33629,53;28155,16;54563,26;11701,05;46962,86;29351,61;18119,02;25721,19;69761,60;20721,20;32167,73;10690,66;24229,75;21800,55;13353,05;37715,27;28352,17;45925,67;37385,52;33905,67;31444,23;41608,49;86872,32;53247,79;34001,08;59270,90;43551,39;51172,05;68362,50;52016,73;58277,21;40028,03;49789,91;47159,39;32837,18;34854,52;17484,28;28022,73;58446,58;44511,95;33058,42;38360,49;35124,14;26471,33;42085,37;11879,71;4544852,07
"150500 Nova Timboteua";-;-;-;-;-;-;-;327,36;3645,66;10110,04;17691,91;35470,78;24034,53;33096,28;47748,10;62414,45;52063,44;37003,89;22307,34;23471,95;33179,79;23058,53;24408,71;50613,98;29748,87;30262,40;62591,77;60925,97;35510,78;25277,53;37845,70;30550,43;26528,52;24691,45;31317,13;35707,86;44421,66;31924,87;19687,47;46983,45;27177,81;30196,79;76106,06;22227,26;34294,70;61737,43;48191,22;28226,17;44184,41;26753,45;21074,20;21979,30;41290,50;24328,23;20882,00;40150,70;34124,83;29405,77;22278,32;25912,90;29707,57;28880,65;33951,85;24319,04;26434,51;30600,74;25659,96;44189,39;46215,34;25873,24;20099,18;27247,01;44372,05;58480,63;24545,29;31077,07;21940,62;35247,98;27088,93;27111,49;36572,48;35987,95;25527,55;19311,77;36259,81;47421,06;14930,29;23424,88;59948,71;15800,09;30469,95;30241,40;41719,72;53635,11;34750,36;28719,06;39320,46;51410,23;27715,81;27501,09;32474,24;34247,22;49879,73;72282,73;46687,38;30013,02;22155,89;32427,33;30256,66;34904,94;37408,21;53648,63;50166,72;70153,90;33318,71;28893,29;37470,68;44971,38;34948,66;32917,85;54362,07;37456,42;39007,73;37538,03;53175,79;62057,20;64583,46;56964,34;36603,26;43927,75;23810,95;31285,70;35757,01;28081,67;42095,59;40333,40;27240,23;37929,16;30124,86;41751,57;53903,98;51591,82;23856,55;30235,14;69511,62;39234,32;54049,39;27381,96;44420,26;42432,96;50150,54;36609,51;72144,37;28596,72;49763,13;76705,44;36990,34;54250,33;50042,36;28624,66;75141,08;37899,40;24804,66;98656,45;64705,70;56106,44;30067,50;41568,08;35064,62;8401,34;6095079,00
"150503 Novo Progresso";-;-;-;-;-;-;-;-;-;2312,31;41267,64;44456,49;65178,35;78569,01;59629,60;86763,05;59177,16;79406,86;80558,42;74464,41;16759,60;38578,90;45235,10;39851,60;67048,38;68810,18;99200,60;77101,54;77966,28;74808,05;84264,06;80194,57;64897,26;106050,21;90384,63;62989,72;59782,05;77793,45;89457,37;54395,41;52959,32;67116,11;34733,11;65931,48;52977,50;32454,37;51452,69;70247,82;87497,69;62771,79;64416,58;65929,75;106068,27;91586,57;83124,29;77207,84;73793,67;53043,29;78915,17;59999,26;81292,18;66310,22;75507,06;73900,92;88923,55;81208,39;72147,96;97352,61;68783,12;72978,36;63809,37;66938,76;66693,21;71219,71;64614,84;67178,12;97222,31;92102,52;91523,20;85090,85;73478,80;100875,79;97425,79;92656,27;78771,23;121464,61;72374,23;68290,13;85758,78;109674,18;112743,38;153350,36;86813,44;85202,24;92471,28;80546,46;77358,80;85872,77;80820,12;100616,47;85883,20;84476,20;85282,01;110488,03;104061,94;79800,79;89643,37;72801,01;73902,58;59330,82;70092,97;88449,90;94033,36;100136,77;90138,79;97908,43;87899,31;71948,01;87540,27;69258,89;84222,54;83743,83;86271,13;89556,67;68043,59;90890,29;80174,53;72314,86;66951,93;95074,92;84227,32;54623,77;89919,71;83453,06;120616,36;61424,00;138151,97;65369,77;77883,19;70420,67;90511,29;99116,34;80217,20;53253,68;72546,71;88309,29;101675,09;101848,50;98600,62;74483,59;68067,75;94058,09;88269,25;73916,33;71041,56;114105,21;52333,73;75191,00;79605,44;68977,33;53766,98;92846,17;153474,10;85867,11;67072,45;82132,74;67307,57;112402,66;55634,89;23714,96;12587699,61
"150506 Novo Repartimento";-;-;-;-;-;-;-;-;-;210,20;29800,85;69409,71;89699,89;65563,49;97792,61;104767,18;113268,82;84646,05;105762,12;135473,82;125554,69;121090,04;127847,54;117918,65;88696,16;93386,58;109235,91;113014,20;103576,64;95477,42;105769,53;142781,40;102469,30;49954,39;128480,88;125618,61;135601,31;113081,60;138048,60;101545,17;144706,28;126252,70;111931,49;123659,42;119258,33;146781,85;127249,24;112046,70;120681,04;118423,54;157954,42;106020,80;115485,85;179963,42;148397,92;108277,14;70640,23;144156,24;107603,50;86690,08;131094,93;70419,14;123293,71;124536,22;183166,39;70568,49;135014,42;158012,75;98665,64;116229,85;119841,36;87092,42;139459,06;96711,29;227917,09;117861,26;123374,73;108143,00;141982,03;165525,32;123071,07;120034,78;129544,08;81276,96;157262,77;128038,26;149196,28;109052,23;220071,46;115273,24;136821,27;129297,75;160192,01;114848,60;123155,60;102105,61;116237,32;149068,29;124742,07;128426,05;129527,56;105488,32;152634,90;126231,07;115952,66;159320,61;124359,26;103428,94;125255,86;97214,03;143818,34;124721,24;126482,35;156045,32;130583,53;128816,23;165609,48;280991,68;155936,03;111288,67;120517,80;108548,69;142613,38;123624,26;251524,17;147899,24;127505,57;142230,57;143502,36;143771,20;207983,72;195929,72;181026,09;176063,82;143984,22;214611,74;220682,49;159756,19;170860,22;156172,30;125787,24;222822,32;174823,05;172606,39;204398,69;127879,51;144928,51;162935,75;201938,19;126340,13;208346,83;171953,16;138457,52;194165,80;124633,62;106254,86;184350,27;202072,39;147364,58;77731,86;129158,90;135131,26;172799,13;172190,98;222814,17;200927,30;179879,79;138521,58;107391,88;30196,01;21519663,85
"150510 Óbidos";-;-;-;-;-;-;-;-;2876,43;13053,01;96191,83;151904,02;154398,91;127886,05;254025,35;142048,11;162158,48;135744,19;136634,63;125221,51;139381,24;150046,74;143529,34;173404,89;130298,85;116106,20;164688,25;164424,82;153472,80;126797,83;168420,78;136685,93;146460,27;172638,62;157211,90;161931,93;156673,97;141042,55;153795,53;166841,31;158891,21;158229,82;143762,40;143580,70;140927,61;131027,65;153195,66;166227,94;174438,06;161863,74;171487,42;129975,07;125123,10;132684,92;128778,78;151438,40;126899,35;136953,09;130138,61;155937,25;129263,40;143487,40;169189,92;146907,20;151553,90;146489,15;139947,38;126201,46;114286,41;131241,63;147812,89;135832,21;145631,40;121913,03;142282,29;147847,10;123130,45;127173,78;137532,76;142355,86;169799,26;150374,26;146651,58;269409,31;143250,92;127088,46;128025,67;148513,30;128667,85;139528,43;121202,29;126356,72;106160,41;122060,45;122011,33;122503,96;99074,60;160543,20;159454,79;119839,53;113197,62;150290,13;103142,19;111804,80;164717,91;128589,20;157169,07;104694,47;137401,88;124003,91;126278,38;131417,49;123879,14;156164,98;110367,20;127178,23;109084,04;95097,24;104170,64;127297,82;113852,08;125103,36;145341,15;162866,11;177159,06;133459,44;127215,50;149832,79;138453,38;154849,25;144978,77;99692,38;135840,11;117351,40;175699,83;132458,15;144564,30;202821,74;149373,52;207523,40;206616,74;154531,97;158064,40;101574,01;143469,49;143775,45;131066,51;159475,92;142288,15;138267,90;141923,71;126897,59;147893,13;181251,85;134282,64;163758,05;161650,77;175976,83;172068,56;98041,38;100555,13;224706,92;158323,12;104788,86;94217,58;154351,34;212117,63;140208,89;46682,30;4466,65;22695828,52
"150520 Oeiras do Pará";-;-;-;-;-;-;-;-;-;4931,17;3168,95;22744,75;36066,29;38871,04;55472,23;48144,07;50442,87;37056,19;68943,66;56000,77;49709,07;60138,53;63589,74;26260,86;24777,00;23935,42;26209,58;22099,20;19613,45;28066,15;21115,85;38227,55;32295,65;36193,13;33958,85;28541,16;44332,17;23688,18;23836,56;33502,09;41895,64;40034,22;53853,87;38048,45;29792,07;41320,30;47021,81;52028,76;44414,78;48451,32;62655,47;47213,57;58715,22;53415,76;58263,30;66407,35;57810,15;70217,42;92710,21;53460,68;31035,06;40528,21;68878,70;43403,27;64291,22;63757,38;43060,96;67883,86;64484,19;57992,28;58029,15;35012,91;52682,07;24073,24;57275,22;34298,15;29869,04;33355,99;82226,00;66508,63;71782,45;85685,57;53129,81;57753,54;57356,35;36797,37;46012,72;58309,02;66105,19;69301,29;87099,15;68944,84;71178,34;62110,90;121778,95;96837,93;69749,23;62818,22;73518,13;75924,50;67877,95;66800,98;66138,44;76969,35;57214,58;68548,40;73777,20;61159,57;72998,90;75053,85;90225,85;63462,71;67687,30;52525,71;76926,94;101727,32;118291,63;81998,11;118640,43;96262,67;94026,36;71642,17;78759,07;68130,56;69765,40;73349,04;79315,22;80630,71;127996,31;135523,87;66148,91;135956,98;133454,17;87615,62;93218,33;111692,78;77116,81;106867,39;164480,57;120030,70;112941,13;134253,44;123205,91;170402,77;127592,24;98917,60;85103,78;80795,99;95322,97;59540,91;114125,76;110221,66;140222,75;123816,97;136567,51;126805,75;134656,29;126097,25;84234,66;69675,65;71906,48;208487,48;145755,30;112564,66;125042,73;137885,65;80134,17;81493,38;77512,26;22532,49;11398326,01
"150530 Oriximiná";-;-;-;-;-;-;-;-;-;5416,74;3540,28;49378,59;150976,13;124339,31;123307,93;144763,42;118642,45;134532,14;117828,71;116750,03;104798,18;135141,80;129974,35;118994,47;147911,79;152889,21;171504,48;156911,29;161314,58;173528,00;158289,31;167668,42;178990,21;154669,52;160240,64;166700,98;174006,57;143350,77;174440,97;149390,21;172378,95;180863,63;179362,41;160459,09;175850,88;187119,67;130355,45;137045,02;125433,83;169072,76;130990,42;94564,02;98489,79;153819,90;120878,64;153280,22;142791,51;131278,82;175365,45;145499,77;146263,33;163411,51;151398,54;132156,29;167160,40;151986,58;195259,64;190624,29;161004,90;183187,68;205775,24;125195,28;144996,09;116392,24;177518,28;160887,91;163780,29;172050,77;169050,48;160816,50;167723,57;177106,15;161417,46;179338,65;172084,72;152844,06;204665,03;206892,05;161319,68;168865,39;176747,76;220911,03;228916,66;175512,42;238826,25;191728,86;214884,02;158978,21;181416,95;236567,52;179852,61;189926,12;217127,44;166900,75;183454,21;165655,18;223348,80;204225,74;209918,26;186798,72;201704,07;210033,00;197472,70;160355,83;214439,27;260968,62;253399,30;228039,66;313001,27;285047,28;241618,04;220178,14;270515,29;197166,98;227932,96;220374,77;231689,51;245114,54;193549,24;206736,27;297048,31;281032,98;249762,24;186097,55;253522,52;252759,02;246602,80;271654,98;265594,12;235837,16;219786,73;307629,34;234897,95;218553,53;237803,74;206017,44;289840,06;218007,67;274628,84;227006,39;264060,72;243738,54;236890,34;311428,77;189110,60;266207,00;272919,37;298828,65;235481,90;253687,08;269542,74;386088,27;298096,85;261867,64;193516,15;282274,56;168761,95;238999,74;290832,56;20109,03;30613824,79
"150540 Ourém";-;-;-;-;-;-;-;-;3568,33;19220,48;46898,90;67594,92;81292,39;47004,47;44954,97;62642,11;58269,59;73067,19;40016,78;68092,52;74052,54;59530,74;86489,49;77549,29;56950,49;90426,58;94295,83;91795,48;78845,04;70889,38;67740,28;45575,65;86465,98;85033,51;83813,25;69898,96;48488,07;45950,84;73423,36;58250,59;58546,17;44037,56;50152,00;52410,74;61825,44;46379,85;63497,78;43710,26;51940,42;69761,20;51824,78;81810,06;54350,72;45643,91;72769,54;44276,40;63192,52;37293,89;58608,07;53789,57;45082,39;46342,35;46007,54;57909,93;69258,79;72196,35;38007,09;55864,80;42951,28;53176,74;36811,71;58064,35;52230,66;55440,63;51640,79;59556,58;85726,94;71033,39;73254,70;43933,86;60537,85;49802,00;82072,77;59671,05;73653,88;66317,93;75376,54;66075,33;77553,82;65538,94;72827,85;45878,81;58816,19;41835,38;88059,12;82879,25;43756,49;68536,27;89245,07;77284,84;75236,47;102285,07;78751,40;59867,71;66230,41;101349,96;77838,67;74477,44;73409,81;64935,61;114515,22;76390,35;91585,54;71116,78;88941,63;97997,47;102413,79;110887,12;97130,20;120864,62;92437,92;85325,13;164878,09;84634,81;139637,13;106524,88;96079,54;120629,61;117276,59;103740,17;89892,68;75970,67;112854,16;122961,62;106409,64;84870,30;93940,91;109556,22;110995,01;113976,59;72542,99;106441,05;99773,25;110490,95;69506,46;90989,69;96727,81;76492,34;71050,89;82475,92;99004,15;122358,93;78338,02;216950,53;77219,60;161049,38;132355,21;80246,13;123524,11;73827,96;68184,69;103206,13;123921,09;83086,65;97200,64;132470,82;101346,49;97182,30;93611,20;13478,06;12457989,51
"150543 Ourilândia do Norte";-;-;-;-;-;-;-;-;6791,84;31372,68;34629,83;26903,61;78084,55;84429,62;82895,62;96324,44;104458,27;94978,80;104470,64;117042,63;65608,58;26449,53;75917,26;108375,78;159497,11;119600,40;156756,22;138553,18;113005,96;105132,50;130261,87;147446,11;158806,56;175964,90;153115,06;137081,30;140662,20;99472,95;132545,92;134741,87;140928,22;146521,46;140469,52;152541,77;125378,95;121061,70;116513,89;131444,93;153105,91;135021,97;150157,92;117176,42;185411,01;103116,73;159224,61;158615,48;166963,23;144941,99;154810,16;144380,45;142562,39;121849,07;157164,02;127654,72;128031,33;112091,91;148658,95;129718,09;121622,53;131582,09;143558,60;134698,43;126725,12;139556,59;211632,12;167371,45;158562,01;146785,34;141939,75;161372,78;155130,60;143239,26;199677,90;219078,92;121903,96;79485,78;93023,63;116405,14;180971,06;176639,69;144592,24;139426,05;123882,54;160585,98;132828,19;118648,53;157211,45;150117,46;215686,70;124603,40;123829,23;121159,66;114034,78;116172,93;172064,03;145408,32;123046,87;110734,46;157965,11;148728,98;123776,24;128327,87;117048,05;106347,76;148455,43;190139,98;188190,87;172633,53;159080,38;147700,04;157711,60;111368,52;143754,53;146491,59;168114,10;212716,53;159869,47;129833,69;207487,06;205840,37;143470,15;171648,11;198220,95;137487,22;220616,87;194064,56;182067,87;273807,12;192203,27;231821,85;273412,42;345881,55;172076,83;177988,71;179923,30;161757,58;216691,80;239486,22;242950,00;169421,63;160241,45;164231,08;189651,41;267618,52;248752,68;210308,21;159578,61;239566,80;171929,37;160218,53;190946,64;180125,40;212314,56;221186,99;187038,71;203189,11;200271,86;172378,65;178146,85;118636,73;24414802,03
"150548 Pacajá";-;-;-;-;-;-;-;-;-;2462,84;17472,85;26924,47;34699,88;30675,98;64876,77;67029,92;59163,79;27214,20;38544,65;48575,28;62160,77;74621,69;68948,05;62222,11;98680,57;61175,48;71487,35;95983,24;95726,26;86760,89;67499,74;122097,53;86606,08;71217,52;77486,09;52471,60;65373,87;74152,66;102314,22;74813,37;50340,70;51219,78;64538,32;89277,70;111738,34;129611,30;88015,47;90400,99;103034,49;89708,94;106612,37;100990,53;110061,51;96331,49;157381,53;108000,79;108108,53;126761,27;150417,73;95126,22;73905,86;108771,05;100563,54;90272,09;112984,40;81746,43;104316,20;24289,67;138555,71;120641,40;92249,98;116415,07;110619,40;139570,42;86707,46;96293,21;121815,86;88262,23;122114,16;103975,65;132055,56;109173,55;80171,43;95997,34;83302,87;82544,38;101416,70;105218,06;87276,07;91854,67;112734,58;111639,61;106593,57;112555,84;118181,56;76333,73;103721,59;82546,06;111486,05;120292,33;103650,08;105006,98;78063,15;99843,15;134428,49;83732,70;99685,13;111985,77;95294,54;71451,59;80391,54;108223,72;136740,33;142068,03;66601,63;79121,94;96720,21;89364,76;98266,69;90409,37;126843,55;126929,79;92606,52;102381,75;95331,79;113216,36;105984,94;106631,26;131174,36;134510,52;131201,18;106608,63;99540,17;96221,63;100147,26;117843,99;182976,89;118423,88;145629,04;177683,84;181783,89;194559,83;171586,18;169989,12;135643,88;164692,64;128398,74;122867,69;141460,33;149697,07;138850,92;186250,30;194221,21;252739,93;125517,76;186048,95;153674,45;178369,87;128672,96;181796,50;145086,69;140621,76;173805,13;231526,71;204889,01;180656,80;189132,54;137146,46;125361,90;56047,06;17330316,49
"150549 Palestina do Pará";-;-;-;-;-;-;-;-;-;98,44;481,49;4078,39;30454,87;23746,47;22239,42;6617,51;24409,19;22224,20;22188,92;26235,00;33930,73;31029,58;22307,66;5925,71;27732,62;30224,72;40001,69;26955,13;23193,47;30373,12;34496,85;19978,42;46021,86;22997,82;26731,25;30709,39;26928,65;28985,83;29110,26;21133,42;31587,78;33427,93;36767,56;32325,48;24939,43;36542,84;28005,47;32948,63;35208,64;23747,64;29750,03;45606,43;15367,28;15224,37;42961,91;16970,64;23640,81;25922,09;33764,60;21370,25;15599,04;22933,23;19384,82;25583,71;15866,98;11541,68;10055,37;18773,68;24125,44;10516,86;4495,30;5511,13;10996,19;13697,64;12319,75;24534,39;22332,78;9944,54;12511,81;8930,73;6358,35;7665,27;8733,86;933,86;18688,58;22064,47;34491,91;24618,08;17931,04;25763,56;20862,35;12983,98;14019,87;16301,78;16788,46;20933,04;10174,76;11559,20;16465,88;14398,23;11168,69;12001,05;6105,74;11424,19;23362,54;28805,52;41229,46;10935,27;24322,64;21861,37;10244,77;15814,05;12553,73;12985,94;6387,96;9390,09;11082,74;7379,42;6725,81;10013,64;8872,64;18161,18;23321,96;18659,64;20475,16;12712,64;25704,54;18363,37;10130,57;15735,86;12136,00;30541,00;15568,59;16354,74;24260,43;35136,67;38208,42;28571,79;26102,36;20152,41;27014,19;15785,10;12399,02;11880,45;20068,33;30278,25;19625,47;29377,89;35050,77;22172,25;32672,54;42448,03;47301,58;35430,07;47691,18;29143,64;29106,32;20757,77;14493,82;18359,56;16034,70;23928,11;49650,44;52463,04;37140,41;15709,37;27352,85;11428,77;1443,45;-;3438185,45
