"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510340 Cuiabá";153;165;232;160;129;123;103;112;168;116;107;104;1672
"510343 Curvelândia";1;1;-;-;-;-;-;-;-;-;-;-;2
"510360 Dom Aquino";-;-;-;4;1;-;-;1;1;1;-;-;8
"510370 Feliz Natal";-;3;12;-;2;2;-;-;-;-;1;6;26
"510380 Figueirópolis D'Oeste";-;1;-;-;-;-;-;-;1;-;-;-;2
"510385 Gaúcha do Norte";1;1;-;1;2;1;-;-;-;-;2;-;8
"510390 General Carneiro";-;-;1;-;-;-;-;-;-;-;-;2;3
"510395 Glória D'Oeste";-;-;-;-;-;-;-;-;-;-;1;-;1
"510410 Guarantã do Norte";-;-;-;1;2;1;1;-;-;-;2;1;8
"510420 Guiratinga";-;2;1;-;3;4;-;1;1;-;-;1;13
"510450 Indiavaí";-;2;2;4;-;-;-;-;-;-;1;-;9
"510452 Ipiranga do Norte";1;1;-;1;-;-;-;-;-;1;-;-;4
"510454 Itanhangá";1;1;-;2;3;2;1;1;1;1;-;1;14
"510455 Itaúba";2;9;7;5;5;9;4;-;-;-;1;-;42
"510480 Jaciara";4;2;3;5;10;7;4;1;-;-;-;1;37
"510490 Jangada";-;3;-;1;-;-;-;-;-;-;-;-;4
"510500 Jauru";5;2;-;1;3;-;-;-;2;-;3;-;16
"510510 Juara";3;3;-;1;2;-;2;2;4;2;11;23;53
"510515 Juína";12;18;12;35;7;2;1;-;3;5;3;11;109
"510517 Juruena";-;-;-;-;-;-;-;-;-;-;2;1;3
"510520 Juscimeira";-;-;1;-;-;-;-;1;-;-;-;-;2
"510523 Lambari D'Oeste";1;-;-;-;-;-;-;-;-;1;-;-;2
"510525 Lucas do Rio Verde";3;1;1;8;3;1;1;-;2;1;6;-;27
"510558 Marcelândia";1;2;24;11;4;-;-;1;1;-;-;-;44
"510560 Matupá";4;14;10;4;9;6;2;-;-;-;-;3;52
"510562 Mirassol d'Oeste";-;1;1;1;-;-;-;-;-;-;1;2;6
"510590 Nobres";-;2;2;-;4;-;-;-;-;-;-;-;8
"510600 Nortelândia";-;-;-;-;-;-;-;-;-;-;1;-;1
"510610 Nossa Senhora do Livramento";2;4;4;3;-;-;1;1;-;-;-;-;15
"510615 Nova Bandeirantes";3;7;6;-;1;-;-;-;-;-;-;-;17
"510620 Nova Brasilândia";-;-;-;2;3;-;-;-;1;1;-;-;7
"510621 Nova Canaã do Norte";3;4;11;-;2;2;1;-;1;-;-;2;26
"510880 Nova Guarita";-;-;1;1;2;-;-;1;-;-;-;-;5
"510618 Nova Lacerda";-;-;-;1;-;-;-;-;-;-;-;1;2
"510895 Nova Monte Verde";-;7;3;-;-;1;-;-;-;-;1;2;14
"510622 Nova Mutum";3;3;4;2;1;3;-;-;-;3;2;3;24
"510623 Nova Olímpia";4;6;1;1;2;-;1;9;-;3;1;3;31
"510619 Nova Santa Helena";-;5;7;1;4;6;4;2;4;-;1;-;34
"510624 Nova Ubiratã";3;2;2;5;5;2;-;-;-;3;5;-;27
"510625 Nova Xavantina";3;8;3;4;1;1;1;-;-;1;-;4;26
"510626 Novo Mundo";1;-;-;2;1;-;-;-;-;-;-;-;4
"510631 Novo Santo Antônio";-;-;-;1;-;-;-;-;-;-;-;-;1
"510629 Paranaíta";2;2;1;7;7;7;1;-;-;1;3;3;34
"510630 Paranatinga";-;-;-;-;-;-;-;-;-;2;-;-;2
"510637 Pedra Preta";1;-;-;-;1;-;-;-;-;1;-;-;3
"510642 Peixoto de Azevedo";3;6;3;6;1;-;2;2;1;-;-;1;25
"510650 Poconé";13;6;8;3;-;-;-;-;-;-;1;11;42
"510665 Pontal do Araguaia";-;1;2;2;1;-;-;-;-;-;-;-;6
"510670 Ponte Branca";1;2;3;1;-;-;-;-;-;-;2;-;9
"510675 Pontes e Lacerda";28;28;7;12;5;6;3;3;12;15;9;31;159
"510677 Porto Alegre do Norte";29;41;-;-;-;-;-;-;-;-;-;1;71
"510680 Porto dos Gaúchos";1;1;5;-;-;-;-;-;-;-;-;-;7
"510682 Porto Esperidião";6;9;12;20;8;-;-;-;-;-;-;4;59
"510700 Poxoréo";-;-;-;1;-;-;-;-;-;-;-;1;2
"510704 Primavera do Leste";7;2;5;7;5;1;1;1;1;4;-;-;34
"510706 Querência";-;1;2;-;6;-;-;-;-;-;1;-;10
"510715 Reserva do Cabaçal";5;11;32;48;18;1;2;1;-;-;-;-;118
"510718 Ribeirão Cascalheira";-;-;1;-;1;-;-;-;-;-;-;-;2
"510719 Ribeirãozinho";-;-;3;-;-;-;-;-;-;1;1;-;5
"510720 Rio Branco";1;-;1;1;1;-;-;-;-;-;2;-;6
"510757 Rondolândia";6;-;1;2;1;1;-;-;-;-;-;1;12
"510760 Rondonópolis";29;27;22;21;19;4;5;2;1;3;2;12;147
"510770 Rosário Oeste";7;8;11;14;1;-;1;-;-;-;1;1;44
"510775 Salto do Céu";1;2;-;-;3;-;1;-;-;1;-;-;8
"510724 Santa Carmem";2;-;1;-;1;3;3;-;-;-;-;-;10
"510774 Santa Cruz do Xingu";-;-;2;1;-;1;-;-;-;-;-;-;4
"510776 Santa Rita do Trivelato";-;-;-;2;-;-;-;1;-;-;-;-;3
"510777 Santa Terezinha";5;-;2;-;-;-;-;-;-;-;-;-;7
"510726 Santo Afonso";2;-;-;1;1;-;-;-;-;-;-;-;4
"510780 Santo Antônio do Leverger";-;-;-;2;-;-;1;-;-;-;-;-;3
"510785 São Félix do Araguaia";1;-;-;-;-;-;-;-;-;-;-;1;2
"510730 São José do Rio Claro";-;-;1;1;-;-;1;-;-;-;-;1;4
"510735 São José do Xingu";-;1;2;3;-;2;-;-;-;-;2;1;11
"510710 São José dos Quatro Marcos";1;2;2;1;4;7;-;-;-;-;-;-;17
"510740 São Pedro da Cipa";-;-;-;-;-;-;-;-;-;-;-;1;1
"510787 Sapezal";3;7;6;6;8;6;4;3;-;1;3;1;48
"510788 Serra Nova Dourada";-;-;-;-;1;-;-;-;-;-;-;-;1
"510790 Sinop";326;372;218;187;99;54;39;28;29;35;73;127;1587
"510792 Sorriso";6;19;28;12;13;5;3;5;5;7;10;2;115
"510794 Tabaporã";-;-;1;5;-;-;-;-;-;-;-;1;7
"510795 Tangará da Serra";8;4;-;-;-;-;1;-;-;3;4;3;23
"510800 Tapurah";9;22;18;11;23;8;1;3;1;2;-;-;98
"510805 Terra Nova do Norte";5;-;2;6;4;1;-;-;-;1;2;-;21
"510810 Tesouro";1;-;-;-;-;-;-;-;-;-;-;-;1
"510820 Torixoréu";1;4;5;1;9;5;7;1;6;1;11;12;63
"510830 União do Sul";-;-;-;-;4;-;-;-;-;-;-;-;4
"510835 Vale de São Domingos";-;-;2;-;-;-;-;-;-;-;-;-;2
"510840 Várzea Grande";41;54;37;15;10;3;1;8;4;11;3;14;201
"510850 Vera";2;5;8;2;9;8;6;2;1;2;-;-;45
"510550 Vila Bela da Santíssima Trindade";77;1;-;-;-;-;-;-;-;-;-;3;81
"Total";1055;1189;1143;954;622;381;259;217;309;289;354;470;7242
