DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2014
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130190 Itacoatiara";-;57;135;142;80;20;12;3;2;-;-;1;1;453
"130210 Japurá";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130240 Lábrea";-;3;1;1;-;1;-;1;-;1;-;-;-;8
"130250 Manacapuru";-;2;-;2;1;-;1;1;-;-;2;-;1;10
"130260 Manaus";-;121;166;225;185;108;77;47;33;41;25;31;30;1089
"130280 Maraã";-;1;1;1;-;-;-;-;-;-;-;-;-;3
"130290 Maués";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"130320 Novo Airão";-;-;-;2;3;-;-;-;-;-;-;-;-;5
"130330 Novo Aripuanã";-;-;1;1;-;-;-;-;-;-;-;1;7;10
"130340 Parintins";-;3;1;-;1;-;-;-;-;-;-;-;-;5
"130353 Presidente Figueiredo";-;-;-;2;1;-;16;6;-;-;-;1;-;26
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"130380 São Gabriel da Cachoeira";-;-;-;-;1;1;-;1;-;1;-;-;-;4
"130395 São Sebastião do Uatumã";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130400 Silves";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"130406 Tabatinga";-;76;22;12;3;-;-;-;1;5;9;35;43;206
"130420 Tefé";-;17;48;52;17;8;2;7;9;1;9;5;3;178
"130430 Urucará";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"140005 Alto Alegre";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"140002 Amajari";-;-;-;1;-;-;-;-;-;-;-;4;7;12
"140010 Boa Vista";-;13;20;7;9;10;13;6;14;31;33;27;29;212
"140015 Bonfim";-;1;-;7;6;21;32;16;4;8;6;-;-;101
"140017 Cantá";-;-;-;-;-;-;-;-;1;-;-;1;2;4
"140020 Caracaraí";-;-;1;-;3;3;4;8;-;2;-;1;-;22
"140023 Caroebe";-;1;-;-;-;1;2;-;-;1;-;-;-;5
"140028 Iracema";-;-;-;-;-;2;-;-;-;1;-;-;1;4
"140030 Mucajaí";-;2;-;1;-;-;1;3;5;2;1;-;-;15
"140040 Normandia";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"140045 Pacaraima";-;-;1;3;4;-;-;-;-;4;-;-;-;12
"140047 Rorainópolis";-;27;18;37;36;39;39;51;63;39;29;11;30;419
"140050 São João da Baliza";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";-;-;-;-;-;-;-;-;1;1;-;-;1;3
"150013 Abel Figueiredo";-;-;-;1;4;1;-;1;1;-;-;-;2;10
"150020 Acará";-;5;4;8;3;2;-;-;-;1;-;-;1;24
"150034 Água Azul do Norte";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150040 Alenquer";-;1;-;-;-;1;-;-;-;-;-;-;-;2
"150050 Almeirim";-;-;-;1;29;16;6;2;-;-;-;-;-;54
"150060 Altamira";-;8;15;30;65;18;20;6;12;1;7;3;5;190
"150070 Anajás";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150080 Ananindeua";-;1;-;-;-;1;1;-;1;1;4;-;-;9
"150085 Anapu";-;13;22;3;1;1;1;-;-;1;-;-;1;43
"150090 Augusto Corrêa";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150095 Aurora do Pará";-;-;-;-;-;-;2;-;-;1;1;3;-;7
"150125 Bannach";-;-;1;-;1;1;-;-;-;-;-;-;-;3
"150130 Barcarena";-;-;2;1;1;-;-;1;-;-;1;1;-;7
"150140 Belém";-;2;1;2;16;22;12;20;32;17;19;14;4;161
"150170 Bragança";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150172 Brasil Novo";-;2;8;30;9;13;1;-;-;-;-;-;1;64
"150175 Brejo Grande do Araguaia";-;-;2;4;2;-;-;-;-;-;-;-;-;8
"150178 Breu Branco";-;1;-;1;-;-;-;-;-;-;-;-;-;2
"150180 Breves";-;-;-;3;-;-;1;-;-;1;1;-;-;6
"150210 Cametá";-;1;-;-;-;-;2;-;-;-;-;-;-;3
"150215 Canaã dos Carajás";-;-;3;3;1;2;-;-;-;-;-;-;-;9
"150230 Capitão Poço";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150240 Castanhal";-;1;1;1;1;-;2;-;-;1;5;3;-;15
"150270 Conceição do Araguaia";-;2;1;2;-;-;1;-;1;1;-;2;-;10
"150277 Curionópolis";-;1;2;1;-;-;-;-;-;-;-;-;-;4
"150293 Dom Eliseu";-;5;2;1;3;-;1;-;-;-;-;1;1;14
"150310 Gurupá";-;-;-;-;-;-;-;-;2;2;28;4;-;36
"150320 Igarapé-Açu";-;1;-;-;-;1;-;1;-;-;-;-;-;3
"150340 Inhangapi";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150345 Ipixuna do Pará";-;2;2;4;5;-;-;-;-;-;-;-;-;13
"150350 Irituia";-;-;1;1;1;-;-;-;-;-;-;1;-;4
"150360 Itaituba";-;3;6;4;6;7;6;3;-;-;-;2;-;37
"150370 Itupiranga";-;6;12;6;5;3;-;-;1;-;1;-;-;34
"150390 Juruti";-;4;1;-;-;-;-;-;-;-;-;-;-;5
"150420 Marabá";-;6;28;27;13;2;2;1;-;1;-;2;3;85
"150430 Maracanã";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150442 Marituba";-;2;2;3;4;1;-;-;-;-;-;-;-;12
"150445 Medicilândia";-;5;2;4;-;-;-;-;-;-;-;-;-;11
"150450 Melgaço";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150460 Mocajuba";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150470 Moju";-;-;-;-;-;1;-;-;-;-;-;1;-;2
"150475 Mojuí dos Campos";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"150480 Monte Alegre";-;-;-;-;1;1;-;1;-;-;-;-;-;3
"150490 Muaná";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150495 Nova Esperança do Piriá";-;1;-;-;2;-;-;-;-;-;-;-;-;3
"150497 Nova Ipixuna";-;1;-;3;1;2;1;-;-;-;-;1;2;11
"150503 Novo Progresso";-;2;2;21;7;6;-;-;2;3;2;1;1;47
"150510 Óbidos";-;-;3;-;1;2;1;-;-;-;-;1;-;8
"150520 Oeiras do Pará";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150530 Oriximiná";-;57;29;39;22;22;4;9;7;1;2;1;6;199
"150543 Ourilândia do Norte";-;6;2;2;1;-;1;1;-;-;-;1;2;16
"150548 Pacajá";-;51;42;47;15;4;2;2;2;1;-;4;6;176
"150550 Paragominas";-;-;2;-;2;1;-;-;-;-;-;-;-;5
"150553 Parauapebas";-;140;91;114;81;34;20;3;4;1;6;11;27;532
"150565 Placas";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150570 Ponta de Pedras";-;-;-;1;-;-;-;-;2;2;3;4;1;13
"150580 Portel";-;-;-;1;-;1;1;1;-;-;6;1;1;12
"150613 Redenção";-;-;2;1;1;1;1;-;-;-;-;-;-;6
"150616 Rio Maria";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150618 Rondon do Pará";-;-;1;1;1;-;-;1;-;-;1;-;1;6
"150619 Rurópolis";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"150620 Salinópolis";-;2;1;-;1;-;1;-;2;-;1;1;-;9
"150650 Santa Izabel do Pará";-;1;2;-;-;-;-;-;-;-;-;-;-;3
"150655 Santa Luzia do Pará";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150658 Santa Maria das Barreiras";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"150670 Santana do Araguaia";-;-;1;2;1;-;-;-;-;-;-;-;-;4
"150680 Santarém";-;4;2;2;3;4;1;1;1;1;2;-;-;21
"150720 São Domingos do Capim";-;2;1;7;-;2;1;-;-;-;-;-;-;13
"150730 São Félix do Xingu";-;7;14;82;19;20;8;11;1;-;5;1;5;173
"150745 São Geraldo do Araguaia";-;3;5;1;20;15;2;1;-;-;2;2;1;52
"150746 São João da Ponta";-;1;2;-;-;-;-;-;-;2;8;10;5;28
"150750 São João do Araguaia";-;-;-;1;2;1;-;-;-;-;1;-;-;5
"150780 Senador José Porfírio";-;69;79;46;23;7;4;11;29;54;78;31;67;498
"150790 Soure";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150795 Tailândia";-;-;1;-;-;-;-;1;-;4;8;2;5;21
"150796 Terra Alta";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"150797 Terra Santa";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150800 Tomé-Açu";-;-;1;1;2;2;-;12;2;1;1;1;-;23
"150803 Tracuateua";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150808 Tucumã";-;-;-;1;-;1;-;-;-;2;-;5;-;9
"150810 Tucuruí";-;-;1;-;-;-;-;1;-;-;-;-;-;2
"150815 Uruará";-;-;-;3;-;38;9;2;-;7;3;-;-;62
"150820 Vigia";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"150835 Vitória do Xingu";-;-;-;-;2;2;-;-;-;-;-;-;-;4
"150840 Xinguara";-;3;4;3;-;-;-;-;-;-;-;-;2;12
"150000 Município ignorado - PA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"160020 Calçoene";-;1;-;2;-;-;-;-;-;-;4;8;-;15
"160027 Laranjal do Jari";-;1;2;59;140;241;56;1;1;1;-;-;-;502
"160030 Macapá";-;12;9;18;26;21;18;18;26;38;34;48;17;285
"160040 Mazagão";-;1;1;-;-;-;-;1;1;1;6;10;4;25
"160050 Oiapoque";-;-;-;-;-;1;3;2;-;4;3;-;4;17
"160015 Pedra Branca do Amapari";-;-;-;-;-;-;-;-;2;5;19;9;11;46
"160053 Porto Grande";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"160060 Santana";-;-;-;-;1;2;-;-;1;2;1;-;8;15
"160005 Serra do Navio";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"170025 Abreulândia";-;-;2;-;-;2;8;-;-;-;-;-;-;12
"170030 Aguiarnópolis";-;-;1;3;-;2;1;-;-;-;-;-;-;7
"170100 Ananás";-;-;2;1;-;-;-;-;-;-;-;-;-;3
"170105 Angico";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"170110 Aparecida do Rio Negro";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"170130 Aragominas";-;-;2;-;2;-;-;-;-;-;-;-;-;4
"170190 Araguacema";-;6;-;-;-;-;-;-;-;-;-;-;-;6
"170200 Araguaçu";-;162;69;46;13;8;2;5;-;-;1;4;22;332
"170210 Araguaína";-;30;44;58;46;66;44;29;37;26;25;33;43;481
"170215 Araguanã";-;1;2;-;-;1;-;-;-;-;-;-;1;5
"170220 Araguatins";-;8;4;-;-;1;-;-;-;-;-;-;-;13
"170230 Arapoema";-;-;-;1;-;-;1;-;-;-;-;-;-;2
"170240 Arraias";-;4;5;1;-;-;-;-;-;-;-;-;1;11
"170255 Augustinópolis";-;-;-;1;-;-;-;2;-;-;1;-;-;4
"170300 Babaçulândia";-;-;-;2;1;-;-;-;-;-;-;-;-;3
"170305 Bandeirantes do Tocantins";-;3;-;-;-;-;-;-;-;-;-;-;-;3
"170310 Barrolândia";-;2;-;5;-;-;-;-;-;-;-;-;2;9
"170320 Bernardo Sayão";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"170330 Bom Jesus do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"170360 Brasilândia do Tocantins";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"170382 Cachoeirinha";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"170384 Campos Lindos";-;-;-;2;-;-;-;-;-;-;1;-;-;3
"170386 Cariri do Tocantins";-;2;4;6;-;1;2;1;-;-;-;-;-;16
"170388 Carmolândia";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"170460 Chapada de Areia";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"170550 Colinas do Tocantins";-;2;-;3;-;1;-;-;2;-;-;1;1;10
"171670 Colméia";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"170555 Combinado";-;-;-;1;2;-;1;1;-;-;-;-;-;5
"170560 Conceição do Tocantins";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"170610 Cristalândia";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"170650 Darcinópolis";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"170700 Dianópolis";-;-;-;2;-;2;2;1;-;-;-;-;2;9
"170710 Divinópolis do Tocantins";-;4;2;2;-;3;5;-;-;1;-;5;1;23
"170720 Dois Irmãos do Tocantins";-;5;1;-;1;-;-;-;-;-;-;-;-;7
"170755 Fátima";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"170820 Formoso do Araguaia";-;8;3;14;52;56;10;-;2;2;1;2;2;152
"170825 Fortaleza do Tabocão";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"170830 Goianorte";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"170900 Goiatins";-;2;3;4;3;1;-;-;-;-;-;-;-;13
"170930 Guaraí";-;6;5;6;3;3;4;1;-;-;-;-;-;28
"170950 Gurupi";-;9;3;8;5;2;1;-;-;-;1;-;-;29
"171050 Itacajá";-;12;1;-;-;-;-;-;-;-;-;-;-;13
"171070 Itaguatins";-;2;-;2;1;1;-;-;-;-;-;-;-;6
"171110 Itaporã do Tocantins";-;1;-;1;-;-;-;-;-;-;-;-;-;2
"171190 Lagoa da Confusão";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"171280 Maurilândia do Tocantins";-;-;-;4;1;-;-;-;-;-;-;-;-;5
"171320 Miracema do Tocantins";-;25;5;8;2;2;-;-;-;-;-;1;3;46
"171330 Miranorte";-;35;19;9;5;1;3;-;-;-;-;-;3;75
"171395 Muricilândia";-;2;2;1;-;-;-;-;-;-;-;-;-;5
"171420 Natividade";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"171488 Nova Olinda";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"171500 Nova Rosalândia";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"171515 Novo Alegre";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"171525 Novo Jardim";-;-;-;-;-;3;1;-;-;1;1;1;-;7
"172100 Palmas";-;144;192;93;98;87;73;42;44;35;73;81;137;1099
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"171575 Palmeirópolis";-;3;1;-;4;3;1;-;-;1;7;7;5;32
"171610 Paraíso do Tocantins";-;16;10;13;22;25;24;7;4;1;5;5;11;143
"171620 Paranã";-;5;3;-;3;-;-;-;-;-;-;-;-;11
"171630 Pau D'Arco";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"171650 Pedro Afonso";-;-;2;-;-;1;-;-;-;-;-;-;3;6
"171660 Peixe";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"171665 Pequizeiro";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"171750 Pium";-;-;1;28;3;1;3;-;-;-;-;2;-;38
"171780 Ponte Alta do Bom Jesus";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"171820 Porto Nacional";-;6;8;8;14;18;2;-;-;-;2;2;2;62
"171840 Presidente Kennedy";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"171845 Pugmil";-;-;-;2;-;-;-;-;-;-;-;-;1;3
"171865 Rio da Conceição";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"171870 Rio dos Bois";-;-;2;-;-;-;-;-;-;-;1;-;-;3
"171875 Rio Sono";-;-;1;-;-;-;-;-;-;-;-;-;1;2
"171880 Sampaio";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"171884 Sandolândia";-;12;11;-;-;-;-;-;-;-;-;-;1;24
"171886 Santa Fé do Araguaia";-;-;-;2;-;-;1;-;-;1;-;-;1;5
"171889 Santa Rita do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"172010 São Bento do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"172020 São Miguel do Tocantins";-;-;1;2;-;-;-;-;-;-;-;-;-;3
"172025 São Salvador do Tocantins";-;3;1;1;1;1;-;-;-;-;-;-;-;7
"172049 São Valério";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"172065 Silvanópolis";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"172090 Taguatinga";-;-;2;-;-;2;1;-;1;-;-;-;-;6
"172097 Talismã";-;-;11;13;3;17;26;3;-;-;-;-;1;74
"172110 Tocantínia";-;1;-;-;1;2;-;-;-;-;1;-;-;5
"172120 Tocantinópolis";-;5;20;17;10;6;11;1;-;-;2;-;-;72
"172125 Tupirama";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"172208 Wanderlândia";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210005 Açailândia";-;2;1;2;-;1;1;-;-;2;-;1;-;10
"210030 Aldeias Altas";-;-;-;-;1;2;-;-;-;-;-;1;4;8
"210047 Alto Alegre do Pindaré";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"210050 Alto Parnaíba";-;1;1;6;-;-;-;-;-;-;-;-;-;8
"210060 Amarante do Maranhão";-;-;-;1;1;4;2;1;-;-;-;-;-;9
"210083 Apicum-Açu";-;-;-;-;-;2;2;-;7;-;-;-;-;11
"210087 Araguanã";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210100 Arari";-;-;-;1;-;-;-;-;-;-;-;1;-;2
"210120 Bacabal";-;-;1;-;-;2;-;-;-;-;-;-;-;3
"210125 Bacabeira";-;1;-;-;-;2;-;-;-;-;-;-;1;4
"210140 Balsas";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210150 Barão de Grajaú";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"210160 Barra do Corda";-;2;3;6;7;10;6;4;1;7;-;10;3;59
"210190 Bequimão";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"210200 Bom Jardim";-;-;-;-;2;1;1;-;-;-;-;-;-;4
"210203 Bom Jesus das Selvas";-;1;2;18;4;-;-;-;-;-;-;-;-;25
"210210 Brejo";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"210232 Buriticupu";-;-;3;-;1;3;1;-;-;-;-;-;-;8
"210255 Campestre do Maranhão";-;1;2;-;-;-;-;-;-;-;-;-;-;3
"210270 Cantanhede";-;1;1;-;-;1;-;-;-;-;-;-;-;3
"210275 Capinzal do Norte";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"210280 Carolina";-;5;-;8;11;4;-;-;1;-;1;1;1;32
"210300 Caxias";-;2;8;12;16;14;13;7;2;1;1;2;7;85
"210325 Cidelândia";-;3;1;2;1;3;-;-;-;-;-;-;-;10
"210330 Codó";-;-;-;1;2;-;-;-;-;-;-;-;-;3
"210340 Coelho Neto";-;-;-;-;3;2;-;-;-;2;1;-;-;8
"210350 Colinas";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"210360 Coroatá";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"210370 Cururupu";-;-;2;2;5;4;2;4;-;-;-;-;-;19
"210375 Davinópolis";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"210380 Dom Pedro";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"210390 Duque Bacelar";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"210400 Esperantinópolis";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"210405 Estreito";-;-;2;2;2;2;-;-;-;-;-;-;-;8
"210409 Formosa da Serra Negra";-;-;1;2;-;1;-;-;-;-;-;-;-;4
"210455 Governador Edison Lobão";-;2;2;2;1;7;2;-;-;-;-;-;-;16
"210460 Governador Eugênio Barros";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"210465 Governador Newton Bello";-;-;1;1;1;1;-;-;-;-;-;-;-;4
"210480 Grajaú";-;-;-;1;2;1;-;-;-;-;-;-;-;4
"210530 Imperatriz";-;4;11;18;26;15;4;3;3;-;2;6;1;93
"210535 Itaipava do Grajaú";-;-;-;8;-;-;-;-;-;-;-;-;-;8
"210542 Itinga do Maranhão";-;-;3;11;2;-;-;-;-;-;-;-;-;16
"210570 Lago da Pedra";-;-;1;1;1;6;2;-;-;1;-;-;-;12
"210594 Lago dos Rodrigues";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"210590 Lago Verde";-;3;10;1;-;-;-;-;-;-;-;-;-;14
"210598 Lajeado Novo";-;-;1;1;3;1;-;-;-;-;-;-;-;6
"210650 Matinha";-;-;-;-;-;1;-;-;-;-;-;1;-;2
"210660 Matões";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"210670 Mirador";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210675 Miranda do Norte";-;-;1;-;1;-;-;1;-;-;-;-;-;3
"210700 Montes Altos";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"210735 Nova Olinda do Maranhão";-;2;-;1;-;2;1;4;1;-;-;-;-;11
