DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2020
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150175 Brejo Grande do Araguaia";-;2;1;-;-;-;-;-;-;-;-;-;3
"150178 Breu Branco";1;-;-;-;-;-;-;-;-;-;-;-;1
"150180 Breves";-;-;-;-;-;-;-;-;-;1;-;-;1
"150210 Cametá";1;-;-;-;-;-;-;-;-;1;-;-;2
"150215 Canaã dos Carajás";-;-;-;1;-;-;-;-;-;-;-;1;2
"150220 Capanema";-;2;-;-;-;-;-;-;-;-;-;-;2
"150240 Castanhal";5;2;3;-;1;-;1;-;-;-;-;-;12
"150270 Conceição do Araguaia";27;9;6;6;-;-;-;-;-;-;1;2;51
"150276 Cumaru do Norte";7;1;-;6;2;1;-;-;1;-;-;1;19
"150280 Curralinho";-;-;-;1;-;-;-;-;-;-;-;-;1
"150293 Dom Eliseu";1;1;-;-;2;-;-;-;-;-;-;-;4
"150304 Floresta do Araguaia";-;-;-;-;-;1;-;-;-;-;-;-;1
"150307 Garrafão do Norte";-;-;-;-;-;-;1;-;-;-;-;-;1
"150330 Igarapé-Miri";-;2;-;-;-;-;-;-;-;1;-;-;3
"150340 Inhangapi";-;-;-;-;-;-;-;-;-;-;1;-;1
"150350 Irituia";-;-;2;-;-;-;-;-;-;-;-;-;2
"150360 Itaituba";3;12;26;16;22;8;3;4;2;2;8;8;114
"150370 Itupiranga";-;-;1;2;1;-;-;-;-;-;-;-;4
"150375 Jacareacanga";-;-;-;-;1;-;-;-;-;-;-;-;1
"150380 Jacundá";-;-;-;3;5;1;1;-;1;-;-;-;11
"150420 Marabá";-;1;-;-;-;-;1;-;-;-;-;-;2
"150442 Marituba";1;-;-;-;-;-;-;1;-;2;1;-;5
"150445 Medicilândia";-;5;-;-;2;1;1;1;1;-;-;-;11
"150460 Mocajuba";1;-;2;2;-;-;1;-;-;-;-;-;6
"150470 Moju";-;1;-;-;-;-;-;-;-;-;-;-;1
"150475 Mojuí dos Campos";1;-;-;-;-;-;-;-;-;-;-;-;1
"150480 Monte Alegre";-;-;2;-;4;3;1;-;-;-;-;-;10
"150490 Muaná";-;1;1;-;-;-;-;-;-;-;-;-;2
"150495 Nova Esperança do Piriá";-;1;-;-;-;-;-;-;-;-;-;-;1
"150497 Nova Ipixuna";1;-;-;-;-;-;-;-;-;-;-;-;1
"150503 Novo Progresso";22;88;35;22;23;14;-;-;1;1;-;3;209
"150506 Novo Repartimento";2;14;7;8;3;-;-;-;-;-;-;-;34
"150510 Óbidos";-;-;1;-;-;-;-;-;-;-;-;-;1
"150543 Ourilândia do Norte";17;7;2;1;2;1;1;3;-;-;-;5;39
"150548 Pacajá";2;12;5;18;3;-;-;-;-;-;-;1;41
"150549 Palestina do Pará";-;2;3;-;-;-;-;-;-;-;-;-;5
"150550 Paragominas";-;-;-;-;-;-;-;1;-;-;-;-;1
"150553 Parauapebas";2;-;2;1;2;3;1;-;2;1;-;-;14
"150555 Pau D'Arco";-;-;1;-;11;2;-;-;-;-;-;-;14
"150613 Redenção";3;2;8;4;8;8;2;-;1;-;3;-;39
"150616 Rio Maria";10;6;11;4;5;6;2;1;-;-;-;2;47
"150619 Rurópolis";4;-;-;-;-;-;-;-;-;-;-;-;4
"150620 Salinópolis";-;1;2;-;-;-;-;-;-;-;-;-;3
"150630 Salvaterra";1;1;-;-;-;-;-;-;-;-;-;-;2
"150650 Santa Izabel do Pará";2;1;2;-;-;-;-;-;-;-;-;-;5
"150660 Santa Maria do Pará";-;1;-;-;-;-;-;-;-;-;-;-;1
"150670 Santana do Araguaia";10;3;28;32;31;15;2;-;1;-;2;4;128
"150680 Santarém";8;8;5;2;2;-;1;1;-;2;-;-;29
"150690 Santarém Novo";-;1;1;-;-;2;2;-;-;-;-;-;6
"150715 São Domingos do Araguaia";8;5;-;1;-;-;-;-;-;-;-;-;14
"150720 São Domingos do Capim";-;-;-;-;1;-;-;-;-;-;-;-;1
"150730 São Félix do Xingu";-;1;2;2;13;4;5;8;5;4;1;-;45
"150745 São Geraldo do Araguaia";1;-;2;1;-;-;-;-;-;-;-;-;4
"150747 São João de Pirabas";3;7;5;-;-;-;-;-;1;1;-;-;17
"150750 São João do Araguaia";-;-;1;-;-;-;-;1;3;1;3;-;9
"150780 Senador José Porfírio";2;4;5;-;-;-;1;-;-;-;-;-;12
"150790 Soure";-;-;2;1;-;-;-;-;-;-;-;-;3
