DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"150178 Breu Branco";2;-;-;-;-;2
"150180 Breves";6;-;-;-;-;6
"150210 Cametá";3;-;-;-;-;3
"150215 Canaã dos Carajás";9;-;-;-;-;9
"150230 Capitão Poço";1;-;-;-;-;1
"150240 Castanhal";15;-;-;-;-;15
"150270 Conceição do Araguaia";10;-;-;-;-;10
"150277 Curionópolis";4;-;-;-;-;4
"150293 Dom Eliseu";14;-;-;-;-;14
"150310 Gurupá";15;21;-;-;-;36
"150320 Igarapé-Açu";3;-;-;-;-;3
"150340 Inhangapi";1;-;-;-;-;1
"150345 Ipixuna do Pará";13;-;-;-;-;13
"150350 Irituia";4;-;-;-;-;4
"150360 Itaituba";36;1;-;-;-;37
"150370 Itupiranga";34;-;-;-;-;34
"150390 Juruti";5;-;-;-;-;5
"150420 Marabá";85;-;-;-;-;85
"150430 Maracanã";1;-;-;-;-;1
"150442 Marituba";11;1;-;-;-;12
"150445 Medicilândia";11;-;-;-;-;11
"150450 Melgaço";1;-;-;-;-;1
"150460 Mocajuba";1;-;-;-;-;1
"150470 Moju";2;-;-;-;-;2
"150475 Mojuí dos Campos";1;-;-;-;-;1
"150480 Monte Alegre";3;-;-;-;-;3
"150490 Muaná";1;-;-;-;-;1
"150495 Nova Esperança do Piriá";3;-;-;-;-;3
"150497 Nova Ipixuna";11;-;-;-;-;11
"150503 Novo Progresso";46;1;-;-;-;47
"150510 Óbidos";8;-;-;-;-;8
"150520 Oeiras do Pará";-;-;-;-;1;1
"150530 Oriximiná";199;-;-;-;-;199
"150543 Ourilândia do Norte";16;-;-;-;-;16
"150548 Pacajá";175;-;-;-;1;176
"150550 Paragominas";5;-;-;-;-;5
"150553 Parauapebas";532;-;-;-;-;532
"150565 Placas";1;-;-;-;-;1
"150570 Ponta de Pedras";13;-;-;-;-;13
"150580 Portel";12;-;-;-;-;12
"150613 Redenção";6;-;-;-;-;6
"150616 Rio Maria";1;-;-;-;-;1
"150618 Rondon do Pará";6;-;-;-;-;6
"150619 Rurópolis";2;-;-;-;-;2
"150620 Salinópolis";9;-;-;-;-;9
"150650 Santa Izabel do Pará";3;-;-;-;-;3
"150655 Santa Luzia do Pará";1;-;-;-;-;1
"150658 Santa Maria das Barreiras";2;-;-;-;-;2
"150670 Santana do Araguaia";4;-;-;-;-;4
"150680 Santarém";21;-;-;-;-;21
"150720 São Domingos do Capim";13;-;-;-;-;13
"150730 São Félix do Xingu";173;-;-;-;-;173
"150745 São Geraldo do Araguaia";52;-;-;-;-;52
"150746 São João da Ponta";24;4;-;-;-;28
"150750 São João do Araguaia";5;-;-;-;-;5
"150780 Senador José Porfírio";496;2;-;-;-;498
"150790 Soure";1;-;-;-;-;1
"150795 Tailândia";20;-;1;-;-;21
"150796 Terra Alta";1;-;-;-;-;1
"150797 Terra Santa";1;-;-;-;-;1
"150800 Tomé-Açu";23;-;-;-;-;23
